Query 1:{precision: 0.03322259136212625, recall:0.7142857142857143}
Query 10:{precision: 0.012326656394453005, recall:1.0}
Query 100:{precision: 0.01347305389221557, recall:1.0}
Query 101:{precision: 0.008486562942008486, recall:1.0}
Query 102:{precision: 0.005747126436781609, recall:0.75}
Query 103:{precision: 0.003968253968253968, recall:0.5}
Query 104:{precision: 0.005112474437627812, recall:1.0}
Query 105:{precision: 0.009478672985781991, recall:0.8}
Query 106:{precision: 0.009615384615384616, recall:0.8}
Query 107:{precision: 0.009817671809256662, recall:1.0}
Query 108:{precision: 0.015053763440860216, recall:1.0}
Query 109:{precision: 0.010830324909747292, recall:0.6}
Query 11:{precision: 0.009615384615384616, recall:1.0}
Query 110:{precision: 0.005, recall:1.0}
Query 111:{precision: 0.007856341189674524, recall:1.0}
Query 112:{precision: 0.001841620626151013, recall:1.0}
Query 113:{precision: 0.005547850208044383, recall:1.0}
Query 114:{precision: 0.0034393809114359416, recall:1.0}
Query 115:{precision: 0.004012036108324975, recall:1.0}
Query 116:{precision: 0.007974481658692184, recall:1.0}
Query 117:{precision: 0.0029542097488921715, recall:1.0}
Query 118:{precision: 0.005639097744360902, recall:1.0}
Query 119:{precision: 9.233610341643582E-4, recall:1.0}
Query 12:{precision: 0.005230125523012552, recall:1.0}
Query 120:{precision: 0.018145161290322582, recall:1.0}
Query 121:{precision: 0.02108433734939759, recall:1.0}
Query 122:{precision: 0.008662175168431183, recall:1.0}
Query 123:{precision: 0.001990049751243781, recall:1.0}
Query 124:{precision: 0.0031031807602792862, recall:1.0}
Query 125:{precision: 0.016771488469601678, recall:0.9411764705882353}
Query 126:{precision: 0.015037593984962405, recall:0.5}
Query 127:{precision: 0.006105006105006105, recall:1.0}
Query 128:{precision: 0.0030075187969924814, recall:1.0}
Query 129:{precision: 0.005761316872427984, recall:1.0}
Query 13:{precision: 0.0, recall:0.0}
Query 130:{precision: 0.0064, recall:0.8}
Query 131:{precision: 0.0110803324099723, recall:1.0}
Query 132:{precision: 0.04310344827586207, recall:1.0}
Query 133:{precision: 0.01583710407239819, recall:1.0}
Query 134:{precision: 0.002098635886673662, recall:1.0}
Query 135:{precision: 0.010443864229765013, recall:1.0}
Query 136:{precision: 0.0033076074972436605, recall:1.0}
Query 137:{precision: 0.003421727972626176, recall:1.0}
Query 138:{precision: 0.002398081534772182, recall:1.0}
Query 139:{precision: 0.003952569169960474, recall:1.0}
Query 14:{precision: 0.008620689655172414, recall:1.0}
Query 140:{precision: 0.043478260869565216, recall:0.6666666666666666}
Query 141:{precision: 0.011185682326621925, recall:0.8333333333333334}
Query 142:{precision: 0.001183431952662722, recall:1.0}
Query 143:{precision: 0.0037243947858473, recall:1.0}
Query 144:{precision: 0.006191950464396285, recall:1.0}
Query 145:{precision: 0.009615384615384616, recall:1.0}
Query 146:{precision: 0.0020597322348094747, recall:1.0}
Query 147:{precision: 0.01070154577883472, recall:0.9}
Query 148:{precision: 0.00894187779433681, recall:1.0}
Query 149:{precision: 0.011363636363636364, recall:1.0}
Query 15:{precision: 0.013513513513513514, recall:1.0}
Query 150:{precision: 0.002574002574002574, recall:1.0}
Query 151:{precision: 0.0054288816503800215, recall:1.0}
Query 152:{precision: 0.0050200803212851405, recall:0.8333333333333334}
Query 153:{precision: 0.013123359580052493, recall:0.7142857142857143}
Query 154:{precision: 0.002157497303128371, recall:1.0}
Query 155:{precision: 0.014760147601476014, recall:0.6666666666666666}
Query 156:{precision: 0.0514018691588785, recall:0.7857142857142857}
Query 157:{precision: 0.0329004329004329, recall:0.9743589743589743}
Query 158:{precision: 0.01812688821752266, recall:0.75}
Query 159:{precision: 0.013358778625954198, recall:0.875}
Query 16:{precision: 0.0030991735537190084, recall:1.0}
Query 160:{precision: 0.0043821209465381246, recall:1.0}
Query 161:{precision: 0.006349206349206349, recall:1.0}
Query 162:{precision: 0.009345794392523364, recall:1.0}
Query 163:{precision: 0.0028462998102466793, recall:1.0}
Query 164:{precision: 0.05555555555555555, recall:0.875}
Query 165:{precision: 0.0027434842249657062, recall:1.0}
Query 166:{precision: 0.007992007992007992, recall:1.0}
Query 167:{precision: 0.002617801047120419, recall:1.0}
Query 168:{precision: 0.00205761316872428, recall:1.0}
Query 169:{precision: 0.0035026269702276708, recall:1.0}
Query 17:{precision: 0.002012072434607646, recall:1.0}
Query 170:{precision: 0.006458557588805167, recall:1.0}
Query 171:{precision: 0.003051881993896236, recall:1.0}
Query 172:{precision: 0.004987531172069825, recall:1.0}
Query 173:{precision: 0.0029585798816568047, recall:1.0}
Query 174:{precision: 0.011655011655011656, recall:1.0}
Query 175:{precision: 0.005592841163310962, recall:1.0}
Query 176:{precision: 0.007972665148063782, recall:1.0}
Query 177:{precision: 0.00904977375565611, recall:0.8}
Query 178:{precision: 0.006430868167202572, recall:1.0}
Query 179:{precision: 0.0031746031746031746, recall:1.0}
Query 18:{precision: 0.003667481662591687, recall:1.0}
Query 180:{precision: 0.030973451327433628, recall:1.0}
Query 181:{precision: 0.011299435028248588, recall:0.8}
Query 182:{precision: 0.0024875621890547263, recall:1.0}
Query 183:{precision: 0.010582010582010581, recall:0.6153846153846154}
Query 184:{precision: 0.018018018018018018, recall:0.2857142857142857}
Query 185:{precision: 0.02278481012658228, recall:1.0}
Query 186:{precision: 0.015400410677618069, recall:0.9375}
Query 187:{precision: 0.0030991735537190084, recall:0.5}
Query 188:{precision: 0.01338199513381995, recall:1.0}
Query 189:{precision: 0.012232415902140673, recall:0.8888888888888888}
Query 19:{precision: 0.0035842293906810036, recall:0.2222222222222222}
Query 190:{precision: 0.006702412868632708, recall:1.0}
Query 191:{precision: 0.018105849582172703, recall:1.0}
Query 192:{precision: 0.04225352112676056, recall:0.75}
Query 193:{precision: 0.015734265734265736, recall:1.0}
Query 194:{precision: 0.0072992700729927005, recall:1.0}
Query 195:{precision: 0.0035169988276670576, recall:1.0}
Query 196:{precision: 0.007751937984496124, recall:0.6666666666666666}
Query 197:{precision: 0.005136986301369863, recall:1.0}
Query 198:{precision: 0.004651162790697674, recall:1.0}
Query 199:{precision: 0.009389671361502348, recall:1.0}
Query 2:{precision: 0.03288201160541586, recall:0.7083333333333334}
Query 20:{precision: 0.01002227171492205, recall:1.0}
Query 200:{precision: 0.00683371298405467, recall:1.0}
Query 201:{precision: 0.04075235109717868, recall:0.8125}
Query 202:{precision: 0.02099236641221374, recall:0.7857142857142857}
Query 203:{precision: 0.017482517482517484, recall:0.7142857142857143}
Query 204:{precision: 0.015424164524421594, recall:0.8571428571428571}
Query 205:{precision: 0.0022598870056497176, recall:1.0}
Query 206:{precision: 0.0034562211981566822, recall:1.0}
Query 207:{precision: 0.006944444444444444, recall:0.8}
Query 208:{precision: 0.008438818565400843, recall:1.0}
Query 209:{precision: 0.015406162464985995, recall:0.9166666666666666}
Query 21:{precision: 0.008849557522123894, recall:1.0}
Query 210:{precision: 0.00644468313641246, recall:1.0}
Query 211:{precision: 0.015988372093023256, recall:1.0}
Query 212:{precision: 0.020864381520119227, recall:1.0}
Query 213:{precision: 0.0196078431372549, recall:1.0}
Query 214:{precision: 0.005847953216374269, recall:1.0}
Query 215:{precision: 0.0018315018315018315, recall:1.0}
Query 216:{precision: 9.041591320072332E-4, recall:1.0}
Query 217:{precision: 0.016706443914081145, recall:0.9333333333333333}
Query 218:{precision: 0.029411764705882353, recall:1.0}
Query 219:{precision: 0.016453382084095063, recall:1.0}
Query 22:{precision: 0.0, recall:0.0}
Query 220:{precision: 0.016814159292035398, recall:1.0}
Query 221:{precision: 0.014231499051233396, recall:0.8333333333333334}
Query 222:{precision: 0.014802631578947368, recall:1.0}
Query 223:{precision: 0.010362694300518135, recall:1.0}
Query 224:{precision: 0.013377926421404682, recall:1.0}
Query 225:{precision: 0.016783216783216783, recall:0.5}
Query 23:{precision: 0.037037037037037035, recall:0.8125}
Query 24:{precision: 0.003968253968253968, recall:1.0}
Query 25:{precision: 0.00893743793445879, recall:1.0}
Query 26:{precision: 0.005741626794258373, recall:1.0}
Query 27:{precision: 0.004092769440654843, recall:1.0}
Query 28:{precision: 0.001183431952662722, recall:0.5}
Query 29:{precision: 0.008064516129032258, recall:0.8888888888888888}
Query 3:{precision: 0.011004126547455296, recall:1.0}
Query 30:{precision: 0.007556675062972292, recall:0.8571428571428571}
Query 31:{precision: 0.0, recall:0.0}
Query 32:{precision: 0.01015228426395939, recall:0.6666666666666666}
Query 33:{precision: 0.004231311706629055, recall:1.0}
Query 34:{precision: 0.007792207792207792, recall:1.0}
Query 35:{precision: 0.0033222591362126247, recall:0.3333333333333333}
Query 36:{precision: 0.0024067388688327317, recall:1.0}
Query 37:{precision: 0.010037641154328732, recall:0.8888888888888888}
Query 38:{precision: 0.017928286852589643, recall:0.9}
Query 39:{precision: 0.01240694789081886, recall:0.7692307692307693}
Query 4:{precision: 0.00261437908496732, recall:1.0}
Query 40:{precision: 0.01347305389221557, recall:0.75}
Query 41:{precision: 0.0037128712871287127, recall:1.0}
Query 42:{precision: 0.005924170616113744, recall:1.0}
Query 43:{precision: 0.005741626794258373, recall:1.0}
Query 44:{precision: 0.0, recall:0.0}
Query 45:{precision: 0.013683010262257697, recall:1.0}
Query 46:{precision: 0.015090543259557344, recall:1.0}
Query 47:{precision: 0.02195945945945946, recall:0.9285714285714286}
Query 48:{precision: 0.02912621359223301, recall:0.5454545454545454}
Query 49:{precision: 0.002197802197802198, recall:1.0}
Query 5:{precision: 0.01238390092879257, recall:1.0}
Query 50:{precision: 0.006615214994487321, recall:1.0}
Query 51:{precision: 0.009727626459143969, recall:1.0}
Query 52:{precision: 0.005201560468140442, recall:1.0}
Query 53:{precision: 0.009066183136899365, recall:1.0}
Query 54:{precision: 0.015873015873015872, recall:1.0}
Query 55:{precision: 0.011210762331838564, recall:1.0}
Query 56:{precision: 0.012987012987012988, recall:0.9}
Query 57:{precision: 0.015056461731493099, recall:0.8571428571428571}
Query 58:{precision: 0.011627906976744186, recall:0.8888888888888888}
Query 59:{precision: 0.0038510911424903724, recall:0.75}
Query 6:{precision: 0.003883495145631068, recall:1.0}
Query 60:{precision: 0.005747126436781609, recall:1.0}
Query 61:{precision: 0.010121457489878543, recall:1.0}
Query 62:{precision: 0.004273504273504274, recall:1.0}
Query 63:{precision: 0.003243243243243243, recall:1.0}
Query 64:{precision: 0.0026702269692923898, recall:1.0}
Query 65:{precision: 0.014613778705636743, recall:0.9333333333333333}
Query 66:{precision: 0.004500450045004501, recall:1.0}
Query 67:{precision: 0.012704174228675136, recall:1.0}
Query 68:{precision: 0.008849557522123894, recall:0.6}
Query 69:{precision: 0.007530120481927711, recall:1.0}
Query 7:{precision: 0.0054585152838427945, recall:1.0}
Query 70:{precision: 0.013404825737265416, recall:1.0}
Query 71:{precision: 0.008484848484848486, recall:0.875}
Query 72:{precision: 0.015495867768595042, recall:0.8823529411764706}
Query 73:{precision: 0.02186421173762946, recall:0.95}
Query 74:{precision: 0.004728132387706856, recall:0.6666666666666666}
Query 75:{precision: 0.0056625141562853904, recall:1.0}
Query 76:{precision: 0.0054694621695533276, recall:0.8571428571428571}
Query 77:{precision: 0.005758157389635317, recall:1.0}
Query 78:{precision: 0.007425742574257425, recall:1.0}
Query 79:{precision: 0.005065856129685917, recall:1.0}
Query 8:{precision: 0.015804597701149427, recall:1.0}
Query 80:{precision: 0.005226480836236934, recall:0.75}
Query 81:{precision: 0.009950248756218905, recall:1.0}
Query 82:{precision: 0.005252100840336135, recall:1.0}
Query 83:{precision: 0.0061823802163833074, recall:1.0}
Query 84:{precision: 0.01310615989515072, recall:0.9090909090909091}
Query 85:{precision: 0.003902439024390244, recall:1.0}
Query 86:{precision: 0.002577319587628866, recall:1.0}
Query 87:{precision: 0.007597340930674264, recall:1.0}
Query 88:{precision: 0.006514657980456026, recall:1.0}
Query 89:{precision: 0.006600660066006601, recall:1.0}
Query 9:{precision: 0.0084985835694051, recall:1.0}
Query 90:{precision: 0.02631578947368421, recall:0.6923076923076923}
Query 91:{precision: 0.017204301075268817, recall:0.8888888888888888}
Query 92:{precision: 0.014444444444444444, recall:1.0}
Query 93:{precision: 0.001148105625717566, recall:1.0}
Query 94:{precision: 0.01675977653631285, recall:1.0}
Query 95:{precision: 0.0031446540880503146, recall:1.0}
Query 96:{precision: 0.011988011988011988, recall:0.9230769230769231}
Query 97:{precision: 0.018808777429467086, recall:0.6}
Query 98:{precision: 0.003115264797507788, recall:0.2}
Query 99:{precision: 0.00395778364116095, recall:0.75}
