Term: skill                          Term Frequency: 73        
Term: prerequisite                   Term Frequency: 61        
Term: skills                         Term Frequency: 51        
Term: data                           Term Frequency: 51        
Term: we                             Term Frequency: 48        
Term: links                          Term Frequency: 29        
Term: students                       Term Frequency: 29        
Term: method                         Term Frequency: 25        
Term: from                           Term Frequency: 25        
Term: structures                     Term Frequency: 23        
Term: performance                    Term Frequency: 22        
Term: placements                     Term Frequency: 22        
Term: have                           Term Frequency: 21        
Term: student                        Term Frequency: 21        
Term: mastery                        Term Frequency: 21        
Term: post                           Term Frequency: 21        
Term: results                        Term Frequency: 21        
Term: requisite                      Term Frequency: 20        
Term: survey                         Term Frequency: 20        
Term: regression                     Term Frequency: 20        
Term: 1                              Term Frequency: 19        
Term: study                          Term Frequency: 19        
Term: used                           Term Frequency: 19        
Term: structure                      Term Frequency: 18        
Term: models                         Term Frequency: 17        
Term: which                          Term Frequency: 16        
Term: remediation                    Term Frequency: 15        
Term: domain                         Term Frequency: 15        
Term: assignments                    Term Frequency: 15        
Term: figure                         Term Frequency: 15        
Term: each                           Term Frequency: 14        
Term: dataset                        Term Frequency: 14        
Term: 5                              Term Frequency: 13        
Term: speeds                         Term Frequency: 13        
Term: learning                       Term Frequency: 13        
Term: test                           Term Frequency: 12        
Term: mining                         Term Frequency: 11        
Term: relationships                  Term Frequency: 11        
Term: methods                        Term Frequency: 11        
Term: knowledge                      Term Frequency: 11        
Term: 6                              Term Frequency: 10        
Term: order                          Term Frequency: 10        
Term: items                          Term Frequency: 10        
Term: our                            Term Frequency: 10        
Term: pre                            Term Frequency: 10        
Term: refining                       Term Frequency: 10        
Term: between                        Term Frequency: 10        
Term: 4                              Term Frequency: 9         
Term: good                           Term Frequency: 9         
Term: use                            Term Frequency: 9         
Term: 10                             Term Frequency: 9         
Term: experts                        Term Frequency: 9         
Term: student’s                      Term Frequency: 9         
Term: when                           Term Frequency: 9         
Term: transformation                 Term Frequency: 9         
Term: has                            Term Frequency: 9         
Term: educational                    Term Frequency: 9         
Term: refine                         Term Frequency: 9         
Term: set                            Term Frequency: 9         
Term: model                          Term Frequency: 9         
Term: 2                              Term Frequency: 8         
Term: 3                              Term Frequency: 8         
Term: were                           Term Frequency: 8         
Term: teacher                        Term Frequency: 8         
Term: graph                          Term Frequency: 8         
Term: relationship                   Term Frequency: 8         
Term: system                         Term Frequency: 8         
Term: all                            Term Frequency: 8         
Term: using                          Term Frequency: 8         
Term: strength                       Term Frequency: 8         
Term: 7                              Term Frequency: 7         
Term: n                              Term Frequency: 7         
Term: findings                       Term Frequency: 7         
Term: shows                          Term Frequency: 7         
Term: about                          Term Frequency: 7         
Term: speed                          Term Frequency: 7         
Term: link                           Term Frequency: 7         
Term: analysis                       Term Frequency: 7         
Term: linear                         Term Frequency: 7         
Term: represents                     Term Frequency: 7         
Term: found                          Term Frequency: 7         
Term: had                            Term Frequency: 7         
Term: values                         Term Frequency: 7         
Term: could                          Term Frequency: 7         
Term: those                          Term Frequency: 7         
Term: both                           Term Frequency: 7         
Term: important                      Term Frequency: 7         
Term: assignment                     Term Frequency: 7         
Term: feature                        Term Frequency: 7         
Term: can                            Term Frequency: 7         
Term: 8                              Term Frequency: 6         
Term: 9                              Term Frequency: 6         
Term: poorly                         Term Frequency: 6         
Term: k                              Term Frequency: 6         
Term: m                              Term Frequency: 6         
Term: p                              Term Frequency: 6         
Term: better                         Term Frequency: 6         
Term: further                        Term Frequency: 6         
Term: compare                        Term Frequency: 6         
Term: adaptive                       Term Frequency: 6         
Term: may                            Term Frequency: 6         
Term: make                           Term Frequency: 6         
Term: eds                            Term Frequency: 6         
Term: who                            Term Frequency: 6         
Term: than                           Term Frequency: 6         
Term: one                            Term Frequency: 6         
Term: proposed                       Term Frequency: 6         
Term: approach                       Term Frequency: 6         
Term: been                           Term Frequency: 6         
Term: 2015                           Term Frequency: 6         
Term: based                          Term Frequency: 6         
Term: testing                        Term Frequency: 6         
Term: difficulty                     Term Frequency: 6         
Term: case                           Term Frequency: 6         
Term: item                           Term Frequency: 6         
Term: simple                         Term Frequency: 6         
Term: response                       Term Frequency: 6         
Term: two                            Term Frequency: 5         
Term: outliers                       Term Frequency: 5         
Term: transformed                    Term Frequency: 5         
Term: above                          Term Frequency: 5         
Term: released                       Term Frequency: 5         
Term: maps                           Term Frequency: 5         
Term: http                           Term Frequency: 5         
Term: presented                      Term Frequency: 5         
Term: al                             Term Frequency: 5         
Term: et                             Term Frequency: 5         
Term: pp                             Term Frequency: 5         
Term: them                           Term Frequency: 5         
Term: us                             Term Frequency: 5         
Term: additionally                   Term Frequency: 5         
Term: given                          Term Frequency: 5         
Term: determining                    Term Frequency: 5         
Term: how                            Term Frequency: 5         
Term: questions                      Term Frequency: 5         
Term: prior                          Term Frequency: 5         
Term: find                           Term Frequency: 5         
Term: present                        Term Frequency: 5         
Term: problems                       Term Frequency: 5         
Term: number                         Term Frequency: 5         
Term: sample                         Term Frequency: 5         
Term: level                          Term Frequency: 5         
Term: j                              Term Frequency: 4         
Term: question                       Term Frequency: 4         
Term: initial                        Term Frequency: 4         
Term: shown                          Term Frequency: 4         
Term: mathematics                    Term Frequency: 4         
Term: methodology                    Term Frequency: 4         
Term: 24                             Term Frequency: 4         
Term: many                           Term Frequency: 4         
Term: work                           Term Frequency: 4         
Term: tutoring                       Term Frequency: 4         
