Term: confidence                     Term Frequency: 48        
Term: students                       Term Frequency: 39        
Term: we                             Term Frequency: 28        
Term: student                        Term Frequency: 18        
Term: 2                              Term Frequency: 17        
Term: physical                       Term Frequency: 16        
Term: data                           Term Frequency: 16        
Term: 3                              Term Frequency: 15        
Term: courses                        Term Frequency: 15        
Term: social                         Term Frequency: 15        
Term: 1                              Term Frequency: 14        
Term: underconfidence                Term Frequency: 13        
Term: overconfidence                 Term Frequency: 13        
Term: correlation                    Term Frequency: 13        
Term: sciences                       Term Frequency: 12        
Term: learning                       Term Frequency: 12        
Term: life                           Term Frequency: 12        
Term: performance                    Term Frequency: 12        
Term: humanities                     Term Frequency: 11        
Term: abilities                      Term Frequency: 11        
Term: each                           Term Frequency: 11        
Term: from                           Term Frequency: 11        
Term: semester                       Term Frequency: 11        
Term: more                           Term Frequency: 11        
Term: over                           Term Frequency: 11        
Term: questions                      Term Frequency: 10        
Term: figure                         Term Frequency: 10        
Term: 5                              Term Frequency: 9         
Term: may                            Term Frequency: 9         
Term: vs                             Term Frequency: 9         
Term: our                            Term Frequency: 9         
Term: course                         Term Frequency: 9         
Term: self                           Term Frequency: 9         
Term: also                           Term Frequency: 9         
Term: 6                              Term Frequency: 8         
Term: c                              Term Frequency: 8         
Term: were                           Term Frequency: 8         
Term: which                          Term Frequency: 8         
Term: than                           Term Frequency: 8         
Term: how                            Term Frequency: 8         
Term: within                         Term Frequency: 8         
Term: accuracy                       Term Frequency: 8         
Term: score                          Term Frequency: 8         
Term: 0                              Term Frequency: 7         
Term: s                              Term Frequency: 7         
Term: con                            Term Frequency: 7         
Term: being                          Term Frequency: 7         
Term: science                        Term Frequency: 7         
Term: study                          Term Frequency: 7         
Term: discipline                     Term Frequency: 7         
Term: all                            Term Frequency: 7         
Term: total                          Term Frequency: 7         
Term: 4                              Term Frequency: 6         
Term: have                           Term Frequency: 6         
Term: dence                          Term Frequency: 6         
Term: achievement                    Term Frequency: 6         
Term: toward                         Term Frequency: 6         
Term: student’s                      Term Frequency: 6         
Term: research                       Term Frequency: 6         
Term: while                          Term Frequency: 6         
Term: metacognition                  Term Frequency: 6         
Term: re                             Term Frequency: 6         
Term: realistic                      Term Frequency: 6         
Term: profiles                       Term Frequency: 6         
Term: correlated                     Term Frequency: 6         
Term: educational                    Term Frequency: 6         
Term: where                          Term Frequency: 6         
Term: between                        Term Frequency: 6         
Term: academic                       Term Frequency: 5         
Term: 17                             Term Frequency: 5         
Term: work                           Term Frequency: 5         
Term: when                           Term Frequency: 5         
Term: rate                           Term Frequency: 5         
Term: analyses                       Term Frequency: 5         
Term: success                        Term Frequency: 5         
Term: general                        Term Frequency: 5         
Term: underconfident                 Term Frequency: 5         
Term: ratio                          Term Frequency: 5         
Term: answered                       Term Frequency: 5         
Term: number                         Term Frequency: 5         
Term: using                          Term Frequency: 5         
Term: fidence                        Term Frequency: 5         
Term: both                           Term Frequency: 5         
Term: higher                         Term Frequency: 5         
Term: suggest                        Term Frequency: 5         
Term: responses                      Term Frequency: 5         
Term: can                            Term Frequency: 5         
Term: findings                       Term Frequency: 4         
Term: overall                        Term Frequency: 4         
Term: due                            Term Frequency: 4         
Term: 13                             Term Frequency: 4         
Term: education                      Term Frequency: 4         
Term: perception                     Term Frequency: 4         
Term: what                           Term Frequency: 4         
Term: four                           Term Frequency: 4         
Term: conference                     Term Frequency: 4         
Term: help                           Term Frequency: 4         
Term: own                            Term Frequency: 4         
Term: confi                          Term Frequency: 4         
Term: correct                        Term Frequency: 4         
Term: difference                     Term Frequency: 4         
Term: time                           Term Frequency: 4         
Term: knowledge                      Term Frequency: 4         
Term: answer                         Term Frequency: 4         
Term: some                           Term Frequency: 4         
Term: first                          Term Frequency: 4         
Term: paper                          Term Frequency: 4         
Term: different                      Term Frequency: 4         
Term: scores                         Term Frequency: 4         
Term: throughout                     Term Frequency: 4         
