Term: data                           Term Frequency: 46        
Term: learning                       Term Frequency: 18        
Term: analytics                      Term Frequency: 15        
Term: mining                         Term Frequency: 15        
Term: big                            Term Frequency: 13        
Term: predictive                     Term Frequency: 12        
Term: educational                    Term Frequency: 10        
Term: tutorial                       Term Frequency: 10        
Term: has                            Term Frequency: 9         
Term: from                           Term Frequency: 9         
Term: he                             Term Frequency: 8         
Term: education                      Term Frequency: 7         
Term: modeling                       Term Frequency: 6         
Term: researchers                    Term Frequency: 6         
Term: we                             Term Frequency: 6         
Term: ing                            Term Frequency: 6         
Term: learn                          Term Frequency: 5         
Term: including                      Term Frequency: 5         
Term: how                            Term Frequency: 5         
Term: large                          Term Frequency: 5         
Term: use                            Term Frequency: 5         
Term: re                             Term Frequency: 5         
Term: e                              Term Frequency: 4         
Term: have                           Term Frequency: 4         
Term: spark                          Term Frequency: 4         
Term: exploratory                    Term Frequency: 4         
Term: programming                    Term Frequency: 4         
Term: she                            Term Frequency: 4         
Term: python                         Term Frequency: 4         
Term: commercial                     Term Frequency: 4         
Term: wide                           Term Frequency: 4         
Term: work                           Term Frequency: 4         
Term: our                            Term Frequency: 4         
Term: computing                      Term Frequency: 4         
Term: audience                       Term Frequency: 3         
Term: analysis                       Term Frequency: 3         
Term: 1                              Term Frequency: 3         
Term: volume                         Term Frequency: 3         
Term: copies                         Term Frequency: 3         
Term: all                            Term Frequency: 3         
Term: where                          Term Frequency: 3         
Term: through                        Term Frequency: 3         
Term: sciences                       Term Frequency: 3         
Term: results                        Term Frequency: 3         
Term: minutes                        Term Frequency: 3         
Term: been                           Term Frequency: 3         
Term: visualization                  Term Frequency: 3         
Term: over                           Term Frequency: 3         
Term: being                          Term Frequency: 3         
Term: machine                        Term Frequency: 3         
Term: astrophysics                   Term Frequency: 3         
Term: online                         Term Frequency: 3         
Term: conference                     Term Frequency: 3         
Term: available                      Term Frequency: 3         
Term: range                          Term Frequency: 3         
Term: half                           Term Frequency: 2         
Term: attendees                      Term Frequency: 2         
Term: accessible                     Term Frequency: 2         
Term: statistical                    Term Frequency: 2         
Term: least                          Term Frequency: 2         
Term: datasets                       Term Frequency: 2         
Term: wapla                          Term Frequency: 2         
Term: sets                           Term Frequency: 2         
Term: focus                          Term Frequency: 2         
Term: anal                           Term Frequency: 2         
Term: com                            Term Frequency: 2         
Term: academic                       Term Frequency: 2         
Term: real                           Term Frequency: 2         
Term: educate.gast.it.uc3m.es        Term Frequency: 2         
Term: improve                        Term Frequency: 2         
Term: objectives                     Term Frequency: 2         
Term: strategy                       Term Frequency: 2         
Term: forms                          Term Frequency: 2         
Term: led                            Term Frequency: 2         
Term: models                         Term Frequency: 2         
Term: using                          Term Frequency: 2         
Term: each                           Term Frequency: 2         
Term: validate                       Term Frequency: 2         
Term: research                       Term Frequency: 2         
Term: transformteaching              Term Frequency: 2         
Term: applications                   Term Frequency: 2         
Term: collected                      Term Frequency: 2         
Term: her                            Term Frequency: 2         
Term: plat                           Term Frequency: 2         
Term: before                         Term Frequency: 2         
Term: fee                            Term Frequency: 2         
Term: used                           Term Frequency: 2         
Term: experience                     Term Frequency: 2         
Term: presented                      Term Frequency: 2         
Term: day                            Term Frequency: 2         
Term: group                          Term Frequency: 2         
Term: puting                         Term Frequency: 2         
Term: part                           Term Frequency: 2         
Term: parallel                       Term Frequency: 2         
Term: velocity                       Term Frequency: 2         
Term: addition                       Term Frequency: 2         
Term: knowledge                      Term Frequency: 2         
Term: senior                         Term Frequency: 2         
Term: systems                        Term Frequency: 2         
Term: appeals                        Term Frequency: 2         
Term: language                       Term Frequency: 2         
Term: prior                          Term Frequency: 2         
Term: prerequisite                   Term Frequency: 2         
Term: material                       Term Frequency: 2         
Term: advanced                       Term Frequency: 2         
Term: simulation                     Term Frequency: 2         
Term: four                           Term Frequency: 2         
Term: model                          Term Frequency: 2         
Term: familiarity                    Term Frequency: 2         
Term: several                        Term Frequency: 2         
Term: main                           Term Frequency: 2         
Term: high                           Term Frequency: 2         
Term: disruption                     Term Frequency: 2         
Term: student                        Term Frequency: 2         
Term: make                           Term Frequency: 2         
Term: ysis                           Term Frequency: 2         
Term: 15                             Term Frequency: 2         
Term: received                       Term Frequency: 2         
Term: components                     Term Frequency: 2         
Term: variety                        Term Frequency: 2         
Term: participants                   Term Frequency: 2         
Term: one                            Term Frequency: 2         
Term: holds                          Term Frequency: 2         
Term: project                        Term Frequency: 2         
Term: ucation                        Term Frequency: 2         
Term: permissions                    Term Frequency: 2         
Term: tools                          Term Frequency: 2         
Term: agenda                         Term Frequency: 2         
Term: 10.1145                        Term Frequency: 2         
Term: datamining                     Term Frequency: 2         
Term: techniques                     Term Frequency: 2         
Term: platform                       Term Frequency: 2         
Term: can                            Term Frequency: 2         
Term: performance                    Term Frequency: 2         
Term: leading                        Term Frequency: 1         
Term: without                        Term Frequency: 1         
Term: building                       Term Frequency: 1         
Term: aswell                         Term Frequency: 1         
Term: biases                         Term Frequency: 1         
Term: easyto                         Term Frequency: 1         
Term: moving                         Term Frequency: 1         
Term: ologies                        Term Frequency: 1         
Term: packages                       Term Frequency: 1         
Term: 3                              Term Frequency: 1         
Term: 4                              Term Frequency: 1         
Term: 5                              Term Frequency: 1         
Term: 6                              Term Frequency: 1         
Term: 7                              Term Frequency: 1         
Term: 9                              Term Frequency: 1         
Term: much                           Term Frequency: 1         
Term: mined                          Term Frequency: 1         
Term: ture                           Term Frequency: 1         
Term: posted                         Term Frequency: 1         
Term: 4503                           Term Frequency: 1         
Term: visualizing                    Term Frequency: 1         
Term: consultant                     Term Frequency: 1         
Term: normality                      Term Frequency: 1         
Term: adopted                        Term Frequency: 1         
Term: discuss                        Term Frequency: 1         
Term: orclassroom                    Term Frequency: 1         
Term: educationby                    Term Frequency: 1         
Term: analyses                       Term Frequency: 1         
Term: post                           Term Frequency: 1         
Term: scaleinsights                  Term Frequency: 1         
Term: generated                      Term Frequency: 1         
Term: intersection                   Term Frequency: 1         
Term: others                         Term Frequency: 1         
Term: area                           Term Frequency: 1         
Term: making                         Term Frequency: 1         
Term: its                            Term Frequency: 1         
Term: currentlyinterested            Term Frequency: 1         
Term: port                           Term Frequency: 1         
Term: andin                          Term Frequency: 1         
Term: http                           Term Frequency: 1         
Term: formats                        Term Frequency: 1         
Term: technical                      Term Frequency: 1         
Term: ofbackgrounds                  Term Frequency: 1         
Term: neural                         Term Frequency: 1         
Term: 60minutes                      Term Frequency: 1         
Term: applied                        Term Frequency: 1         
Term: provided                       Term Frequency: 1         
Term: pean                           Term Frequency: 1         
Term: provides                       Term Frequency: 1         
Term: quired                         Term Frequency: 1         
Term: end                            Term Frequency: 1         
Term: hard                           Term Frequency: 1         
Term: perform                        Term Frequency: 1         
Term: multiple                       Term Frequency: 1         
Term: 2138                           Term Frequency: 1         
Term: chine                          Term Frequency: 1         
Term: well                           Term Frequency: 1         
Term: college                        Term Frequency: 1         
Term: called                         Term Frequency: 1         
Term: years                          Term Frequency: 1         
Term: plied                          Term Frequency: 1         
Term: andfounded                     Term Frequency: 1         
Term: number                         Term Frequency: 1         
Term: e.g                            Term Frequency: 1         
Term: inter                          Term Frequency: 1         
