Term: model                          Term Frequency: 75        
Term: data                           Term Frequency: 43        
Term: students                       Term Frequency: 38        
Term: student                        Term Frequency: 36        
Term: 1                              Term Frequency: 34        
Term: 2                              Term Frequency: 30        
Term: course                         Term Frequency: 30        
Term: week                           Term Frequency: 27        
Term: 3                              Term Frequency: 25        
Term: were                           Term Frequency: 25        
Term: courses                        Term Frequency: 21        
Term: discussion                     Term Frequency: 17        
Term: predictive                     Term Frequency: 15        
Term: time                           Term Frequency: 15        
Term: from                           Term Frequency: 15        
Term: academic                       Term Frequency: 14        
Term: degree                         Term Frequency: 14        
Term: university                     Term Frequency: 13        
Term: variables                      Term Frequency: 13        
Term: education                      Term Frequency: 13        
Term: earned                         Term Frequency: 13        
Term: all                            Term Frequency: 13        
Term: information                    Term Frequency: 12        
Term: prior                          Term Frequency: 12        
Term: online                         Term Frequency: 12        
Term: status                         Term Frequency: 11        
Term: one                            Term Frequency: 11        
Term: other                          Term Frequency: 11        
Term: than                           Term Frequency: 10        
Term: out                            Term Frequency: 10        
Term: validation                     Term Frequency: 10        
Term: post                           Term Frequency: 10        
Term: points                         Term Frequency: 10        
Term: more                           Term Frequency: 10        
Term: made                           Term Frequency: 9         
Term: included                       Term Frequency: 9         
Term: financial                      Term Frequency: 9         
Term: used                           Term Frequency: 9         
Term: advisors                       Term Frequency: 9         
Term: populated                      Term Frequency: 9         
Term: found                          Term Frequency: 9         
Term: some                           Term Frequency: 9         
Term: between                        Term Frequency: 9         
Term: 5                              Term Frequency: 8         
Term: zone                           Term Frequency: 8         
Term: credits                        Term Frequency: 8         
Term: learning                       Term Frequency: 8         
Term: success                        Term Frequency: 8         
Term: within                         Term Frequency: 8         
Term: significant                    Term Frequency: 8         
Term: level                          Term Frequency: 8         
Term: 4                              Term Frequency: 7         
Term: provide                        Term Frequency: 7         
Term: 50                             Term Frequency: 7         
Term: risk                           Term Frequency: 7         
Term: neutral                        Term Frequency: 7         
Term: based                          Term Frequency: 7         
Term: number                         Term Frequency: 7         
Term: using                          Term Frequency: 7         
Term: through                        Term Frequency: 7         
Term: posts                          Term Frequency: 7         
Term: current                        Term Frequency: 7         
Term: elements                       Term Frequency: 7         
Term: can                            Term Frequency: 7         
Term: analytics                      Term Frequency: 6         
Term: bachelor’s                     Term Frequency: 6         
Term: initial                        Term Frequency: 6         
Term: 10                             Term Frequency: 6         
Term: version                        Term Frequency: 6         
Term: student’s                      Term Frequency: 6         
Term: research                       Term Frequency: 6         
Term: who                            Term Frequency: 6         
Term: which                          Term Frequency: 6         
Term: activity                       Term Frequency: 6         
Term: implementation                 Term Frequency: 6         
Term: whether                        Term Frequency: 6         
Term: point                          Term Frequency: 6         
Term: score                          Term Frequency: 6         
Term: predict                        Term Frequency: 6         
Term: both                           Term Frequency: 6         
Term: also                           Term Frequency: 6         
Term: set                            Term Frequency: 6         
Term: table                          Term Frequency: 6         
Term: available                      Term Frequency: 6         
Term: would                          Term Frequency: 5         
