Term: teachers                       Term Frequency: 41        
Term: gestures                       Term Frequency: 39        
Term: classroom                      Term Frequency: 18        
Term: learning                       Term Frequency: 17        
Term: virtual                        Term Frequency: 16        
Term: students                       Term Frequency: 14        
Term: algebra                        Term Frequency: 13        
Term: research                       Term Frequency: 13        
Term: study                          Term Frequency: 13        
Term: teaching                       Term Frequency: 12        
Term: gesture                        Term Frequency: 12        
Term: biology                        Term Frequency: 12        
Term: we                             Term Frequency: 12        
Term: from                           Term Frequency: 11        
Term: 1                              Term Frequency: 10        
Term: use                            Term Frequency: 10        
Term: real                           Term Frequency: 10        
Term: 2                              Term Frequency: 8         
Term: video                          Term Frequency: 8         
Term: sessions                       Term Frequency: 8         
Term: language                       Term Frequency: 8         
Term: nonverbal                      Term Frequency: 7         
Term: have                           Term Frequency: 7         
Term: lesson                         Term Frequency: 7         
Term: abstract                       Term Frequency: 7         
Term: environment                    Term Frequency: 7         
Term: used                           Term Frequency: 7         
Term: especially                     Term Frequency: 7         
Term: 4                              Term Frequency: 6         
Term: teacher                        Term Frequency: 6         
Term: speech                         Term Frequency: 6         
Term: based                          Term Frequency: 6         
Term: during                         Term Frequency: 6         
Term: setting                        Term Frequency: 6         
Term: communication                  Term Frequency: 6         
Term: student                        Term Frequency: 6         
Term: concepts                       Term Frequency: 6         
Term: one                            Term Frequency: 6         
Term: role                           Term Frequency: 5         
Term: hand                           Term Frequency: 5         
Term: s                              Term Frequency: 5         
Term: were                           Term Frequency: 5         
Term: mathematics                    Term Frequency: 5         
Term: may                            Term Frequency: 5         
Term: 17                             Term Frequency: 5         
Term: science                        Term Frequency: 5         
Term: education                      Term Frequency: 5         
Term: new                            Term Frequency: 5         
Term: plan                           Term Frequency: 5         
Term: our                            Term Frequency: 5         
Term: analysis                       Term Frequency: 4         
Term: 3                              Term Frequency: 4         
Term: 5                              Term Frequency: 4         
Term: 6                              Term Frequency: 4         
Term: school                         Term Frequency: 4         
Term: human                          Term Frequency: 4         
Term: about                          Term Frequency: 4         
Term: 14                             Term Frequency: 4         
Term: work                           Term Frequency: 4         
Term: results                        Term Frequency: 4         
Term: al                             Term Frequency: 4         
Term: et                             Term Frequency: 4         
Term: however                        Term Frequency: 4         
Term: 7                              Term Frequency: 3         
Term: actions                        Term Frequency: 3         
Term: applications                   Term Frequency: 3         
Term: pointing                       Term Frequency: 3         
Term: lectures                       Term Frequency: 3         
Term: been                           Term Frequency: 3         
Term: videos                         Term Frequency: 3         
Term: impact                         Term Frequency: 3         
Term: domain                         Term Frequency: 3         
Term: how                            Term Frequency: 3         
Term: 2000                           Term Frequency: 3         
Term: some                           Term Frequency: 3         
Term: messages                       Term Frequency: 3         
Term: movements                      Term Frequency: 3         
Term: 10                             Term Frequency: 3         
Term: 11                             Term Frequency: 3         
Term: 15                             Term Frequency: 3         
Term: experts                        Term Frequency: 3         
Term: foreign                        Term Frequency: 3         
Term: iconic                         Term Frequency: 3         
Term: understanding                  Term Frequency: 3         
Term: behavior                       Term Frequency: 3         
Term: educational                    Term Frequency: 3         
Term: useful                         Term Frequency: 3         
Term: similar                        Term Frequency: 3         
Term: other                          Term Frequency: 3         
Term: copies                         Term Frequency: 3         
Term: skills                         Term Frequency: 3         
Term: teacher’s                      Term Frequency: 3         
Term: frequently                     Term Frequency: 3         
Term: instructional                  Term Frequency: 3         
Term: sciences                       Term Frequency: 3         
Term: either                         Term Frequency: 3         
Term: more                           Term Frequency: 3         
Term: do                             Term Frequency: 3         
Term: barmaki                        Term Frequency: 3         
Term: content                        Term Frequency: 3         
Term: significantly                  Term Frequency: 3         
Term: than                           Term Frequency: 3         
Term: different                      Term Frequency: 3         
Term: novice                         Term Frequency: 3         
Term: highly                         Term Frequency: 3         
Term: cognitive                      Term Frequency: 3         
Term: records                        Term Frequency: 3         
Term: between                        Term Frequency: 3         
Term: comprehension                  Term Frequency: 3         
Term: help                           Term Frequency: 3         
Term: data                           Term Frequency: 3         
Term: can                            Term Frequency: 3         
Term: without                        Term Frequency: 2         
Term: avatars                        Term Frequency: 2         
Term: 8                              Term Frequency: 2         
Term: 9                              Term Frequency: 2         
Term: psychology                     Term Frequency: 2         
Term: tutorial                       Term Frequency: 2         
Term: per                            Term Frequency: 2         
Term: analyze                        Term Frequency: 2         
Term: basic                          Term Frequency: 2         
Term: spoken                         Term Frequency: 2         
Term: difference                     Term Frequency: 2         
Term: two                            Term Frequency: 2         
Term: participant                    Term Frequency: 2         
Term: pre                            Term Frequency: 2         
Term: reflection                     Term Frequency: 2         
Term: concept                        Term Frequency: 2         
Term: provide                        Term Frequency: 2         
Term: means                          Term Frequency: 2         
Term: major                          Term Frequency: 2         
Term: shown                          Term Frequency: 2         
Term: part                           Term Frequency: 2         
Term: process                        Term Frequency: 2         
Term: mind                           Term Frequency: 2         
Term: subjects                       Term Frequency: 2         
Term: possible                       Term Frequency: 2         
Term: did                            Term Frequency: 2         
Term: questions                      Term Frequency: 2         
Term: 2001                           Term Frequency: 2         
Term: session                        Term Frequency: 2         
Term: 2007                           Term Frequency: 2         
Term: owner                          Term Frequency: 2         
Term: 2015                           Term Frequency: 2         
