Term: learning                       Term Frequency: 102       
Term: metadata                       Term Frequency: 72        
Term: data                           Term Frequency: 61        
Term: resource                       Term Frequency: 38        
Term: social                         Term Frequency: 31        
Term: resources                      Term Frequency: 30        
Term: can                            Term Frequency: 24        
Term: could                          Term Frequency: 22        
Term: from                           Term Frequency: 22        
Term: used                           Term Frequency: 17        
Term: analytics                      Term Frequency: 16        
Term: we                             Term Frequency: 16        
Term: based                          Term Frequency: 15        
Term: about                          Term Frequency: 14        
Term: users                          Term Frequency: 14        
Term: search                         Term Frequency: 14        
Term: 1                              Term Frequency: 13        
Term: may                            Term Frequency: 12        
Term: use                            Term Frequency: 12        
Term: user                           Term Frequency: 12        
Term: all                            Term Frequency: 12        
Term: e.g                            Term Frequency: 11        
Term: community                      Term Frequency: 11        
Term: what                           Term Frequency: 11        
Term: services                       Term Frequency: 10        
Term: documents                      Term Frequency: 10        
Term: submitted                      Term Frequency: 10        
Term: repositories                   Term Frequency: 10        
Term: have                           Term Frequency: 9         
Term: provide                        Term Frequency: 9         
Term: paradata                       Term Frequency: 9         
Term: open                           Term Frequency: 9         
Term: design                         Term Frequency: 9         
Term: how                            Term Frequency: 9         
Term: using                          Term Frequency: 9         
Term: also                           Term Frequency: 9         
Term: information                    Term Frequency: 8         
Term: format                         Term Frequency: 8         
Term: browser                        Term Frequency: 8         
Term: education                      Term Frequency: 8         
Term: attention                      Term Frequency: 8         
Term: standards                      Term Frequency: 7         
Term: document                       Term Frequency: 7         
Term: sharing                        Term Frequency: 7         
Term: way                            Term Frequency: 7         
Term: which                          Term Frequency: 7         
Term: activity                       Term Frequency: 7         
Term: our                            Term Frequency: 7         
Term: early                          Term Frequency: 7         
Term: online                         Term Frequency: 7         
Term: network                        Term Frequency: 7         
Term: schema                         Term Frequency: 7         
Term: descriptive                    Term Frequency: 7         
Term: 2                              Term Frequency: 6         
Term: provides                       Term Frequency: 6         
Term: harvest                        Term Frequency: 6         
Term: unique                         Term Frequency: 6         
Term: across                         Term Frequency: 6         
Term: identity                       Term Frequency: 6         
Term: support                        Term Frequency: 6         
Term: date                           Term Frequency: 6         
Term: create                         Term Frequency: 6         
Term: found                          Term Frequency: 6         
Term: 2011                           Term Frequency: 6         
Term: views                          Term Frequency: 6         
Term: access                         Term Frequency: 6         
Term: submission                     Term Frequency: 6         
Term: 3                              Term Frequency: 5         
Term: object                         Term Frequency: 5         
Term: example                        Term Frequency: 5         
Term: y                              Term Frequency: 5         
Term: properties                     Term Frequency: 5         
Term: among                          Term Frequency: 5         
Term: http                           Term Frequency: 5         
Term: alignment                      Term Frequency: 5         
Term: specific                       Term Frequency: 5         
Term: web                            Term Frequency: 5         
Term: uses                           Term Frequency: 5         
Term: portals                        Term Frequency: 5         
Term: out                            Term Frequency: 5         
Term: core                           Term Frequency: 5         
Term: has                            Term Frequency: 5         
Term: canonical                      Term Frequency: 5         
Term: present                        Term Frequency: 5         
Term: building                       Term Frequency: 5         
Term: ratings                        Term Frequency: 5         
Term: distributed                    Term Frequency: 5         
Term: developers                     Term Frequency: 5         
Term: more                           Term Frequency: 5         
Term: store                          Term Frequency: 5         
Term: available                      Term Frequency: 5         
Term: should                         Term Frequency: 5         
Term: same                           Term Frequency: 4         
Term: x                              Term Frequency: 4         
Term: provided                       Term Frequency: 4         
Term: including                      Term Frequency: 4         
Term: teacher                        Term Frequency: 4         
Term: concept                        Term Frequency: 4         
Term: created                        Term Frequency: 4         
Term: recommendations                Term Frequency: 4         
Term: make                           Term Frequency: 4         
Term: many                           Term Frequency: 4         
Term: via                            Term Frequency: 4         
Term: because                        Term Frequency: 4         
Term: around                         Term Frequency: 4         
Term: might                          Term Frequency: 4         
Term: submit                         Term Frequency: 4         
Term: various                        Term Frequency: 4         
Term: experimentation                Term Frequency: 4         
Term: digital                        Term Frequency: 4         
Term: management                     Term Frequency: 4         
Term: one                            Term Frequency: 4         
Term: us                             Term Frequency: 4         
Term: repository                     Term Frequency: 4         
Term: analysis                       Term Frequency: 4         
Term: standard                       Term Frequency: 4         
Term: must                           Term Frequency: 4         
Term: actions                        Term Frequency: 4         
Term: disparate                      Term Frequency: 4         
Term: time                           Term Frequency: 4         
Term: 2005                           Term Frequency: 4         
Term: system                         Term Frequency: 4         
Term: local                          Term Frequency: 4         
Term: copies                         Term Frequency: 4         
Term: profit                         Term Frequency: 4         
Term: organizations                  Term Frequency: 4         
Term: see                            Term Frequency: 4         
Term: related                        Term Frequency: 4         
Term: expressed                      Term Frequency: 4         
Term: different                      Term Frequency: 4         
Term: level                          Term Frequency: 4         
Term: 4                              Term Frequency: 3         
Term: 5                              Term Frequency: 3         
Term: 6                              Term Frequency: 3         
Term: 7                              Term Frequency: 3         
Term: keywords                       Term Frequency: 3         
Term: top                            Term Frequency: 3         
Term: dataset                        Term Frequency: 3         
Term: principle                      Term Frequency: 3         
Term: source                         Term Frequency: 3         
Term: requires                       Term Frequency: 3         
Term: submitting                     Term Frequency: 3         
Term: build                          Term Frequency: 3         
Term: websites                       Term Frequency: 3         
Term: 11                             Term Frequency: 3         
Term: 12                             Term Frequency: 3         
Term: allow                          Term Frequency: 3         
Term: federal                        Term Frequency: 3         
Term: replication                    Term Frequency: 3         
Term: providers                      Term Frequency: 3         
Term: visual                         Term Frequency: 3         
Term: version                        Term Frequency: 3         
Term: gather                         Term Frequency: 3         
Term: sri.com                        Term Frequency: 3         
Term: volume                         Term Frequency: 3         
Term: share                          Term Frequency: 3         
Term: stored                         Term Frequency: 3         
Term: media                          Term Frequency: 3         
Term: mechanism                      Term Frequency: 3         
Term: describe                       Term Frequency: 3         
Term: research                       Term Frequency: 3         
Term: option                         Term Frequency: 3         
Term: actor                          Term Frequency: 3         
Term: sites                          Term Frequency: 3         
Term: teachers                       Term Frequency: 3         
Term: specification                  Term Frequency: 3         
Term: verb                           Term Frequency: 3         
Term: student                        Term Frequency: 3         
Term: variety                        Term Frequency: 3         
Term: terms                          Term Frequency: 3         
Term: proof                          Term Frequency: 3         
Term: tools                          Term Frequency: 3         
Term: groups                         Term Frequency: 3         
Term: thus                           Term Frequency: 3         
Term: compute                        Term Frequency: 3         
Term: federated                      Term Frequency: 3         
Term: rover                          Term Frequency: 3         
Term: applications                   Term Frequency: 3         
Term: extraction                     Term Frequency: 3         
