Term: analytics                      Term Frequency: 37        
Term: learning                       Term Frequency: 36        
Term: policy                         Term Frequency: 24        
Term: workshop                       Term Frequency: 17        
Term: policies                       Term Frequency: 15        
Term: which                          Term Frequency: 13        
Term: data                           Term Frequency: 13        
Term: p                              Term Frequency: 11        
Term: participants                   Term Frequency: 10        
Term: lace                           Term Frequency: 9         
Term: from                           Term Frequency: 8         
Term: report                         Term Frequency: 8         
Term: use                            Term Frequency: 7         
Term: analysis                       Term Frequency: 6         
Term: s                              Term Frequency: 6         
Term: has                            Term Frequency: 6         
Term: constraints                    Term Frequency: 6         
Term: work                           Term Frequency: 6         
Term: education                      Term Frequency: 6         
Term: between                        Term Frequency: 6         
Term: development                    Term Frequency: 6         
Term: 3                              Term Frequency: 5         
Term: environment                    Term Frequency: 5         
Term: achievements                   Term Frequency: 5         
Term: countries                      Term Frequency: 5         
Term: country                        Term Frequency: 5         
Term: 1                              Term Frequency: 4         
Term: 4                              Term Frequency: 4         
Term: 6                              Term Frequency: 4         
Term: aspirations                    Term Frequency: 4         
Term: including                      Term Frequency: 4         
Term: discussion                     Term Frequency: 4         
Term: state                          Term Frequency: 4         
Term: knowledge                      Term Frequency: 4         
Term: government                     Term Frequency: 4         
Term: other                          Term Frequency: 4         
Term: around                         Term Frequency: 4         
Term: sharing                        Term Frequency: 4         
Term: what                           Term Frequency: 4         
Term: social                         Term Frequency: 4         
Term: privacy                        Term Frequency: 4         
Term: own                            Term Frequency: 4         
Term: outcomes                       Term Frequency: 3         
Term: 2                              Term Frequency: 3         
Term: 5                              Term Frequency: 3         
Term: 7                              Term Frequency: 3         
Term: regional                       Term Frequency: 3         
Term: provides                       Term Frequency: 3         
Term: institutional                  Term Frequency: 3         
Term: valuable                       Term Frequency: 3         
Term: been                           Term Frequency: 3         
Term: areas                          Term Frequency: 3         
Term: 2010                           Term Frequency: 3         
Term: 2017                           Term Frequency: 3         
Term: 2016                           Term Frequency: 3         
Term: 2015                           Term Frequency: 3         
Term: field                          Term Frequency: 3         
Term: gathered                       Term Frequency: 3         
Term: international                  Term Frequency: 3         
Term: includes                       Term Frequency: 3         
Term: 12                             Term Frequency: 3         
Term: 17                             Term Frequency: 3         
Term: relationship                   Term Frequency: 3         
Term: open                           Term Frequency: 3         
Term: network                        Term Frequency: 3         
Term: community                      Term Frequency: 3         
Term: scope                          Term Frequency: 3         
Term: copies                         Term Frequency: 3         
Term: all                            Term Frequency: 3         
Term: professional                   Term Frequency: 3         
Term: al                             Term Frequency: 3         
Term: national                       Term Frequency: 3         
Term: et                             Term Frequency: 3         
Term: practitioners                  Term Frequency: 3         
Term: world                          Term Frequency: 3         
Term: phase                          Term Frequency: 3         
Term: can                            Term Frequency: 3         
Term: without                        Term Frequency: 2         
Term: 8                              Term Frequency: 2         
