Term: data                           Term Frequency: 26        
Term: tutorial                       Term Frequency: 21        
Term: learning                       Term Frequency: 20        
Term: educational                    Term Frequency: 19        
Term: we                             Term Frequency: 17        
Term: mining                         Term Frequency: 16        
Term: research                       Term Frequency: 16        
Term: datasets                       Term Frequency: 12        
Term: attendees                      Term Frequency: 11        
Term: weka                           Term Frequency: 11        
Term: university                     Term Frequency: 11        
Term: analytics                      Term Frequency: 8         
Term: mins                           Term Frequency: 7         
Term: scientists                     Term Frequency: 7         
Term: well                           Term Frequency: 6         
Term: have                           Term Frequency: 6         
Term: lak                            Term Frequency: 6         
Term: toolkit                        Term Frequency: 6         
Term: computer                       Term Frequency: 6         
Term: knowledge                      Term Frequency: 6         
Term: questions                      Term Frequency: 6         
Term: classification                 Term Frequency: 6         
Term: use                            Term Frequency: 6         
Term: understanding                  Term Frequency: 6         
Term: education                      Term Frequency: 6         
Term: using                          Term Frequency: 6         
Term: techniques                     Term Frequency: 6         
Term: analysis                       Term Frequency: 5         
Term: e.g                            Term Frequency: 5         
Term: discussion                     Term Frequency: 5         
Term: researchers                    Term Frequency: 5         
Term: machine                        Term Frequency: 5         
Term: other                          Term Frequency: 5         
Term: etc                            Term Frequency: 5         
Term: decision                       Term Frequency: 5         
Term: one                            Term Frequency: 5         
Term: can                            Term Frequency: 5         
Term: 1                              Term Frequency: 4         
Term: information                    Term Frequency: 4         
Term: applied                        Term Frequency: 4         
Term: introduction                   Term Frequency: 4         
Term: how                            Term Frequency: 4         
Term: online                         Term Frequency: 4         
Term: based                          Term Frequency: 4         
Term: community                      Term Frequency: 4         
Term: copies                         Term Frequency: 4         
Term: results                        Term Frequency: 4         
Term: way                            Term Frequency: 4         
Term: who                            Term Frequency: 4         
Term: student                        Term Frequency: 4         
Term: social                         Term Frequency: 4         
Term: expect                         Term Frequency: 4         
Term: 2                              Term Frequency: 3         
Term: 3                              Term Frequency: 3         
Term: 5                              Term Frequency: 3         
Term: kinds                          Term Frequency: 3         
Term: cluster                        Term Frequency: 3         
Term: has                            Term Frequency: 3         
Term: institutional                  Term Frequency: 3         
Term: methods                        Term Frequency: 3         
Term: backgrounds                    Term Frequency: 3         
Term: tree                           Term Frequency: 3         
Term: process                        Term Frequency: 3         
Term: been                           Term Frequency: 3         
Term: being                          Term Frequency: 3         
Term: able                           Term Frequency: 3         
Term: equipment                      Term Frequency: 3         
Term: clustering                     Term Frequency: 3         
Term: 20                             Term Frequency: 3         
Term: believe                        Term Frequency: 3         
Term: work                           Term Frequency: 3         
Term: assistant                      Term Frequency: 3         
Term: http                           Term Frequency: 3         
Term: real                           Term Frequency: 3         
Term: sciences                       Term Frequency: 3         
Term: parameters                     Term Frequency: 3         
Term: what                           Term Frequency: 3         
Term: explore                        Term Frequency: 3         
Term: offered                        Term Frequency: 3         
Term: content                        Term Frequency: 3         
Term: available                      Term Frequency: 3         
Term: up                             Term Frequency: 3         
Term: course                         Term Frequency: 3         
Term: only                           Term Frequency: 3         
Term: outcomes                       Term Frequency: 2         
Term: 4                              Term Frequency: 2         
Term: statistical                    Term Frequency: 2         
Term: example                        Term Frequency: 2         
Term: k                              Term Frequency: 2         
Term: novel                          Term Frequency: 2         
Term: intersection                   Term Frequency: 2         
Term: walked                         Term Frequency: 2         
Term: provided                       Term Frequency: 2         
Term: focus                          Term Frequency: 2         
Term: interested                     Term Frequency: 2         
Term: authored                       Term Frequency: 2         
Term: source                         Term Frequency: 2         
Term: guided                         Term Frequency: 2         
Term: participant                    Term Frequency: 2         
Term: given                          Term Frequency: 2         
Term: time                           Term Frequency: 2         
Term: means                          Term Frequency: 2         
Term: group                          Term Frequency: 2         
Term: particular                     Term Frequency: 2         
Term: part                           Term Frequency: 2         
Term: applying                       Term Frequency: 2         
Term: heavily                        Term Frequency: 2         
Term: third                          Term Frequency: 2         
Term: further                        Term Frequency: 2         
Term: limitations                    Term Frequency: 2         
Term: beneficial                     Term Frequency: 2         
Term: additional                     Term Frequency: 2         
Term: owner                          Term Frequency: 2         
Term: schedule                       Term Frequency: 2         
Term: made                           Term Frequency: 2         
Term: may                            Term Frequency: 2         
Term: find                           Term Frequency: 2         
Term: background                     Term Frequency: 2         
Term: trees                          Term Frequency: 2         
Term: 16                             Term Frequency: 2         
Term: quality                        Term Frequency: 2         
Term: free                           Term Frequency: 2         
Term: 30                             Term Frequency: 2         
Term: 40                             Term Frequency: 2         
Term: open                           Term Frequency: 2         
Term: interest                       Term Frequency: 2         
Term: apply                          Term Frequency: 2         
Term: theory                         Term Frequency: 2         
Term: include                        Term Frequency: 2         
Term: from                           Term Frequency: 2         
Term: hands                          Term Frequency: 2         
Term: building                       Term Frequency: 2         
Term: graduate                       Term Frequency: 2         
Term: selection                      Term Frequency: 2         
Term: science                        Term Frequency: 2         
Term: learn                          Term Frequency: 2         
Term: aim                            Term Frequency: 2         
Term: share                          Term Frequency: 2         
Term: all                            Term Frequency: 2         
Term: new                            Term Frequency: 2         
Term: umich.edu                      Term Frequency: 2         
Term: students                       Term Frequency: 2         
Term: through                        Term Frequency: 2         
Term: those                          Term Frequency: 2         
Term: iterations                     Term Frequency: 2         
Term: modeling                       Term Frequency: 2         
Term: explicitly                     Term Frequency: 2         
Term: used                           Term Frequency: 2         
Term: along                          Term Frequency: 2         
Term: various                        Term Frequency: 2         
Term: predictive                     Term Frequency: 2         
Term: digital                        Term Frequency: 2         
Term: practical                      Term Frequency: 2         
Term: practice                       Term Frequency: 2         
Term: focuses                        Term Frequency: 2         
Term: exploring                      Term Frequency: 2         
Term: high                           Term Frequency: 2         
Term: different                      Term Frequency: 2         
Term: author                         Term Frequency: 2         
Term: cross                          Term Frequency: 2         
Term: proposal                       Term Frequency: 2         
Term: variety                        Term Frequency: 2         
Term: conferences                    Term Frequency: 2         
Term: participants                   Term Frequency: 2         
Term: previous                       Term Frequency: 2         
Term: feedback                       Term Frequency: 2         
Term: tools                          Term Frequency: 2         
Term: our                            Term Frequency: 2         
Term: out                            Term Frequency: 2         
Term: help                           Term Frequency: 2         
Term: resource                       Term Frequency: 2         
Term: computing                      Term Frequency: 2         
Term: half                           Term Frequency: 1         
Term: remote                         Term Frequency: 1         
Term: without                        Term Frequency: 1         
Term: would                          Term Frequency: 1         
Term: ed.ac.uk                       Term Frequency: 1         
Term: ten                            Term Frequency: 1         
Term: persistent                     Term Frequency: 1         
Term: size                           Term Frequency: 1         
Term: 6                              Term Frequency: 1         
Term: much                           Term Frequency: 1         
Term: accessible                     Term Frequency: 1         
Term: after                          Term Frequency: 1         
Term: 4503                           Term Frequency: 1         
Term: s                              Term Frequency: 1         
Term: wrap                           Term Frequency: 1         
Term: wish                           Term Frequency: 1         
Term: area                           Term Frequency: 1         
Term: making                         Term Frequency: 1         
Term: psychology                     Term Frequency: 1         
Term: hard                           Term Frequency: 1         
Term: live                           Term Frequency: 1         
Term: citation                       Term Frequency: 1         
Term: classroom                      Term Frequency: 1         
Term: underlying                     Term Frequency: 1         
Term: intelligence                   Term Frequency: 1         
Term: enrolment                      Term Frequency: 1         
Term: even                           Term Frequency: 1         
Term: question                       Term Frequency: 1         
Term: communities                    Term Frequency: 1         
Term: upon                           Term Frequency: 1         
Term: whether                        Term Frequency: 1         
Term: improve                        Term Frequency: 1         
Term: basic                          Term Frequency: 1         
Term: intended                       Term Frequency: 1         
Term: must                           Term Frequency: 1         
Term: 4190                           Term Frequency: 1         
Term: two                            Term Frequency: 1         
Term: found                          Term Frequency: 1         
Term: does                           Term Frequency: 1         
Term: dataset                        Term Frequency: 1         
Term: offers                         Term Frequency: 1         
Term: dx.doi.org                     Term Frequency: 1         
Term: suited                         Term Frequency: 1         
Term: measure                        Term Frequency: 1         
Term: page                           Term Frequency: 1         
Term: full                           Term Frequency: 1         
Term: doctoral                       Term Frequency: 1         
Term: aspects                        Term Frequency: 1         
