Term: engagement                     Term Frequency: 35        
Term: s                              Term Frequency: 28        
Term: students                       Term Frequency: 21        
Term: student                        Term Frequency: 20        
Term: course                         Term Frequency: 16        
Term: group                          Term Frequency: 15        
Term: agentic                        Term Frequency: 14        
Term: middle                         Term Frequency: 14        
Term: high                           Term Frequency: 14        
Term: learning                       Term Frequency: 14        
Term: timepoints                     Term Frequency: 12        
Term: low                            Term Frequency: 12        
Term: model                          Term Frequency: 12        
Term: behavioural                    Term Frequency: 12        
Term: 1                              Term Frequency: 11        
Term: measures                       Term Frequency: 11        
Term: 3                              Term Frequency: 10        
Term: were                           Term Frequency: 10        
Term: 6                              Term Frequency: 9         
Term: 9                              Term Frequency: 9         
Term: b                              Term Frequency: 9         
Term: membership                     Term Frequency: 9         
Term: performance                    Term Frequency: 9         
Term: all                            Term Frequency: 9         
Term: predict                        Term Frequency: 9         
Term: four                           Term Frequency: 9         
Term: week                           Term Frequency: 9         
Term: research                       Term Frequency: 8         
Term: when                           Term Frequency: 8         
Term: 2                              Term Frequency: 7         
Term: days                           Term Frequency: 7         
Term: academic                       Term Frequency: 7         
Term: measure                        Term Frequency: 7         
Term: semester                       Term Frequency: 7         
Term: lecture                        Term Frequency: 7         
Term: comparing                      Term Frequency: 7         
Term: analytics                      Term Frequency: 6         
Term: did                            Term Frequency: 6         
Term: variables                      Term Frequency: 6         
Term: across                         Term Frequency: 6         
Term: number                         Term Frequency: 6         
Term: other                          Term Frequency: 6         
Term: differences                    Term Frequency: 6         
Term: table                          Term Frequency: 6         
Term: one                            Term Frequency: 6         
Term: c                              Term Frequency: 5         
Term: university                     Term Frequency: 5         
Term: time                           Term Frequency: 5         
Term: three                          Term Frequency: 5         
Term: prior                          Term Frequency: 5         
Term: 10                             Term Frequency: 5         
Term: 12                             Term Frequency: 5         
Term: from                           Term Frequency: 5         
Term: completed                      Term Frequency: 5         
Term: risk                           Term Frequency: 5         
Term: study                          Term Frequency: 5         
Term: we                             Term Frequency: 5         
Term: hadwin                         Term Frequency: 5         
Term: groups                         Term Frequency: 5         
Term: 5                              Term Frequency: 4         
Term: success                        Term Frequency: 4         
Term: regulated                      Term Frequency: 4         
Term: 0.00                           Term Frequency: 4         
Term: final                          Term Frequency: 4         
Term: uvic.ca                        Term Frequency: 4         
Term: models                         Term Frequency: 4         
Term: significant                    Term Frequency: 4         
Term: predictive                     Term Frequency: 4         
Term: between                        Term Frequency: 4         
Term: self                           Term Frequency: 4         
Term: 4                              Term Frequency: 3         
Term: p                              Term Frequency: 3         
Term: predicted                      Term Frequency: 3         
Term: contributed                    Term Frequency: 3         
Term: performing                     Term Frequency: 3         
Term: consistent                     Term Frequency: 3         
Term: history                        Term Frequency: 3         
Term: examining                      Term Frequency: 3         
Term: how                            Term Frequency: 3         
Term: 2015                           Term Frequency: 3         
Term: 15                             Term Frequency: 3         
Term: 17                             Term Frequency: 3         
Term: 90                             Term Frequency: 3         
Term: first                          Term Frequency: 3         
Term: evidence                       Term Frequency: 3         
Term: education                      Term Frequency: 3         
Term: synthesis                      Term Frequency: 3         
Term: copies                         Term Frequency: 3         
Term: any                            Term Frequency: 3         
Term: where                          Term Frequency: 3         
Term: levels                         Term Frequency: 3         
Term: used                           Term Frequency: 3         
Term: investigation                  Term Frequency: 3         
Term: personal                       Term Frequency: 3         
Term: viewed                         Term Frequency: 3         
Term: different                      Term Frequency: 3         
Term: higher                         Term Frequency: 3         
Term: review                         Term Frequency: 3         
Term: predictor                      Term Frequency: 3         
Term: 0                              Term Frequency: 2         
Term: weekly                         Term Frequency: 2         
Term: applied                        Term Frequency: 2         
Term: engaged                        Term Frequency: 2         
Term: have                           Term Frequency: 2         
Term: question                       Term Frequency: 2         
Term: lab                            Term Frequency: 2         
Term: promote                        Term Frequency: 2         
Term: has                            Term Frequency: 2         
Term: dx.doi.org                     Term Frequency: 2         
Term: motivation                     Term Frequency: 2         
Term: concept                        Term Frequency: 2         
Term: identified                     Term Frequency: 2         
Term: part                           Term Frequency: 2         
Term: point                          Term Frequency: 2         
Term: 2004                           Term Frequency: 2         
Term: owner                          Term Frequency: 2         
Term: 2016                           Term Frequency: 2         
Term: 2013                           Term Frequency: 2         
Term: 0.54                           Term Frequency: 2         
Term: revealed                       Term Frequency: 2         
Term: 0.65                           Term Frequency: 2         
Term: may                            Term Frequency: 2         
Term: included                       Term Frequency: 2         
Term: about                          Term Frequency: 2         
Term: 11                             Term Frequency: 2         
Term: 20                             Term Frequency: 2         
Term: five                           Term Frequency: 2         
Term: 59                             Term Frequency: 2         
Term: vital                          Term Frequency: 2         
Term: work                           Term Frequency: 2         
Term: dimensions                     Term Frequency: 2         
Term: 10.1145                        Term Frequency: 2         
Term: variable                       Term Frequency: 2         
Term: because                        Term Frequency: 2         
Term: least                          Term Frequency: 2         
Term: awarded                        Term Frequency: 2         
Term: educational                    Term Frequency: 2         
Term: http                           Term Frequency: 2         
Term: behaviourally                  Term Frequency: 2         
Term: minute                         Term Frequency: 2         
Term: investigating                  Term Frequency: 2         
Term: expected                       Term Frequency: 2         
Term: grade                          Term Frequency: 2         
Term: developing                     Term Frequency: 2         
Term: logistic                       Term Frequency: 2         
Term: participation                  Term Frequency: 2         
Term: attrition                      Term Frequency: 2         
Term: more                           Term Frequency: 2         
Term: see                            Term Frequency: 2         
Term: sig                            Term Frequency: 2         
Term: 978                            Term Frequency: 2         
Term: management                     Term Frequency: 2         
Term: significantly                  Term Frequency: 2         
Term: context                        Term Frequency: 2         
Term: grades                         Term Frequency: 2         
Term: literature                     Term Frequency: 2         
Term: communication                  Term Frequency: 2         
Term: author                         Term Frequency: 2         
Term: prediction                     Term Frequency: 2         
Term: failure                        Term Frequency: 2         
Term: type                           Term Frequency: 2         
Term: data                           Term Frequency: 2         
Term: can                            Term Frequency: 2         
Term: efficacy                       Term Frequency: 2         
Term: without                        Term Frequency: 1         
Term: outcomes                       Term Frequency: 1         
Term: fluctuate                      Term Frequency: 1         
Term: 3027385.3029455                Term Frequency: 1         
Term: same                           Term Frequency: 1         
Term: after                          Term Frequency: 1         
Term: 4503                           Term Frequency: 1         
Term: good                           Term Frequency: 1         
Term: lack                           Term Frequency: 1         
Term: provided                       Term Frequency: 1         
Term: divided                        Term Frequency: 1         
Term: hard                           Term Frequency: 1         
Term: citation                       Term Frequency: 1         
Term: multiple                       Term Frequency: 1         
Term: better                         Term Frequency: 1         
Term: understand                     Term Frequency: 1         
Term: classroom                      Term Frequency: 1         
Term: evidencing                     Term Frequency: 1         
Term: binary                         Term Frequency: 1         
Term: tmilford                       Term Frequency: 1         
Term: 2.1                            Term Frequency: 1         
Term: 2.2                            Term Frequency: 1         
Term: 2.3                            Term Frequency: 1         
Term: 2.4                            Term Frequency: 1         
Term: 2.5                            Term Frequency: 1         
Term: environments                   Term Frequency: 1         
Term: findings                       Term Frequency: 1         
Term: 684                            Term Frequency: 1         
Term: 687                            Term Frequency: 1         
Term: despite                        Term Frequency: 1         
Term: activities                     Term Frequency: 1         
Term: extending                      Term Frequency: 1         
Term: trimodal                       Term Frequency: 1         
Term: 6347                           Term Frequency: 1         
Term: state                          Term Frequency: 1         
Term: must                           Term Frequency: 1         
Term: 250                            Term Frequency: 1         
Term: found                          Term Frequency: 1         
Term: retention                      Term Frequency: 1         
Term: differing                      Term Frequency: 1         
Term: 104.19                         Term Frequency: 1         
Term: offers                         Term Frequency: 1         
Term: adapt                          Term Frequency: 1         
Term: institutional                  Term Frequency: 1         
Term: overall                        Term Frequency: 1         
Term: page                           Term Frequency: 1         
Term: correlated                     Term Frequency: 1         
Term: full                           Term Frequency: 1         
Term: warranted                      Term Frequency: 1         
Term: performed                      Term Frequency: 1         
Term: choice                         Term Frequency: 1         
Term: bear                           Term Frequency: 1         
Term: third                          Term Frequency: 1         
Term: been                           Term Frequency: 1         
Term: knowledge                      Term Frequency: 1         
Term: assigned                       Term Frequency: 1         
Term: 4614                           Term Frequency: 1         
Term: consisted                      Term Frequency: 1         
Term: term                           Term Frequency: 1         
Term: enrolled                       Term Frequency: 1         
Term: emotional                      Term Frequency: 1         
Term: 3305                           Term Frequency: 1         
Term: analytic                       Term Frequency: 1         
Term: questions                      Term Frequency: 1         
Term: ignores                        Term Frequency: 1         
Term: later                          Term Frequency: 1         
Term: 0.05                           Term Frequency: 1         
Term: test                           Term Frequency: 1         
Term: immediate                      Term Frequency: 1         
Term: 721                            Term Frequency: 1         
Term: relatively                     Term Frequency: 1         
Term: 00346543074001059              Term Frequency: 1         
Term: 2012                           Term Frequency: 1         
Term: 2010                           Term Frequency: 1         
Term: notice                         Term Frequency: 1         
Term: 2017                           Term Frequency: 1         
Term: material                       Term Frequency: 1         
Term: regression                     Term Frequency: 1         
Term: 2014                           Term Frequency: 1         
Term: made                           Term Frequency: 1         
Term: 0.64                           Term Frequency: 1         
Term: 0.60                           Term Frequency: 1         
Term: 3.1                            Term Frequency: 1         
Term: 3.2                            Term Frequency: 1         
Term: within                         Term Frequency: 1         
Term: topics                         Term Frequency: 1         
Term: use                            Term Frequency: 1         
Term: selected                       Term Frequency: 1         
Term: experiences                    Term Frequency: 1         
Term: make                           Term Frequency: 1         
Term: enrollment                     Term Frequency: 1         
Term: online                         Term Frequency: 1         
Term: 03                             Term Frequency: 1         
Term: 05                             Term Frequency: 1         
Term: granted                        Term Frequency: 1         
Term: concurrently                   Term Frequency: 1         
Term: 13                             Term Frequency: 1         
Term: received                       Term Frequency: 1         
Term: unique                         Term Frequency: 1         
Term: 23                             Term Frequency: 1         
Term: components                     Term Frequency: 1         
Term: 29                             Term Frequency: 1         
Term: long                           Term Frequency: 1         
Term: relationship                   Term Frequency: 1         
Term: 36                             Term Frequency: 1         
Term: strategies                     Term Frequency: 1         
Term: 38                             Term Frequency: 1         
Term: procrastination                Term Frequency: 1         
Term: collaboration                  Term Frequency: 1         
Term: associated                     Term Frequency: 1         
Term: 44                             Term Frequency: 1         
Term: 52                             Term Frequency: 1         
Term: extends                        Term Frequency: 1         
Term: themselves                     Term Frequency: 1         
Term: motivationally                 Term Frequency: 1         
Term: apply                          Term Frequency: 1         
Term: 84                             Term Frequency: 1         
Term: achievement                    Term Frequency: 1         
Term: during                         Term Frequency: 1         
Term: still                          Term Frequency: 1         
Term: fail                           Term Frequency: 1         
Term: among                          Term Frequency: 1         
Term: 3800                           Term Frequency: 1         
Term: excelling                      Term Frequency: 1         
Term: homework                       Term Frequency: 1         
Term: covered                        Term Frequency: 1         
Term: honored                        Term Frequency: 1         
Term: advantage                      Term Frequency: 1         
Term: year                           Term Frequency: 1         
Term: planning                       Term Frequency: 1         
Term: metrics                        Term Frequency: 1         
Term: weeks                          Term Frequency: 1         
Term: variations                     Term Frequency: 1         
Term: failures                       Term Frequency: 1         
Term: flavour                        Term Frequency: 1         
Term: learn                          Term Frequency: 1         
Term: interventions                  Term Frequency: 1         
Term: referent                       Term Frequency: 1         
Term: skdavis                        Term Frequency: 1         
Term: often                          Term Frequency: 1         
Term: modify                         Term Frequency: 1         
Term: accessed                       Term Frequency: 1         
Term: similar                        Term Frequency: 1         
Term: distributed                    Term Frequency: 1         
Term: system                         Term Frequency: 1         
Term: 74,1                           Term Frequency: 1         
Term: rle                            Term Frequency: 1         
Term: 435                            Term Frequency: 1         
Term: www.insidehighered.com         Term Frequency: 1         
Term: took                           Term Frequency: 1         
Term: already                        Term Frequency: 1         
Term: differed                       Term Frequency: 1         
Term: careers                        Term Frequency: 1         
Term: supportive                     Term Frequency: 1         
Term: a0032690                       Term Frequency: 1         
Term: 0.2                            Term Frequency: 1         
Term: 0.8                            Term Frequency: 1         
Term: timepoint                      Term Frequency: 1         
Term: elective                       Term Frequency: 1         
Term: differently                    Term Frequency: 1         
Term: 7_2                            Term Frequency: 1         
Term: increased                      Term Frequency: 1         
Term: 10.1007                        Term Frequency: 1         
Term: regressions                    Term Frequency: 1         
Term: stayed                         Term Frequency: 1         
Term: supported                      Term Frequency: 1         
Term: through                        Term Frequency: 1         
Term: strength                       Term Frequency: 1         
Term: individuals                    Term Frequency: 1         
Term: either                         Term Frequency: 1         
Term: courses                        Term Frequency: 1         
Term: negative                       Term Frequency: 1         
Term: learned                        Term Frequency: 1         
Term: target                         Term Frequency: 1         
Term: what                           Term Frequency: 1         
Term: detailed                       Term Frequency: 1         
Term: modeling                       Term Frequency: 1         
Term: collected                      Term Frequency: 1         
Term: largely                        Term Frequency: 1         
Term: logged                         Term Frequency: 1         
Term: failing                        Term Frequency: 1         
Term: fee                            Term Frequency: 1         
Term: 106.42                         Term Frequency: 1         
Term: few                            Term Frequency: 1         
Term: 10.1037                        Term Frequency: 1         
Term: exceptions                     Term Frequency: 1         
Term: important                      Term Frequency: 1         
Term: who                            Term Frequency: 1         
Term: contribute                     Term Frequency: 1         
Term: profit                         Term Frequency: 1         
Term: enough                         Term Frequency: 1         
Term: uses                           Term Frequency: 1         
Term: fit                            Term Frequency: 1         
Term: adequately                     Term Frequency: 1         
Term: strong                         Term Frequency: 1         
Term: 4870                           Term Frequency: 1         
Term: df                             Term Frequency: 1         
Term: do                             Term Frequency: 1         
Term: contact                        Term Frequency: 1         
Term: which                          Term Frequency: 1         
Term: typically                      Term Frequency: 1         
Term: anxiety                        Term Frequency: 1         
Term: party                          Term Frequency: 1         
Term: related                        Term Frequency: 1         
Term: views                          Term Frequency: 1         
Term: digital                        Term Frequency: 1         
Term: subset                         Term Frequency: 1         
Term: isn’t                          Term Frequency: 1         
Term: modes                          Term Frequency: 1         
Term: appeared                       Term Frequency: 1         
Term: https                          Term Frequency: 1         
Term: tasks                          Term Frequency: 1         
Term: likely                         Term Frequency: 1         
Term: large                          Term Frequency: 1         
Term: metacognitive                  Term Frequency: 1         
Term: predicting                     Term Frequency: 1         
Term: generally                      Term Frequency: 1         
Term: suggests                       Term Frequency: 1         
Term: directly                       Term Frequency: 1         
Term: incoming                       Term Frequency: 1         
