Term: emotions                       Term Frequency: 132       
Term: learning                       Term Frequency: 107       
Term: emotion                        Term Frequency: 74        
Term: data                           Term Frequency: 68        
Term: we                             Term Frequency: 66        
Term: learners                       Term Frequency: 53        
Term: audio                          Term Frequency: 51        
Term: valence                        Term Frequency: 47        
Term: emotional                      Term Frequency: 47        
Term: learner                        Term Frequency: 45        
Term: session                        Term Frequency: 45        
Term: video                          Term Frequency: 44        
Term: figure                         Term Frequency: 38        
Term: can                            Term Frequency: 38        
Term: based                          Term Frequency: 36        
Term: from                           Term Frequency: 35        
Term: each                           Term Frequency: 35        
Term: information                    Term Frequency: 34        
Term: time                           Term Frequency: 34        
Term: dashboard                      Term Frequency: 34        
Term: positive                       Term Frequency: 32        
Term: between                        Term Frequency: 31        
Term: discrete                       Term Frequency: 29        
Term: tutor                          Term Frequency: 29        
Term: negative                       Term Frequency: 28        
Term: both                           Term Frequency: 28        
Term: used                           Term Frequency: 26        
Term: our                            Term Frequency: 26        
Term: tutors                         Term Frequency: 25        
Term: dimensional                    Term Frequency: 25        
Term: more                           Term Frequency: 25        
Term: visualizations                 Term Frequency: 24        
Term: visualization                  Term Frequency: 24        
Term: segment                        Term Frequency: 23        
Term: neutral                        Term Frequency: 23        
Term: analysis                       Term Frequency: 23        
Term: two                            Term Frequency: 22        
Term: study                          Term Frequency: 22        
Term: section                        Term Frequency: 21        
Term: different                      Term Frequency: 21        
Term: presents                       Term Frequency: 21        
Term: self                           Term Frequency: 20        
Term: during                         Term Frequency: 20        
Term: api                            Term Frequency: 20        
Term: have                           Term Frequency: 19        
Term: has                            Term Frequency: 19        
Term: multimodal                     Term Frequency: 18        
Term: arousal                        Term Frequency: 18        
Term: using                          Term Frequency: 18        
Term: recognition                    Term Frequency: 18        
Term: 2                              Term Frequency: 17        
Term: s                              Term Frequency: 17        
Term: e.g                            Term Frequency: 17        
Term: chart                          Term Frequency: 17        
Term: been                           Term Frequency: 17        
Term: part                           Term Frequency: 17        
Term: activity                       Term Frequency: 17        
Term: 3                              Term Frequency: 16        
Term: cues                           Term Frequency: 16        
Term: thus                           Term Frequency: 16        
Term: first                          Term Frequency: 16        
Term: associated                     Term Frequency: 16        
Term: research                       Term Frequency: 16        
Term: 1                              Term Frequency: 15        
Term: timeline                       Term Frequency: 15        
Term: happiness                      Term Frequency: 15        
Term: affective                      Term Frequency: 15        
Term: value                          Term Frequency: 14        
Term: three                          Term Frequency: 14        
Term: interaction                    Term Frequency: 14        
Term: collected                      Term Frequency: 14        
Term: 100                            Term Frequency: 14        
Term: 5                              Term Frequency: 13        
Term: 6                              Term Frequency: 13        
Term: contextual                     Term Frequency: 13        
Term: image                          Term Frequency: 13        
Term: one                            Term Frequency: 13        
Term: bar                            Term Frequency: 13        
Term: 4                              Term Frequency: 12        
Term: 8                              Term Frequency: 12        
Term: 9                              Term Frequency: 12        
Term: c                              Term Frequency: 12        
Term: top                            Term Frequency: 12        
Term: sessions                       Term Frequency: 12        
Term: platform                       Term Frequency: 12        
Term: visual                         Term Frequency: 12        
Term: corresponding                  Term Frequency: 12        
Term: were                           Term Frequency: 12        
Term: 10                             Term Frequency: 11        
Term: sharing                        Term Frequency: 11        
Term: second                         Term Frequency: 11        
Term: events                         Term Frequency: 11        
Term: how                            Term Frequency: 11        
Term: only                           Term Frequency: 11        
Term: fear                           Term Frequency: 11        
Term: when                           Term Frequency: 11        
Term: marker                         Term Frequency: 11        
Term: most                           Term Frequency: 11        
Term: also                           Term Frequency: 11        
Term: same                           Term Frequency: 10        
Term: after                          Term Frequency: 10        
Term: markers                        Term Frequency: 10        
Term: reported                       Term Frequency: 10        
Term: sadness                        Term Frequency: 10        
Term: surprise                       Term Frequency: 10        
Term: disgust                        Term Frequency: 10        
Term: environment                    Term Frequency: 10        
Term: help                           Term Frequency: 10        
Term: approach                       Term Frequency: 10        
Term: before                         Term Frequency: 10        
Term: scores                         Term Frequency: 10        
Term: computing                      Term Frequency: 10        
Term: studies                        Term Frequency: 10        
Term: models                         Term Frequency: 10        
Term: color                          Term Frequency: 10        
Term: correlation                    Term Frequency: 10        
Term: global                         Term Frequency: 10        
Term: anger                          Term Frequency: 10        
Term: facial                         Term Frequency: 10        
Term: 7                              Term Frequency: 9         
Term: result                         Term Frequency: 9         
Term: e                              Term Frequency: 9         
Term: contempt                       Term Frequency: 9         
Term: ms                             Term Frequency: 9         
Term: scale                          Term Frequency: 9         
Term: educational                    Term Frequency: 9         
Term: level                          Term Frequency: 9         
Term: document                       Term Frequency: 9         
