Term: based                          Term Frequency: 27        
Term: learning                       Term Frequency: 25        
Term: image                          Term Frequency: 16        
Term: text                           Term Frequency: 14        
Term: visual                         Term Frequency: 13        
Term: 1                              Term Frequency: 13        
Term: activities                     Term Frequency: 13        
Term: students                       Term Frequency: 12        
Term: participation                  Term Frequency: 11        
Term: student                        Term Frequency: 10        
Term: class                          Term Frequency: 9         
Term: exam                           Term Frequency: 8         
Term: cognitive                      Term Frequency: 8         
Term: 3                              Term Frequency: 7         
Term: 8                              Term Frequency: 7         
Term: 5                              Term Frequency: 6         
Term: active                         Term Frequency: 6         
Term: r                              Term Frequency: 5         
Term: all                            Term Frequency: 5         
Term: correlated                     Term Frequency: 5         
Term: lecture                        Term Frequency: 5         
Term: course                         Term Frequency: 5         
Term: education                      Term Frequency: 4         
Term: asked                          Term Frequency: 4         
Term: verbal                         Term Frequency: 4         
Term: significant                    Term Frequency: 4         
Term: time                           Term Frequency: 4         
Term: both                           Term Frequency: 4         
Term: which                          Term Frequency: 4         
Term: load                           Term Frequency: 4         
Term: material                       Term Frequency: 4         
Term: anatomy                        Term Frequency: 4         
Term: 2                              Term Frequency: 3         
Term: 4                              Term Frequency: 3         
Term: andeducation                   Term Frequency: 3         
Term: dual                           Term Frequency: 3         
Term: p                              Term Frequency: 3         
Term: information                    Term Frequency: 3         
Term: were                           Term Frequency: 3         
Term: 48109                          Term Frequency: 3         
Term: visuals                        Term Frequency: 3         
Term: images                         Term Frequency: 3         
Term: study                          Term Frequency: 3         
Term: more                           Term Frequency: 3         
Term: questions                      Term Frequency: 3         
Term: 734                            Term Frequency: 3         
Term: human                          Term Frequency: 3         
Term: regression                     Term Frequency: 3         
Term: significantly                  Term Frequency: 3         
Term: scores                         Term Frequency: 3         
Term: make                           Term Frequency: 3         
Term: processing                     Term Frequency: 3         
Term: key                            Term Frequency: 3         
Term: we                             Term Frequency: 3         
Term: data                           Term Frequency: 3         
Term: ing                            Term Frequency: 3         
Term: setting                        Term Frequency: 2         
Term: outcomes                       Term Frequency: 2         
Term: thus                           Term Frequency: 2         
Term: 0                              Term Frequency: 2         
Term: 6                              Term Frequency: 2         
Term: 7                              Term Frequency: 2         
Term: ated                           Term Frequency: 2         
Term: agreed                         Term Frequency: 2         
Term: formats                        Term Frequency: 2         
Term: multiple                       Term Frequency: 2         
Term: e.g                            Term Frequency: 2         
Term: order                          Term Frequency: 2         
Term: classroom                      Term Frequency: 2         
Term: have                           Term Frequency: 2         
Term: question                       Term Frequency: 2         
Term: copies                         Term Frequency: 2         
Term: less                           Term Frequency: 2         
Term: ques                           Term Frequency: 2         
Term: rated                          Term Frequency: 2         
Term: each                           Term Frequency: 2         
Term: difference                     Term Frequency: 2         
Term: taken                          Term Frequency: 2         
Term: participate                    Term Frequency: 2         
Term: through                        Term Frequency: 2         
Term: accounting                     Term Frequency: 2         
Term: activelearning                 Term Frequency: 2         
Term: research                       Term Frequency: 2         
Term: either                         Term Frequency: 2         
Term: has                            Term Frequency: 2         
Term: helpful                        Term Frequency: 2         
Term: non                            Term Frequency: 2         
Term: associ                         Term Frequency: 2         
Term: basedquestions                 Term Frequency: 2         
Term: interactive                    Term Frequency: 2         
Term: when                           Term Frequency: 2         
Term: required                       Term Frequency: 2         
Term: case                           Term Frequency: 2         
Term: presentations                  Term Frequency: 2         
Term: choice                         Term Frequency: 2         
Term: andverbal                      Term Frequency: 2         
Term: effects                        Term Frequency: 2         
Term: relied                         Term Frequency: 2         
Term: process                        Term Frequency: 2         
Term: al                             Term Frequency: 2         
Term: how                            Term Frequency: 2         
Term: coding                         Term Frequency: 2         
Term: answer                         Term Frequency: 2         
Term: prior                          Term Frequency: 2         
Term: et                             Term Frequency: 2         
Term: verbalizer                     Term Frequency: 2         
Term: session                        Term Frequency: 2         
Term: 2012                           Term Frequency: 2         
Term: digital                        Term Frequency: 2         
Term: sense                          Term Frequency: 2         
Term: status                         Term Frequency: 2         
Term: use                            Term Frequency: 2         
Term: find                           Term Frequency: 2         
Term: than                           Term Frequency: 2         
Term: ideas                          Term Frequency: 2         
Term: relevant                       Term Frequency: 2         
Term: mental                         Term Frequency: 2         
Term: investigate                    Term Frequency: 2         
Term: included                       Term Frequency: 2         
Term: 14                             Term Frequency: 2         
Term: them                           Term Frequency: 2         
Term: activity                       Term Frequency: 2         
Term: majors                         Term Frequency: 2         
Term: written                        Term Frequency: 2         
Term: 56                             Term Frequency: 2         
Term: support                        Term Frequency: 2         
Term: relation                       Term Frequency: 2         
Term: 95                             Term Frequency: 2         
Term: between                        Term Frequency: 2         
Term: work                           Term Frequency: 2         
Term: musculoskeletal                Term Frequency: 2         
Term: gender                         Term Frequency: 2         
Term: first                          Term Frequency: 2         
Term: from                           Term Frequency: 2         
Term: factors                        Term Frequency: 2         
Term: performance                    Term Frequency: 2         
Term: without                        Term Frequency: 1         
Term: via                            Term Frequency: 1         
Term: would                          Term Frequency: 1         
Term: understanding                  Term Frequency: 1         
Term: i.e                            Term Frequency: 1         
Term: 0.418                          Term Frequency: 1         
Term: ray                            Term Frequency: 1         
Term: click                          Term Frequency: 1         
Term: ities                          Term Frequency: 1         
Term: corporeal                      Term Frequency: 1         
Term: termmemory                     Term Frequency: 1         
Term: much                           Term Frequency: 1         
Term: role                           Term Frequency: 1         
Term: 210,1991                       Term Frequency: 1         
Term: hance                          Term Frequency: 1         
Term: 13.7643                        Term Frequency: 1         
Term: 4503                           Term Frequency: 1         
Term: morestrongly                   Term Frequency: 1         
Term: component                      Term Frequency: 1         
Term: x                              Term Frequency: 1         
Term: tation                         Term Frequency: 1         
Term: evidence                       Term Frequency: 1         
Term: analytics                      Term Frequency: 1         
Term: analyses                       Term Frequency: 1         
Term: post                           Term Frequency: 1         
Term: generated                      Term Frequency: 1         
Term: 833                            Term Frequency: 1         
Term: predicted                      Term Frequency: 1         
Term: need                           Term Frequency: 1         
Term: modeled                        Term Frequency: 1         
Term: often                          Term Frequency: 1         
Term: 4.6383                         Term Frequency: 1         
Term: surfaceanatomy                 Term Frequency: 1         
