Term: students                       Term Frequency: 34        
Term: participation                  Term Frequency: 33        
Term: learning                       Term Frequency: 29        
Term: student                        Term Frequency: 26        
Term: assignment                     Term Frequency: 21        
Term: homework                       Term Frequency: 20        
Term: each                           Term Frequency: 16        
Term: grade                          Term Frequency: 16        
Term: can                            Term Frequency: 16        
Term: 1                              Term Frequency: 13        
Term: 3                              Term Frequency: 13        
Term: were                           Term Frequency: 13        
Term: work                           Term Frequency: 13        
Term: we                             Term Frequency: 13        
Term: post                           Term Frequency: 13        
Term: posts                          Term Frequency: 13        
Term: have                           Term Frequency: 12        
Term: content                        Term Frequency: 12        
Term: model                          Term Frequency: 12        
Term: would                          Term Frequency: 11        
Term: peer                           Term Frequency: 11        
Term: grades                         Term Frequency: 10        
Term: failure                        Term Frequency: 10        
Term: could                          Term Frequency: 10        
Term: blogging                       Term Frequency: 9         
Term: 2                              Term Frequency: 9         
Term: good                           Term Frequency: 9         
Term: progress                       Term Frequency: 9         
Term: class                          Term Frequency: 9         
Term: p                              Term Frequency: 8         
Term: collaborative                  Term Frequency: 8         
Term: user                           Term Frequency: 8         
Term: co                             Term Frequency: 8         
Term: activity                       Term Frequency: 8         
Term: data                           Term Frequency: 8         
Term: her                            Term Frequency: 8         
Term: online                         Term Frequency: 8         
Term: from                           Term Frequency: 8         
Term: use                            Term Frequency: 7         
Term: about                          Term Frequency: 7         
Term: which                          Term Frequency: 7         
Term: while                          Term Frequency: 7         
Term: blogosphere                    Term Frequency: 7         
Term: some                           Term Frequency: 7         
Term: number                         Term Frequency: 7         
Term: all                            Term Frequency: 7         
Term: assignments                    Term Frequency: 7         
Term: more                           Term Frequency: 7         
Term: she                            Term Frequency: 7         
Term: 5                              Term Frequency: 6         
Term: average                        Term Frequency: 6         
Term: what                           Term Frequency: 6         
Term: used                           Term Frequency: 6         
Term: do                             Term Frequency: 6         
Term: than                           Term Frequency: 6         
Term: has                            Term Frequency: 6         
Term: time                           Term Frequency: 6         
Term: stu                            Term Frequency: 6         
Term: current                        Term Frequency: 6         
Term: doing                          Term Frequency: 6         
Term: 6                              Term Frequency: 5         
Term: example                        Term Frequency: 5         
Term: quality                        Term Frequency: 5         
Term: environment                    Term Frequency: 5         
Term: education                      Term Frequency: 5         
Term: models                         Term Frequency: 5         
Term: blog                           Term Frequency: 5         
Term: working                        Term Frequency: 5         
Term: critiques                      Term Frequency: 5         
Term: methods                        Term Frequency: 5         
Term: how                            Term Frequency: 5         
Term: paper                          Term Frequency: 5         
Term: other                          Term Frequency: 5         
Term: read                           Term Frequency: 5         
Term: predict                        Term Frequency: 5         
Term: important                      Term Frequency: 5         
Term: high                           Term Frequency: 5         
Term: different                      Term Frequency: 5         
Term: 0                              Term Frequency: 4         
Term: 4                              Term Frequency: 4         
Term: 7                              Term Frequency: 4         
Term: r                              Term Frequency: 4         
Term: comments                       Term Frequency: 4         
Term: log                            Term Frequency: 4         
Term: computer                       Term Frequency: 4         
Term: low                            Term Frequency: 4         
Term: instructor                     Term Frequency: 4         
Term: part                           Term Frequency: 4         
Term: possible                       Term Frequency: 4         
Term: did                            Term Frequency: 4         
Term: later                          Term Frequency: 4         
Term: may                            Term Frequency: 4         
Term: 11                             Term Frequency: 4         
Term: 12                             Term Frequency: 4         
Term: internet                       Term Frequency: 4         
Term: users                          Term Frequency: 4         
Term: who                            Term Frequency: 4         
Term: rate                           Term Frequency: 4         
Term: counted                        Term Frequency: 4         
Term: predicting                     Term Frequency: 4         
Term: offline                        Term Frequency: 4         
Term: so                             Term Frequency: 4         
Term: previous                       Term Frequency: 4         
Term: reading                        Term Frequency: 4         
Term: out                            Term Frequency: 4         
Term: course                         Term Frequency: 4         
Term: create                         Term Frequency: 4         
Term: link                           Term Frequency: 4         
Term: without                        Term Frequency: 4         
Term: classroom                      Term Frequency: 4         
Term: automatic                      Term Frequency: 4         
Term: before                         Term Frequency: 4         
Term: first                          Term Frequency: 4         
Term: value                          Term Frequency: 4         
Term: ing                            Term Frequency: 4         
Term: semester                       Term Frequency: 4         
Term: most                           Term Frequency: 4         
Term: also                           Term Frequency: 4         
Term: dent                           Term Frequency: 4         
Term: between                        Term Frequency: 4         
Term: only                           Term Frequency: 4         
Term: successfully                   Term Frequency: 3         
Term: 8                              Term Frequency: 3         
Term: multiple                       Term Frequency: 3         
Term: communities                    Term Frequency: 3         
Term: less                           Term Frequency: 3         
Term: times                          Term Frequency: 3         
Term: activities                     Term Frequency: 3         
Term: two                            Term Frequency: 3         
Term: created                        Term Frequency: 3         
Term: done                           Term Frequency: 3         
Term: 10                             Term Frequency: 3         
Term: 15                             Term Frequency: 3         
Term: 16                             Term Frequency: 3         
Term: mon                            Term Frequency: 3         
Term: writing                        Term Frequency: 3         
Term: assessment                     Term Frequency: 3         
Term: generated                      Term Frequency: 3         
Term: useful                         Term Frequency: 3         
Term: pages                          Term Frequency: 3         
Term: new                            Term Frequency: 3         
Term: another                        Term Frequency: 3         
Term: study                          Term Frequency: 3         
Term: presented                      Term Frequency: 3         
Term: predictive                     Term Frequency: 3         
Term: assign                         Term Frequency: 3         
Term: prediction                     Term Frequency: 3         
Term: problem                        Term Frequency: 3         
Term: our                            Term Frequency: 3         
Term: resource                       Term Frequency: 3         
Term: line                           Term Frequency: 3         
Term: thus                           Term Frequency: 3         
Term: approach                       Term Frequency: 3         
Term: kinds                          Term Frequency: 3         
Term: linear                         Term Frequency: 3         
Term: receive                        Term Frequency: 3         
Term: grading                        Term Frequency: 3         
Term: had                            Term Frequency: 3         
Term: instructors                    Term Frequency: 3         
Term: early                          Term Frequency: 3         
Term: tion                           Term Frequency: 3         
Term: monitor                        Term Frequency: 3         
Term: regression                     Term Frequency: 3         
Term: tracking                       Term Frequency: 3         
Term: ment                           Term Frequency: 3         
Term: difficult                      Term Frequency: 3         
Term: fail                           Term Frequency: 3         
Term: resources                      Term Frequency: 3         
Term: performance                    Term Frequency: 3         
Term: score                          Term Frequency: 3         
Term: posted                         Term Frequency: 3         
Term: its                            Term Frequency: 3         
Term: system                         Term Frequency: 3         
Term: detection                      Term Frequency: 3         
Term: view                           Term Frequency: 3         
Term: critique                       Term Frequency: 3         
Term: case                           Term Frequency: 3         
Term: grounding                      Term Frequency: 3         
Term: alarms                         Term Frequency: 3         
Term: however                        Term Frequency: 3         
Term: getting                        Term Frequency: 3         
Term: peers                          Term Frequency: 3         
Term: written                        Term Frequency: 3         
Term: review                         Term Frequency: 3         
Term: predictor                      Term Frequency: 3         
Term: reads                          Term Frequency: 3         
Term: size                           Term Frequency: 2         
Term: 9                              Term Frequency: 2         
Term: same                           Term Frequency: 2         
Term: e                              Term Frequency: 2         
Term: predicted                      Term Frequency: 2         
Term: thelearning                    Term Frequency: 2         
Term: well                           Term Frequency: 2         
Term: too                            Term Frequency: 2         
Term: com                            Term Frequency: 2         
Term: teacher                        Term Frequency: 2         
Term: creating                       Term Frequency: 2         
Term: eric                           Term Frequency: 2         
Term: page                           Term Frequency: 2         
Term: short                          Term Frequency: 2         
Term: measured                       Term Frequency: 2         
Term: requires                       Term Frequency: 2         
Term: 1993                           Term Frequency: 2         
Term: 1999                           Term Frequency: 2         
Term: particular                     Term Frequency: 2         
Term: going                          Term Frequency: 2         
Term: deadline                       Term Frequency: 2         
Term: paired                         Term Frequency: 2         
Term: miss                           Term Frequency: 2         
Term: being                          Term Frequency: 2         
Term: subject                        Term Frequency: 2         
Term: ideal                          Term Frequency: 2         
Term: make                           Term Frequency: 2         
Term: 13                             Term Frequency: 2         
Term: 14                             Term Frequency: 2         
Term: received                       Term Frequency: 2         
Term: participates                   Term Frequency: 2         
Term: relationship                   Term Frequency: 2         
Term: many                           Term Frequency: 2         
Term: open                           Term Frequency: 2         
Term: apply                          Term Frequency: 2         
Term: dents                          Term Frequency: 2         
Term: because                        Term Frequency: 2         
Term: community                      Term Frequency: 2         
Term: version                        Term Frequency: 2         
Term: learn                          Term Frequency: 2         
Term: automatically                  Term Frequency: 2         
Term: mechanism                      Term Frequency: 2         
Term: sciences                       Term Frequency: 2         
Term: when                           Term Frequency: 2         
Term: struggling                     Term Frequency: 2         
Term: give                           Term Frequency: 2         
Term: explore                        Term Frequency: 2         
