Term: learning                       Term Frequency: 21        
Term: competence                     Term Frequency: 19        
Term: training                       Term Frequency: 15        
Term: data                           Term Frequency: 11        
Term: analytics                      Term Frequency: 9         
Term: firefighters                   Term Frequency: 9         
Term: fire                           Term Frequency: 9         
Term: learner                        Term Frequency: 9         
Term: information                    Term Frequency: 8         
Term: use                            Term Frequency: 8         
Term: rescue                         Term Frequency: 8         
Term: situations                     Term Frequency: 8         
Term: development                    Term Frequency: 8         
Term: order                          Term Frequency: 7         
Term: team                           Term Frequency: 7         
Term: about                          Term Frequency: 7         
Term: planning                       Term Frequency: 7         
Term: education                      Term Frequency: 7         
Term: models                         Term Frequency: 7         
Term: competences                    Term Frequency: 7         
Term: 1                              Term Frequency: 6         
Term: 2                              Term Frequency: 6         
Term: from                           Term Frequency: 6         
Term: assessment                     Term Frequency: 6         
Term: using                          Term Frequency: 6         
Term: readiness                      Term Frequency: 6         
Term: needs                          Term Frequency: 6         
Term: service                        Term Frequency: 5         
Term: overview                       Term Frequency: 5         
Term: instructor                     Term Frequency: 5         
Term: 2016                           Term Frequency: 5         
Term: need                           Term Frequency: 5         
Term: tool                           Term Frequency: 5         
Term: research                       Term Frequency: 5         
Term: when                           Term Frequency: 5         
Term: high                           Term Frequency: 5         
Term: level                          Term Frequency: 5         
Term: we                             Term Frequency: 5         
Term: have                           Term Frequency: 4         
Term: framework                      Term Frequency: 4         
Term: required                       Term Frequency: 4         
Term: provide                        Term Frequency: 4         
Term: how                            Term Frequency: 4         
Term: status                         Term Frequency: 4         
Term: health                         Term Frequency: 4         
Term: literacy                       Term Frequency: 4         
Term: make                           Term Frequency: 4         
Term: 17                             Term Frequency: 4         
Term: modelling                      Term Frequency: 4         
Term: needed                         Term Frequency: 4         
Term: work                           Term Frequency: 4         
Term: decisions                      Term Frequency: 4         
Term: app                            Term Frequency: 4         
Term: organisation                   Term Frequency: 4         
Term: model                          Term Frequency: 4         
Term: technology                     Term Frequency: 4         
Term: 3                              Term Frequency: 3         
Term: 4                              Term Frequency: 3         
Term: 5                              Term Frequency: 3         
Term: 6                              Term Frequency: 3         
Term: s                              Term Frequency: 3         
Term: making                         Term Frequency: 3         
Term: personnel                      Term Frequency: 3         
Term: classroom                      Term Frequency: 3         
Term: university                     Term Frequency: 3         
Term: activities                     Term Frequency: 3         
Term: incident                       Term Frequency: 3         
Term: teaching                       Term Frequency: 3         
Term: stake                          Term Frequency: 3         
Term: open                           Term Frequency: 3         
Term: performance                    Term Frequency: 3         
Term: responsible                    Term Frequency: 3         
Term: learners                       Term Frequency: 3         
Term: copies                         Term Frequency: 3         
Term: all                            Term Frequency: 3         
Term: real                           Term Frequency: 3         
Term: visualisations                 Term Frequency: 3         
Term: maintain                       Term Frequency: 3         
Term: professional                   Term Frequency: 3         
Term: collected                      Term Frequency: 3         
Term: crucial                        Term Frequency: 3         
Term: related                        Term Frequency: 3         
Term: tasks                          Term Frequency: 3         
Term: certification                  Term Frequency: 3         
Term: inquiry                        Term Frequency: 3         
Term: student                        Term Frequency: 3         
