Term: students                       Term Frequency: 117       
Term: student                        Term Frequency: 96        
Term: teacher                        Term Frequency: 89        
Term: classroom                      Term Frequency: 81        
Term: learning                       Term Frequency: 80        
Term: teachers                       Term Frequency: 65        
Term: we                             Term Frequency: 63        
Term: may                            Term Frequency: 48        
Term: from                           Term Frequency: 47        
Term: task                           Term Frequency: 46        
Term: our                            Term Frequency: 45        
Term: software                       Term Frequency: 43        
Term: data                           Term Frequency: 43        
Term: which                          Term Frequency: 40        
Term: more                           Term Frequency: 39        
Term: interactions                   Term Frequency: 38        
Term: time                           Term Frequency: 36        
Term: analytics                      Term Frequency: 35        
Term: between                        Term Frequency: 35        
Term: have                           Term Frequency: 34        
Term: replay                         Term Frequency: 32        
Term: class                          Term Frequency: 32        
Term: e.g                            Term Frequency: 29        
Term: observations                   Term Frequency: 29        
Term: using                          Term Frequency: 29        
Term: help                           Term Frequency: 28        
Term: r                              Term Frequency: 27        
Term: behavior                       Term Frequency: 27        
Term: monitoring                     Term Frequency: 26        
Term: within                         Term Frequency: 26        
Term: can                            Term Frequency: 26        
Term: use                            Term Frequency: 25        
Term: study                          Term Frequency: 25        
Term: its                            Term Frequency: 24        
Term: effects                        Term Frequency: 24        
Term: behaviors                      Term Frequency: 24        
Term: work                           Term Frequency: 23        
Term: educational                    Term Frequency: 23        
Term: were                           Term Frequency: 23        
Term: analysis                       Term Frequency: 23        
Term: during                         Term Frequency: 23        
Term: sessions                       Term Frequency: 22        
Term: analyses                       Term Frequency: 22        
Term: causal                         Term Frequency: 22        
Term: design                         Term Frequency: 21        
Term: s                              Term Frequency: 20        
Term: replays                        Term Frequency: 20        
Term: also                           Term Frequency: 20        
Term: 1                              Term Frequency: 19        
Term: when                           Term Frequency: 19        
Term: off                            Term Frequency: 19        
Term: classrooms                     Term Frequency: 19        
Term: 2                              Term Frequency: 18        
Term: used                           Term Frequency: 18        
Term: 2016                           Term Frequency: 18        
Term: model                          Term Frequency: 18        
Term: p                              Term Frequency: 17        
Term: systems                        Term Frequency: 17        
Term: likely                         Term Frequency: 17        
Term: tools                          Term Frequency: 17        
