Term: data                           Term Frequency: 28        
Term: academic                       Term Frequency: 21        
Term: 2                              Term Frequency: 18        
Term: have                           Term Frequency: 17        
Term: school                         Term Frequency: 17        
Term: we                             Term Frequency: 17        
Term: first                          Term Frequency: 16        
Term: year                           Term Frequency: 16        
Term: 1                              Term Frequency: 15        
Term: 3                              Term Frequency: 15        
Term: 4                              Term Frequency: 15        
Term: 5                              Term Frequency: 14        
Term: 6                              Term Frequency: 12        
Term: educational                    Term Frequency: 12        
Term: students                       Term Frequency: 12        
Term: obtained                       Term Frequency: 12        
Term: information                    Term Frequency: 11        
Term: results                        Term Frequency: 11        
Term: failure                        Term Frequency: 11        
Term: dataset                        Term Frequency: 10        
Term: 0.76                           Term Frequency: 10        
Term: vs                             Term Frequency: 10        
Term: techniques                     Term Frequency: 10        
Term: mining                         Term Frequency: 9         
Term: can                            Term Frequency: 9         
Term: each                           Term Frequency: 8         
Term: study                          Term Frequency: 8         
Term: which                          Term Frequency: 8         
Term: prediction                     Term Frequency: 8         
Term: out                            Term Frequency: 8         
Term: datasets                       Term Frequency: 7         
Term: time                           Term Frequency: 7         
Term: tion                           Term Frequency: 7         
Term: test                           Term Frequency: 7         
Term: use                            Term Frequency: 7         
Term: work                           Term Frequency: 7         
Term: end                            Term Frequency: 7         
Term: 7                              Term Frequency: 6         
Term: university                     Term Frequency: 6         
Term: stage                          Term Frequency: 6         
Term: from                           Term Frequency: 6         
Term: accuracy                       Term Frequency: 6         
Term: when                           Term Frequency: 6         
Term: differences                    Term Frequency: 6         
Term: different                      Term Frequency: 6         
Term: determine                      Term Frequency: 6         
Term: has                            Term Frequency: 5         
Term: early                          Term Frequency: 5         
Term: been                           Term Frequency: 5         
Term: term                           Term Frequency: 5         
Term: 0.75                           Term Frequency: 5         
Term: 0.72                           Term Frequency: 5         
Term: task                           Term Frequency: 5         
Term: 15                             Term Frequency: 5         
Term: performance                    Term Frequency: 5         
Term: new                            Term Frequency: 5         
Term: used                           Term Frequency: 5         
Term: see                            Term Frequency: 5         
Term: student                        Term Frequency: 5         
Term: 8                              Term Frequency: 4         
Term: statistical                    Term Frequency: 4         
Term: p                              Term Frequency: 4         
Term: better                         Term Frequency: 4         
Term: robust                         Term Frequency: 4         
Term: whether                        Term Frequency: 4         
Term: knowledge                      Term Frequency: 4         
Term: under                          Term Frequency: 4         
Term: classification                 Term Frequency: 4         
Term: 0.61                           Term Frequency: 4         
Term: 0.71                           Term Frequency: 4         
Term: 0.81                           Term Frequency: 4         
Term: present                        Term Frequency: 4         
Term: since                          Term Frequency: 4         
Term: based                          Term Frequency: 4         
Term: every                          Term Frequency: 4         
Term: resources                      Term Frequency: 4         
Term: assessment                     Term Frequency: 4         
Term: all                            Term Frequency: 4         
Term: specific                       Term Frequency: 4         
Term: significant                    Term Frequency: 4         
Term: experimental                   Term Frequency: 4         
Term: 14071                          Term Frequency: 4         
Term: predicting                     Term Frequency: 4         
Term: second                         Term Frequency: 4         
Term: than                           Term Frequency: 4         
Term: available                      Term Frequency: 4         
Term: rules                          Term Frequency: 4         
Term: learning                       Term Frequency: 4         
Term: previous                       Term Frequency: 4         
Term: between                        Term Frequency: 4         
Term: behaviour                      Term Frequency: 4         
Term: factors                        Term Frequency: 4         
Term: theresults                     Term Frequency: 3         
Term: success                        Term Frequency: 3         
Term: considered                     Term Frequency: 3         
Term: were                           Term Frequency: 3         
Term: moment                         Term Frequency: 3         
Term: measure                        Term Frequency: 3         
Term: earliest                       Term Frequency: 3         
Term: part                           Term Frequency: 3         
Term: ofschool                       Term Frequency: 3         
Term: how                            Term Frequency: 3         
Term: 0.05                           Term Frequency: 3         
Term: some                           Term Frequency: 3         
Term: corrective                     Term Frequency: 3         
Term: classifier                     Term Frequency: 3         
Term: 0.59                           Term Frequency: 3         
Term: 0.77                           Term Frequency: 3         
Term: 0.74                           Term Frequency: 3         
Term: 0.69                           Term Frequency: 3         
Term: 0.80                           Term Frequency: 3         
Term: may                            Term Frequency: 3         
Term: anonymization                  Term Frequency: 3         
Term: find                           Term Frequency: 3         
Term: about                          Term Frequency: 3         
Term: 4.30                           Term Frequency: 3         
Term: preparation                    Term Frequency: 3         
Term: 95                             Term Frequency: 3         
Term: incremental                    Term Frequency: 3         
Term: value                          Term Frequency: 3         
Term: generated                      Term Frequency: 3         
Term: 88.03                          Term Frequency: 3         
Term: therefore                      Term Frequency: 3         
Term: 88.11                          Term Frequency: 3         
Term: age                            Term Frequency: 3         
Term: other                          Term Frequency: 3         
Term: copies                         Term Frequency: 3         
Term: goodness                       Term Frequency: 3         
Term: using                          Term Frequency: 3         
Term: detection                      Term Frequency: 3         
Term: those                          Term Frequency: 3         
Term: improving                      Term Frequency: 3         
Term: way                            Term Frequency: 3         
Term: kappa                          Term Frequency: 3         
Term: important                      Term Frequency: 3         
Term: who                            Term Frequency: 3         
Term: also                           Term Frequency: 3         
Term: enough                         Term Frequency: 3         
Term: personal                       Term Frequency: 3         
Term: difficulties                   Term Frequency: 3         
Term: over                           Term Frequency: 3         
Term: avoid                          Term Frequency: 3         
Term: so                             Term Frequency: 3         
Term: drop                           Term Frequency: 3         
Term: problem                        Term Frequency: 3         
Term: only                           Term Frequency: 3         
Term: confidence                     Term Frequency: 3         
Term: analysis                       Term Frequency: 2         
Term: role                           Term Frequency: 2         
Term: after                          Term Frequency: 2         
Term: address                        Term Frequency: 2         
Term: e                              Term Frequency: 2         
Term: weka                           Term Frequency: 2         
Term: lack                           Term Frequency: 2         
Term: applied                        Term Frequency: 2         
Term: provided                       Term Frequency: 2         
Term: flow                           Term Frequency: 2         
Term: order                          Term Frequency: 2         
Term: inter                          Term Frequency: 2         
Term: including                      Term Frequency: 2         
Term: improve                        Term Frequency: 2         
Term: similarly                      Term Frequency: 2         
Term: 86.09                          Term Frequency: 2         
Term: actions                        Term Frequency: 2         
Term: 3.65                           Term Frequency: 2         
Term: does                           Term Frequency: 2         
Term: pre                            Term Frequency: 2         
Term: last                           Term Frequency: 2         
Term: pro                            Term Frequency: 2         
Term: 15.5                           Term Frequency: 2         
Term: 7.00                           Term Frequency: 2         
Term: conclusions                    Term Frequency: 2         
Term: methods                        Term Frequency: 2         
Term: phases                         Term Frequency: 2         
Term: 1999                           Term Frequency: 2         
Term: shows                          Term Frequency: 2         
Term: obtain                         Term Frequency: 2         
Term: critical                       Term Frequency: 2         
Term: values                         Term Frequency: 2         
Term: point                          Term Frequency: 2         
Term: process                        Term Frequency: 2         
Term: record                         Term Frequency: 2         
Term: subjects                       Term Frequency: 2         
Term: possible                       Term Frequency: 2         
Term: 87.20                          Term Frequency: 2         
Term: finally                        Term Frequency: 2         
Term: take                           Term Frequency: 2         
Term: final                          Term Frequency: 2         
Term: 2009                           Term Frequency: 2         
Term: 2006                           Term Frequency: 2         
Term: 2005                           Term Frequency: 2         
Term: failurein                      Term Frequency: 2         
Term: 2015                           Term Frequency: 2         
Term: revealed                       Term Frequency: 2         
Term: 0.64                           Term Frequency: 2         
Term: 0.78                           Term Frequency: 2         
Term: together                       Term Frequency: 2         
Term: ment                           Term Frequency: 2         
Term: main                           Term Frequency: 2         
Term: best                           Term Frequency: 2         
Term: make                           Term Frequency: 2         
Term: 10                             Term Frequency: 2         
Term: 12                             Term Frequency: 2         
Term: quality                        Term Frequency: 2         
Term: many                           Term Frequency: 2         
Term: ranking                        Term Frequency: 2         
Term: 40                             Term Frequency: 2         
Term: learningenvironments           Term Frequency: 2         
Term: achieving                      Term Frequency: 2         
Term: again                          Term Frequency: 2         
Term: during                         Term Frequency: 2         
Term: 86.94                          Term Frequency: 2         
Term: among                          Term Frequency: 2         
Term: gender                         Term Frequency: 2         
Term: ing                            Term Frequency: 2         
Term: understanding                  Term Frequency: 2         
Term: nationality                    Term Frequency: 2         
Term: learn                          Term Frequency: 2         
Term: post                           Term Frequency: 2         
Term: concluding                     Term Frequency: 2         
Term: schoolfailure                  Term Frequency: 2         
Term: tests                          Term Frequency: 2         
Term: useful                         Term Frequency: 2         
Term: special                        Term Frequency: 2         
Term: number                         Term Frequency: 2         
Term: algorithm                      Term Frequency: 2         
Term: system                         Term Frequency: 2         
Term: algorithms                     Term Frequency: 2         
Term: future                         Term Frequency: 2         
Term: ofthe                          Term Frequency: 2         
Term: stored                         Term Frequency: 2         
Term: optimize                       Term Frequency: 2         
Term: etc                            Term Frequency: 2         
Term: real                           Term Frequency: 2         
Term: 84.35                          Term Frequency: 2         
Term: application                    Term Frequency: 2         
Term: skills                         Term Frequency: 2         
Term: models                         Term Frequency: 2         
Term: suchas                         Term Frequency: 2         
Term: view                           Term Frequency: 2         
Term: courses                        Term Frequency: 2         
Term: description                    Term Frequency: 2         
Term: interpretable                  Term Frequency: 2         
Term: classi                         Term Frequency: 2         
Term: case                           Term Frequency: 2         
Term: determined                     Term Frequency: 2         
Term: decomposed                     Term Frequency: 2         
Term: fee                            Term Frequency: 2         
Term: produced                       Term Frequency: 2         
Term: both                           Term Frequency: 2         
Term: most                           Term Frequency: 2         
Term: amount                         Term Frequency: 2         
Term: 80.14                          Term Frequency: 2         
Term: 85.53                          Term Frequency: 2         
Term: grow                           Term Frequency: 2         
Term: subsequent                     Term Frequency: 2         
Term: predictive                     Term Frequency: 2         
Term: do                             Term Frequency: 2         
Term: sources                        Term Frequency: 2         
Term: class                          Term Frequency: 2         
Term: management                     Term Frequency: 2         
Term: termof                         Term Frequency: 2         
Term: very                           Term Frequency: 2         
Term: detectionof                    Term Frequency: 2         
Term: four                           Term Frequency: 2         
Term: grades                         Term Frequency: 2         
Term: discovery                      Term Frequency: 2         
Term: high                           Term Frequency: 2         
Term: classifiers                    Term Frequency: 2         
Term: chosen                         Term Frequency: 2         
Term: allows                         Term Frequency: 2         
Term: interesting                    Term Frequency: 2         
Term: se                             Term Frequency: 2         
Term: decision                       Term Frequency: 2         
Term: makes                          Term Frequency: 2         
Term: contexts                       Term Frequency: 2         
Term: solve                          Term Frequency: 2         
Term: demonstrate                    Term Frequency: 2         
Term: records                        Term Frequency: 2         
Term: missing                        Term Frequency: 2         
Term: terms                          Term Frequency: 2         
Term: range                          Term Frequency: 2         
Term: predic                         Term Frequency: 2         
Term: date                           Term Frequency: 2         
Term: individual                     Term Frequency: 2         
Term: purpose                        Term Frequency: 2         
Term: studies                        Term Frequency: 2         
Term: carried                        Term Frequency: 2         
Term: groups                         Term Frequency: 2         
Term: prepara                        Term Frequency: 1         
Term: without                        Term Frequency: 1         
Term: experimentalstudy              Term Frequency: 1         
Term: 0                              Term Frequency: 1         
Term: left                           Term Frequency: 1         
Term: cec                            Term Frequency: 1         
Term: independent                    Term Frequency: 1         
Term: turn                           Term Frequency: 1         
Term: 4503                           Term Frequency: 1         
Term: committed                      Term Frequency: 1         
Term: theconsequent                  Term Frequency: 1         
Term: 0.0914                         Term Frequency: 1         
Term: r                              Term Frequency: 1         
Term: tection                        Term Frequency: 1         
Term: discuss                        Term Frequency: 1         
Term: standard                       Term Frequency: 1         
Term: reports                        Term Frequency: 1         
Term: resolve                        Term Frequency: 1         
Term: applica                        Term Frequency: 1         
Term: notmade                        Term Frequency: 1         
Term: good                           Term Frequency: 1         
Term: tic                            Term Frequency: 1         
Term: belonging                      Term Frequency: 1         
Term: others                         Term Frequency: 1         
Term: analysed                       Term Frequency: 1         
Term: making                         Term Frequency: 1         
Term: 86.52                          Term Frequency: 1         
Term: purposeof                      Term Frequency: 1         
Term: 601                            Term Frequency: 1         
Term: riskiest                       Term Frequency: 1         
Term: psychology                     Term Frequency: 1         
Term: anticipation                   Term Frequency: 1         
Term: tasksundertaken                Term Frequency: 1         
Term: inthe                          Term Frequency: 1         
Term: hard                           Term Frequency: 1         
Term: 617                            Term Frequency: 1         
Term: 618                            Term Frequency: 1         
Term: citation                       Term Frequency: 1         
Term: versus                         Term Frequency: 1         
Term: 21st                           Term Frequency: 1         
Term: well                           Term Frequency: 1         
Term: irrelevant                     Term Frequency: 1         
Term: termsracy                      Term Frequency: 1         
Term: entire                         Term Frequency: 1         
Term: experiment                     Term Frequency: 1         
Term: descriptivetechniques          Term Frequency: 1         
Term: riculum                        Term Frequency: 1         
Term: considering                    Term Frequency: 1         
Term: understand                     Term Frequency: 1         
Term: birth                          Term Frequency: 1         
Term: classroom                      Term Frequency: 1         
Term: componentsof                   Term Frequency: 1         
Term: obtainedand                    Term Frequency: 1         
Term: bringing                       Term Frequency: 1         
Term: schools                        Term Frequency: 1         
Term: anal                           Term Frequency: 1         
Term: 644                            Term Frequency: 1         
Term: informationpublished           Term Frequency: 1         
Term: protection                     Term Frequency: 1         
Term: acquiring                      Term Frequency: 1         
Term: surname                        Term Frequency: 1         
Term: noise                          Term Frequency: 1         
Term: discussed                      Term Frequency: 1         
