Term: social                         Term Frequency: 69        
Term: learners                       Term Frequency: 46        
Term: network                        Term Frequency: 32        
Term: capital                        Term Frequency: 31        
Term: course                         Term Frequency: 31        
Term: learning                       Term Frequency: 29        
Term: cohesion                       Term Frequency: 28        
Term: analysis                       Term Frequency: 28        
Term: centrality                     Term Frequency: 27        
Term: were                           Term Frequency: 27        
Term: i.e                            Term Frequency: 24        
Term: within                         Term Frequency: 24        
Term: 1                              Term Frequency: 21        
Term: p                              Term Frequency: 21        
Term: discourse                      Term Frequency: 21        
Term: model                          Term Frequency: 21        
Term: information                    Term Frequency: 20        
Term: effects                        Term Frequency: 20        
Term: between                        Term Frequency: 20        
Term: vol                            Term Frequency: 19        
Term: we                             Term Frequency: 19        
Term: referential                    Term Frequency: 19        
Term: linguistic                     Term Frequency: 19        
Term: more                           Term Frequency: 19        
Term: text                           Term Frequency: 18        
Term: language                       Term Frequency: 17        
Term: pp                             Term Frequency: 16        
Term: from                           Term Frequency: 16        
Term: 2                              Term Frequency: 14        
Term: media                          Term Frequency: 14        
Term: models                         Term Frequency: 14        
Term: all                            Term Frequency: 14        
Term: using                          Term Frequency: 14        
Term: learner                        Term Frequency: 14        
Term: interactions                   Term Frequency: 14        
Term: data                           Term Frequency: 13        
Term: however                        Term Frequency: 13        
Term: posts                          Term Frequency: 13        
Term: higher                         Term Frequency: 13        
Term: open                           Term Frequency: 12        
Term: used                           Term Frequency: 12        
Term: communication                  Term Frequency: 12        
Term: through                        Term Frequency: 12        
Term: degree                         Term Frequency: 12        
Term: individual                     Term Frequency: 12        
Term: each                           Term Frequency: 11        
Term: use                            Term Frequency: 11        
Term: who                            Term Frequency: 11        
Term: online                         Term Frequency: 11        
Term: distance                       Term Frequency: 11        
Term: 3                              Term Frequency: 10        
Term: research                       Term Frequency: 10        
Term: study                          Term Frequency: 10        
Term: effect                         Term Frequency: 10        
Term: mixed                          Term Frequency: 10        
Term: ties                           Term Frequency: 10        
Term: 2014                           Term Frequency: 10        
Term: results                        Term Frequency: 10        
Term: courses                        Term Frequency: 10        
Term: interaction                    Term Frequency: 9         
Term: 19                             Term Frequency: 9         
Term: new                            Term Frequency: 9         
Term: features                       Term Frequency: 9         
Term: random                         Term Frequency: 9         
Term: could                          Term Frequency: 9         
Term: post                           Term Frequency: 9         
Term: therefore                      Term Frequency: 9         
Term: betweenness                    Term Frequency: 9         
Term: other                          Term Frequency: 9         
Term: participants                   Term Frequency: 9         
Term: 5                              Term Frequency: 8         
Term: eigenvalue                     Term Frequency: 8         
Term: further                        Term Frequency: 8         
Term: included                       Term Frequency: 8         
Term: education                      Term Frequency: 8         
Term: analyses                       Term Frequency: 8         
Term: linear                         Term Frequency: 8         
Term: accumulation                   Term Frequency: 8         
Term: number                         Term Frequency: 8         
Term: would                          Term Frequency: 7         
Term: have                           Term Frequency: 7         
Term: networks                       Term Frequency: 7         
Term: two                            Term Frequency: 7         
Term: fixed                          Term Frequency: 7         
Term: structure                      Term Frequency: 7         
