Term: analysis                       Term Frequency: 28        
Term: students                       Term Frequency: 21        
Term: representations                Term Frequency: 19        
Term: 8                              Term Frequency: 17        
Term: history                        Term Frequency: 16        
Term: machine                        Term Frequency: 16        
Term: work                           Term Frequency: 16        
Term: 1                              Term Frequency: 14        
Term: representation                 Term Frequency: 13        
Term: number                         Term Frequency: 12        
Term: ink                            Term Frequency: 11        
Term: routines                       Term Frequency: 11        
Term: line                           Term Frequency: 11        
Term: codes                          Term Frequency: 10        
Term: use                            Term Frequency: 10        
Term: 48                             Term Frequency: 10        
Term: student                        Term Frequency: 10        
Term: 6                              Term Frequency: 9         
Term: mathematical                   Term Frequency: 9         
Term: our                            Term Frequency: 8         
Term: actions                        Term Frequency: 7         
Term: jumps                          Term Frequency: 7         
Term: jump                           Term Frequency: 7         
Term: answer                         Term Frequency: 7         
Term: human                          Term Frequency: 7         
Term: division                       Term Frequency: 7         
Term: 24                             Term Frequency: 7         
Term: using                          Term Frequency: 7         
Term: thinking                       Term Frequency: 7         
Term: learning                       Term Frequency: 7         
Term: 2                              Term Frequency: 6         
Term: 5                              Term Frequency: 6         
Term: multiplication                 Term Frequency: 6         
Term: teacher                        Term Frequency: 6         
Term: creating                       Term Frequency: 6         
Term: her                            Term Frequency: 6         
Term: created                        Term Frequency: 6         
Term: how                            Term Frequency: 6         
Term: bins                           Term Frequency: 6         
Term: make                           Term Frequency: 6         
Term: about                          Term Frequency: 6         
Term: 12                             Term Frequency: 6         
Term: from                           Term Frequency: 6         
Term: she                            Term Frequency: 6         
Term: code                           Term Frequency: 6         
Term: can                            Term Frequency: 6         
Term: 4                              Term Frequency: 5         
Term: mathematics                    Term Frequency: 5         
Term: process                        Term Frequency: 5         
Term: interaction                    Term Frequency: 5         
Term: dot                            Term Frequency: 5         
Term: 16                             Term Frequency: 5         
Term: visual                         Term Frequency: 5         
Term: elementary                     Term Frequency: 5         
Term: scheme                         Term Frequency: 5         
Term: coding                         Term Frequency: 5         
Term: strokes                        Term Frequency: 5         
Term: 0                              Term Frequency: 4         
Term: size                           Term Frequency: 4         
Term: 7                              Term Frequency: 4         
Term: example                        Term Frequency: 4         
Term: 617                            Term Frequency: 4         
Term: pen                            Term Frequency: 4         
Term: order                          Term Frequency: 4         
Term: recognize                      Term Frequency: 4         
Term: must                           Term Frequency: 4         
Term: page                           Term Frequency: 4         
Term: provide                        Term Frequency: 4         
Term: third                          Term Frequency: 4         
Term: based                          Term Frequency: 4         
Term: five                           Term Frequency: 4         
Term: enable                         Term Frequency: 4         
Term: array                          Term Frequency: 4         
Term: education                      Term Frequency: 4         
Term: authors                        Term Frequency: 4         
Term: all                            Term Frequency: 4         
Term: which                          Term Frequency: 4         
Term: teachers                       Term Frequency: 4         
Term: create                         Term Frequency: 4         
Term: 3                              Term Frequency: 3         
Term: information                    Term Frequency: 3         
Term: erased                         Term Frequency: 3         
Term: e.g                            Term Frequency: 3         
Term: classroom                      Term Frequency: 3         
Term: two                            Term Frequency: 3         
Term: time                           Term Frequency: 3         
Term: before                         Term Frequency: 3         
Term: 02140                          Term Frequency: 3         
Term: shown                          Term Frequency: 3         
Term: 2015                           Term Frequency: 3         
Term: tablet                         Term Frequency: 3         
Term: made                           Term Frequency: 3         
Term: skip                           Term Frequency: 3         
Term: knows                          Term Frequency: 3         
Term: 2067                           Term Frequency: 3         
Term: problems                       Term Frequency: 3         
Term: strategies                     Term Frequency: 3         
Term: 67                             Term Frequency: 3         
Term: math                           Term Frequency: 3         
Term: sequence                       Term Frequency: 3         
Term: objects                        Term Frequency: 3         
Term: contains                       Term Frequency: 3         
Term: learn                          Term Frequency: 3         
Term: arithmetic                     Term Frequency: 3         
Term: 873                            Term Frequency: 3         
Term: copies                         Term Frequency: 3         
Term: grade                          Term Frequency: 3         
Term: used                           Term Frequency: 3         
Term: uses                           Term Frequency: 3         
Term: patterns                       Term Frequency: 3         
Term: identifying                    Term Frequency: 3         
Term: terc.edu                       Term Frequency: 3         
Term: class                          Term Frequency: 3         
Term: digital                        Term Frequency: 3         
Term: table                          Term Frequency: 3         
Term: current                        Term Frequency: 3         
Term: solve                          Term Frequency: 3         
Term: technology                     Term Frequency: 3         
Term: problem                        Term Frequency: 3         
Term: tools                          Term Frequency: 3         
Term: week                           Term Frequency: 3         
Term: without                        Term Frequency: 2         
Term: object                         Term Frequency: 2         
Term: result                         Term Frequency: 2         
Term: p                              Term Frequency: 2         
Term: check                          Term Frequency: 2         
Term: 8x6                            Term Frequency: 2         
Term: indicating                     Term Frequency: 2         
Term: product                        Term Frequency: 2         
Term: counting                       Term Frequency: 2         
Term: events                         Term Frequency: 2         
Term: each                           Term Frequency: 2         
Term: does                           Term Frequency: 2         
Term: has                            Term Frequency: 2         
Term: last                           Term Frequency: 2         
Term: valuable                       Term Frequency: 2         
Term: low                            Term Frequency: 2         
Term: 02139                          Term Frequency: 2         
Term: been                           Term Frequency: 2         
Term: knowledge                      Term Frequency: 2         
Term: corpus                         Term Frequency: 2         
Term: mit.edu                        Term Frequency: 2         
Term: adding                         Term Frequency: 2         
Term: 2001                           Term Frequency: 2         
Term: final                          Term Frequency: 2         
Term: additional                     Term Frequency: 2         
Term: 2012                           Term Frequency: 2         
Term: owner                          Term Frequency: 2         
Term: 2016                           Term Frequency: 2         
Term: helping                        Term Frequency: 2         
Term: semantic                       Term Frequency: 2         
Term: may                            Term Frequency: 2         
Term: recognition                    Term Frequency: 2         
Term: ideas                          Term Frequency: 2         
Term: equation                       Term Frequency: 2         
Term: clustering                     Term Frequency: 2         
Term: drawing                        Term Frequency: 2         
Term: 20                             Term Frequency: 2         
Term: 32                             Term Frequency: 2         
Term: 40                             Term Frequency: 2         
Term: project                        Term Frequency: 2         
Term: apply                          Term Frequency: 2         
Term: abstract                       Term Frequency: 2         
Term: via                            Term Frequency: 2         
Term: understanding                  Term Frequency: 2         
Term: assessment                     Term Frequency: 2         
Term: student’s                      Term Frequency: 2         
Term: encoding                       Term Frequency: 2         
Term: called                         Term Frequency: 2         
Term: decisions                      Term Frequency: 2         
Term: correspond                     Term Frequency: 2         
Term: until                          Term Frequency: 2         
Term: investigating                  Term Frequency: 2         
Term: features                       Term Frequency: 2         
Term: correctness                    Term Frequency: 2         
Term: when                           Term Frequency: 2         
Term: case                           Term Frequency: 2         
Term: give                           Term Frequency: 2         
Term: matches                        Term Frequency: 2         
Term: more                           Term Frequency: 2         
Term: presented                      Term Frequency: 2         
Term: visible                        Term Frequency: 2         
Term: both                           Term Frequency: 2         
Term: along                          Term Frequency: 2         
Term: also                           Term Frequency: 2         
Term: do                             Term Frequency: 2         
Term: developed                      Term Frequency: 2         
Term: over                           Term Frequency: 2         
Term: subset                         Term Frequency: 2         
Term: bin                            Term Frequency: 2         
Term: draw                           Term Frequency: 2         
Term: several                        Term Frequency: 2         
Term: level                          Term Frequency: 2         
Term: relevant                       Term Frequency: 2         
Term: interesting                    Term Frequency: 2         
Term: analyzed                       Term Frequency: 2         
Term: especially                     Term Frequency: 2         
Term: support                        Term Frequency: 2         
Term: feedback                       Term Frequency: 2         
Term: reveal                         Term Frequency: 2         
Term: salient                        Term Frequency: 2         
Term: observations                   Term Frequency: 2         
Term: resemble                       Term Frequency: 1         
Term: i.e                            Term Frequency: 1         
Term: 9                              Term Frequency: 1         
Term: educators                      Term Frequency: 1         
Term: same                           Term Frequency: 1         
Term: heuristics                     Term Frequency: 1         
Term: 4503                           Term Frequency: 1         
Term: hand                           Term Frequency: 1         
Term: b                              Term Frequency: 1         
Term: x                              Term Frequency: 1         
Term: reports                        Term Frequency: 1         
Term: correct                        Term Frequency: 1         
Term: reproduce                      Term Frequency: 1         
Term: analyses                       Term Frequency: 1         
Term: analytics                      Term Frequency: 1         
Term: compute                        Term Frequency: 1         
Term: provided                       Term Frequency: 1         
Term: provides                       Term Frequency: 1         
Term: hard                           Term Frequency: 1         
Term: citation                       Term Frequency: 1         
Term: multiple                       Term Frequency: 1         
Term: gmail.com                      Term Frequency: 1         
Term: 2382                           Term Frequency: 1         
Term: better                         Term Frequency: 1         
Term: automate                       Term Frequency: 1         
Term: entire                         Term Frequency: 1         
Term: inter                          Term Frequency: 1         
Term: understand                     Term Frequency: 1         
Term: larger                         Term Frequency: 1         
Term: have                           Term Frequency: 1         
Term: opportunities                  Term Frequency: 1         
Term: produce                        Term Frequency: 1         
Term: findings                       Term Frequency: 1         
Term: entine                         Term Frequency: 1         
Term: whether                        Term Frequency: 1         
Term: representa                     Term Frequency: 1         
Term: basis                          Term Frequency: 1         
Term: 2883851.2883922                Term Frequency: 1         
Term: represents                     Term Frequency: 1         
Term: times                          Term Frequency: 1         
Term: 215                            Term Frequency: 1         
Term: 4x6                            Term Frequency: 1         
Term: 227                            Term Frequency: 1         
Term: extending                      Term Frequency: 1         
Term: 1019841                        Term Frequency: 1         
Term: discussion                     Term Frequency: 1         
Term: 9859                           Term Frequency: 1         
Term: input                          Term Frequency: 1         
Term: 4190                           Term Frequency: 1         
Term: 253                            Term Frequency: 1         
Term: creation                       Term Frequency: 1         
Term: replaced                       Term Frequency: 1         
Term: combining                      Term Frequency: 1         
Term: filling                        Term Frequency: 1         
Term: formative                      Term Frequency: 1         
Term: 1939                           Term Frequency: 1         
Term: dx.doi.org                     Term Frequency: 1         
Term: develop                        Term Frequency: 1         
Term: involved                       Term Frequency: 1         
Term: full                           Term Frequency: 1         
Term: settling                       Term Frequency: 1         
Term: circles                        Term Frequency: 1         
Term: semantics                      Term Frequency: 1         
Term: three                          Term Frequency: 1         
Term: identified                     Term Frequency: 1         
Term: tion                           Term Frequency: 1         
Term: deemed                         Term Frequency: 1         
Term: creative                       Term Frequency: 1         
Term: reliability                    Term Frequency: 1         
Term: funding                        Term Frequency: 1         
Term: bear                           Term Frequency: 1         
Term: group                          Term Frequency: 1         
Term: part                           Term Frequency: 1         
Term: conversations                  Term Frequency: 1         
