Term: high                           Term Frequency: 78        
Term: cognition                      Term Frequency: 69        
Term: learning                       Term Frequency: 64        
Term: group                          Term Frequency: 58        
Term: activities                     Term Frequency: 42        
Term: students                       Term Frequency: 41        
Term: groups                         Term Frequency: 38        
Term: 1                              Term Frequency: 37        
Term: performance                    Term Frequency: 34        
Term: metacognitive                  Term Frequency: 28        
Term: sequences                      Term Frequency: 25        
Term: low                            Term Frequency: 24        
Term: we                             Term Frequency: 24        
Term: 3                              Term Frequency: 22        
Term: relational                     Term Frequency: 21        
Term: more                           Term Frequency: 21        
Term: turns                          Term Frequency: 20        
Term: cognitive                      Term Frequency: 20        
Term: medium                         Term Frequency: 20        
Term: regulated                      Term Frequency: 19        
Term: task                           Term Frequency: 18        
Term: 2                              Term Frequency: 17        
Term: planning                       Term Frequency: 17        
Term: socially                       Term Frequency: 17        
Term: were                           Term Frequency: 16        
Term: each                           Term Frequency: 16        
Term: achieving                      Term Frequency: 16        
Term: 6                              Term Frequency: 15        
Term: one                            Term Frequency: 15        
Term: analysis                       Term Frequency: 15        
Term: 4                              Term Frequency: 14        
Term: performing                     Term Frequency: 13        
Term: computer                       Term Frequency: 12        
Term: about                          Term Frequency: 12        
Term: likely                         Term Frequency: 12        
Term: school                         Term Frequency: 12        
Term: can                            Term Frequency: 12        
Term: p                              Term Frequency: 11        
Term: variables                      Term Frequency: 11        
Term: collaborative                  Term Frequency: 11        
Term: student                        Term Frequency: 11        
Term: country                        Term Frequency: 11        
Term: temporal                       Term Frequency: 11        
Term: characteristics                Term Frequency: 11        
Term: other                          Term Frequency: 11        
Term: all                            Term Frequency: 11        
Term: turn                           Term Frequency: 10        
Term: two                            Term Frequency: 10        
Term: during                         Term Frequency: 10        
Term: metacognition                  Term Frequency: 9         
Term: activity                       Term Frequency: 9         
Term: support                        Term Frequency: 9         
Term: how                            Term Frequency: 9         
Term: talk                           Term Frequency: 9         
Term: showed                         Term Frequency: 9         
Term: control                        Term Frequency: 9         
Term: example                        Term Frequency: 8         
Term: after                          Term Frequency: 8         
Term: i                              Term Frequency: 8         
Term: j                              Term Frequency: 8         
Term: less                           Term Frequency: 8         
Term: 18                             Term Frequency: 8         
Term: new                            Term Frequency: 8         
Term: research                       Term Frequency: 8         
Term: study                          Term Frequency: 8         
Term: previous                       Term Frequency: 8         
Term: paper                          Term Frequency: 8         
Term: results                        Term Frequency: 8         
Term: triads                         Term Frequency: 8         
Term: test                           Term Frequency: 7         
Term: theory                         Term Frequency: 7         
Term: environment                    Term Frequency: 7         
Term: which                          Term Frequency: 7         
Term: positive                       Term Frequency: 7         
Term: speaker                        Term Frequency: 7         
Term: micro                          Term Frequency: 7         
Term: discourse                      Term Frequency: 7         
Term: between                        Term Frequency: 7         
Term: 9                              Term Frequency: 6         
Term: statistical                    Term Frequency: 6         
Term: c                              Term Frequency: 6         
Term: k                              Term Frequency: 6         
Term: information                    Term Frequency: 6         
Term: have                           Term Frequency: 6         
Term: scaffold                       Term Frequency: 6         
Term: among                          Term Frequency: 6         
Term: across                         Term Frequency: 6         
Term: often                          Term Frequency: 6         
Term: monitoring                     Term Frequency: 6         
Term: next                           Term Frequency: 6         
Term: effects                        Term Frequency: 6         
Term: content                        Term Frequency: 6         
Term: than                           Term Frequency: 6         
Term: self                           Term Frequency: 6         
Term: regulation                     Term Frequency: 6         
Term: first                          Term Frequency: 6         
Term: indicate                       Term Frequency: 6         
Term: model                          Term Frequency: 6         
Term: different                      Term Frequency: 6         
Term: 5                              Term Frequency: 5         
Term: 7                              Term Frequency: 5         
Term: b                              Term Frequency: 5         
Term: e                              Term Frequency: 5         
Term: s                              Term Frequency: 5         
Term: later                          Term Frequency: 5         
