Term: students                       Term Frequency: 16        
Term: modeling                       Term Frequency: 15        
Term: we                             Term Frequency: 15        
Term: design                         Term Frequency: 13        
Term: 1                              Term Frequency: 12        
Term: models                         Term Frequency: 11        
Term: use                            Term Frequency: 11        
Term: model                          Term Frequency: 10        
Term: student                        Term Frequency: 10        
Term: can                            Term Frequency: 10        
Term: learning                       Term Frequency: 9         
Term: our                            Term Frequency: 8         
Term: 6                              Term Frequency: 5         
Term: classroom                      Term Frequency: 5         
Term: organisms                      Term Frequency: 5         
Term: using                          Term Frequency: 5         
Term: research                       Term Frequency: 5         
Term: has                            Term Frequency: 5         
Term: interactions                   Term Frequency: 5         
Term: process                        Term Frequency: 5         
Term: how                            Term Frequency: 5         
Term: digital                        Term Frequency: 5         
Term: iterative                      Term Frequency: 5         
Term: review                         Term Frequency: 5         
Term: 4                              Term Frequency: 4         
Term: 5                              Term Frequency: 4         
Term: analytics                      Term Frequency: 4         
Term: all                            Term Frequency: 4         
Term: teacher                        Term Frequency: 4         
Term: relations                      Term Frequency: 4         
Term: cards                          Term Frequency: 4         
Term: usage                          Term Frequency: 4         
Term: which                          Term Frequency: 4         
Term: class                          Term Frequency: 4         
Term: logs                           Term Frequency: 4         
Term: changes                        Term Frequency: 4         
Term: help                           Term Frequency: 4         
Term: data                           Term Frequency: 4         
Term: scientific                     Term Frequency: 4         
Term: 2                              Term Frequency: 3         
Term: 3                              Term Frequency: 3         
Term: 8                              Term Frequency: 3         
Term: example                        Term Frequency: 3         
Term: same                           Term Frequency: 3         
Term: r                              Term Frequency: 3         
Term: s                              Term Frequency: 3         
Term: evidence                       Term Frequency: 3         
Term: order                          Term Frequency: 3         
Term: system                         Term Frequency: 3         
Term: local                          Term Frequency: 3         
Term: have                           Term Frequency: 3         
Term: copies                         Term Frequency: 3         
Term: tool                           Term Frequency: 3         
Term: scientificmodeling             Term Frequency: 3         
Term: leverage                       Term Frequency: 3         
Term: engagement                     Term Frequency: 3         
Term: developing                     Term Frequency: 3         
Term: measure                        Term Frequency: 3         
Term: provide                        Term Frequency: 3         
Term: card                           Term Frequency: 3         
Term: differences                    Term Frequency: 3         
Term: more                           Term Frequency: 3         
Term: cycles                         Term Frequency: 3         
Term: also                           Term Frequency: 3         
Term: variance                       Term Frequency: 3         
Term: impact                         Term Frequency: 3         
Term: practices                      Term Frequency: 3         
Term: de                             Term Frequency: 3         
Term: final                          Term Frequency: 3         
