Term: we                             Term Frequency: 73        
Term: model                          Term Frequency: 43        
Term: student                        Term Frequency: 42        
Term: rule                           Term Frequency: 41        
Term: data                           Term Frequency: 37        
Term: students                       Term Frequency: 32        
Term: s                              Term Frequency: 25        
Term: parameters                     Term Frequency: 25        
Term: rules                          Term Frequency: 24        
Term: parameter                      Term Frequency: 23        
Term: competence                     Term Frequency: 21        
Term: 1                              Term Frequency: 20        
Term: learning                       Term Frequency: 20        
Term: can                            Term Frequency: 19        
Term: from                           Term Frequency: 18        
Term: have                           Term Frequency: 16        
Term: tutoring                       Term Frequency: 16        
Term: 3                              Term Frequency: 15        
Term: based                          Term Frequency: 15        
Term: outcomes                       Term Frequency: 14        
Term: 0                              Term Frequency: 14        
Term: start                          Term Frequency: 14        
Term: per                            Term Frequency: 14        
Term: e                              Term Frequency: 13        
Term: domain                         Term Frequency: 11        
Term: use                            Term Frequency: 11        
Term: values                         Term Frequency: 11        
Term: estimated                      Term Frequency: 11        
Term: between                        Term Frequency: 11        
Term: 2                              Term Frequency: 10        
Term: number                         Term Frequency: 10        
Term: each                           Term Frequency: 9         
Term: which                          Term Frequency: 9         
Term: rewrite                        Term Frequency: 9         
Term: discriminativity               Term Frequency: 9         
Term: outcome                        Term Frequency: 9         
Term: using                          Term Frequency: 9         
Term: show                           Term Frequency: 9         
Term: original                       Term Frequency: 9         
Term: experts                        Term Frequency: 8         
Term: speed                          Term Frequency: 8         
Term: prediction                     Term Frequency: 8         
Term: how                            Term Frequency: 8         
Term: rankings                       Term Frequency: 8         
Term: problems                       Term Frequency: 8         
Term: ranking                        Term Frequency: 8         
Term: accuracy                       Term Frequency: 8         
Term: difficulty                     Term Frequency: 8         
Term: more                           Term Frequency: 8         
Term: stu                            Term Frequency: 8         
Term: logic                          Term Frequency: 7         
Term: probability                    Term Frequency: 7         
Term: used                           Term Frequency: 7         
Term: systems                        Term Frequency: 7         
Term: our                            Term Frequency: 7         
Term: small                          Term Frequency: 7         
Term: therefore                      Term Frequency: 7         
Term: all                            Term Frequency: 7         
Term: estimates                      Term Frequency: 7         
Term: different                      Term Frequency: 7         
Term: well                           Term Frequency: 6         
Term: two                            Term Frequency: 6         
Term: computer                       Term Frequency: 6         
Term: about                          Term Frequency: 6         
Term: recovered                      Term Frequency: 6         
Term: section                        Term Frequency: 6         
Term: rank                           Term Frequency: 6         
Term: ar                             Term Frequency: 6         
Term: bj                             Term Frequency: 6         
Term: br                             Term Frequency: 6         
Term: estimate                       Term Frequency: 6         
Term: starting                       Term Frequency: 6         
Term: one                            Term Frequency: 6         
Term: working                        Term Frequency: 6         
Term: system                         Term Frequency: 6         
Term: item                           Term Frequency: 6         
Term: also                           Term Frequency: 6         
Term: set                            Term Frequency: 6         
Term: i                              Term Frequency: 5         
Term: times                          Term Frequency: 5         
Term: may                            Term Frequency: 5         
Term: properties                     Term Frequency: 5         
Term: dents                          Term Frequency: 5         
Term: when                           Term Frequency: 5         
Term: do                             Term Frequency: 5         
Term: know                           Term Frequency: 5         
Term: correct                        Term Frequency: 5         
Term: whether                        Term Frequency: 5         
Term: before                         Term Frequency: 5         
Term: positive                       Term Frequency: 5         
Term: real                           Term Frequency: 5         
Term: learned                        Term Frequency: 5         
Term: however                        Term Frequency: 5         
Term: instances                      Term Frequency: 5         
Term: same                           Term Frequency: 4         
Term: j                              Term Frequency: 4         
Term: provided                       Term Frequency: 4         
Term: average                        Term Frequency: 4         
Term: compare                        Term Frequency: 4         
Term: around                         Term Frequency: 4         
Term: research                       Term Frequency: 4         
Term: sciences                       Term Frequency: 4         
Term: expressions                    Term Frequency: 4         
Term: what                           Term Frequency: 4         
Term: attempted                      Term Frequency: 4         
Term: who                            Term Frequency: 4         
Term: al                             Term Frequency: 4         
Term: than                           Term Frequency: 4         
Term: obtained                       Term Frequency: 4         
Term: life                           Term Frequency: 4         
Term: previous                       Term Frequency: 4         
Term: groups                         Term Frequency: 4         
Term: gradient                       Term Frequency: 4         
Term: has                            Term Frequency: 4         
Term: time                           Term Frequency: 4         
Term: mean                           Term Frequency: 4         
Term: correctly                      Term Frequency: 4         
Term: simulation                     Term Frequency: 4         
Term: validation                     Term Frequency: 4         
Term: simulations                    Term Frequency: 4         
Term: value                          Term Frequency: 4         
Term: both                           Term Frequency: 4         
Term: several                        Term Frequency: 4         
Term: 4                              Term Frequency: 3         
Term: 5                              Term Frequency: 3         
Term: t                              Term Frequency: 3         
Term: x                              Term Frequency: 3         
Term: applied                        Term Frequency: 3         
Term: multiple                       Term Frequency: 3         
Term: e.g                            Term Frequency: 3         
Term: binary                         Term Frequency: 3         
Term: function                       Term Frequency: 3         
Term: items                          Term Frequency: 3         
Term: randomly                       Term Frequency: 3         
Term: experience                     Term Frequency: 3         
Term: dif                            Term Frequency: 3         
Term: test                           Term Frequency: 3         
Term: ings                           Term Frequency: 3         
Term: 0.80                           Term Frequency: 3         
Term: startingcompetence             Term Frequency: 3         
Term: 12                             Term Frequency: 3         
Term: 23                             Term Frequency: 3         
Term: 50                             Term Frequency: 3         
Term: apply                          Term Frequency: 3         
Term: estimation                     Term Frequency: 3         
Term: matrix                         Term Frequency: 3         
Term: behavior                       Term Frequency: 3         
Term: learn                          Term Frequency: 3         
Term: descent                        Term Frequency: 3         
Term: often                          Term Frequency: 3         
Term: tests                          Term Frequency: 3         
Term: education                      Term Frequency: 3         
Term: models                         Term Frequency: 3         
Term: logistic                       Term Frequency: 3         
Term: simulated                      Term Frequency: 3         
Term: aj                             Term Frequency: 3         
Term: ap                             Term Frequency: 3         
Term: de                             Term Frequency: 3         
Term: et                             Term Frequency: 3         
Term: teachers                       Term Frequency: 3         
Term: chosen                         Term Frequency: 3         
Term: conclude                       Term Frequency: 3         
Term: create                         Term Frequency: 3         
Term: purpose                        Term Frequency: 3         
Term: median                         Term Frequency: 3         
Term: point                          Term Frequency: 3         
Term: questions                      Term Frequency: 3         
Term: 2006                           Term Frequency: 3         
Term: uniform                        Term Frequency: 3         
Term: first                          Term Frequency: 3         
Term: paper                          Term Frequency: 3         
Term: its                            Term Frequency: 3         
Term: choose                         Term Frequency: 3         
Term: likelihood                     Term Frequency: 3         
Term: other                          Term Frequency: 3         
Term: construction                   Term Frequency: 3         
Term: where                          Term Frequency: 3         
Term: describes                      Term Frequency: 3         
Term: rewriting                      Term Frequency: 3         
Term: results                        Term Frequency: 3         
Term: negative                       Term Frequency: 3         
Term: expert                         Term Frequency: 3         
Term: dent                           Term Frequency: 3         
Term: generate                       Term Frequency: 3         
Term: feedback                       Term Frequency: 3         
Term: range                          Term Frequency: 3         
Term: response                       Term Frequency: 3         
Term: applies                        Term Frequency: 2         
Term: 8                              Term Frequency: 2         
Term: m                              Term Frequency: 2         
Term: fifth                          Term Frequency: 2         
Term: information                    Term Frequency: 2         
Term: subsection                     Term Frequency: 2         
Term: too                            Term Frequency: 2         
Term: toexpert                       Term Frequency: 2         
Term: com                            Term Frequency: 2         
Term: con                            Term Frequency: 2         
Term: dataset                        Term Frequency: 2         
Term: lot                            Term Frequency: 2         
Term: taught                         Term Frequency: 2         
Term: 0.09                           Term Frequency: 2         
Term: made                           Term Frequency: 2         
Term: 0.75                           Term Frequency: 2         
Term: known                          Term Frequency: 2         
Term: knowl                          Term Frequency: 2         
Term: 0.83                           Term Frequency: 2         
Term: 0.91                           Term Frequency: 2         
Term: subject                        Term Frequency: 2         
Term: inform                         Term Frequency: 2         
Term: 13                             Term Frequency: 2         
Term: 15                             Term Frequency: 2         
Term: highest                        Term Frequency: 2         
Term: 20                             Term Frequency: 2         
Term: 25                             Term Frequency: 2         
Term: strategies                     Term Frequency: 2         
Term: many                           Term Frequency: 2         
Term: step                           Term Frequency: 2         
Term: reliable                       Term Frequency: 2         
Term: still                          Term Frequency: 2         
Term: eaj                            Term Frequency: 2         
Term: ear                            Term Frequency: 2         
Term: forthe                         Term Frequency: 2         
Term: unreliable                     Term Frequency: 2         
Term: because                        Term Frequency: 2         
Term: science                        Term Frequency: 2         
Term: generated                      Term Frequency: 2         
Term: gather                         Term Frequency: 2         
Term: datafrom                       Term Frequency: 2         
Term: similar                        Term Frequency: 2         
Term: ofthe                          Term Frequency: 2         
Term: expected                       Term Frequency: 2         
Term: correlations                   Term Frequency: 2         
Term: absolute                       Term Frequency: 2         
Term: solved                         Term Frequency: 2         
Term: next                           Term Frequency: 2         
Term: promising                      Term Frequency: 2         
Term: differences                    Term Frequency: 2         
Term: produces                       Term Frequency: 2         
Term: variance                       Term Frequency: 2         
Term: ex                             Term Frequency: 2         
Term: form                           Term Frequency: 2         
Term: he                             Term Frequency: 2         
Term: practice                       Term Frequency: 2         
Term: edge                           Term Frequency: 2         
Term: follows                        Term Frequency: 2         
Term: oi                             Term Frequency: 2         
Term: determine                      Term Frequency: 2         
Term: pa                             Term Frequency: 2         
Term: manipulating                   Term Frequency: 2         
Term: apart                          Term Frequency: 2         
Term: solve                          Term Frequency: 2         
Term: astudent                       Term Frequency: 2         
Term: problem                        Term Frequency: 2         
Term: phase                          Term Frequency: 2         
Term: trainingin                     Term Frequency: 2         
Term: out                            Term Frequency: 2         
Term: culty                          Term Frequency: 2         
Term: much                           Term Frequency: 2         
Term: 6.1                            Term Frequency: 2         
Term: diffi                          Term Frequency: 2         
Term: changing                       Term Frequency: 2         
Term: responsetheory                 Term Frequency: 2         
Term: plied                          Term Frequency: 2         
Term: even                           Term Frequency: 2         
Term: discusses                      Term Frequency: 2         
Term: cause                          Term Frequency: 2         
Term: thatthe                        Term Frequency: 2         
Term: difference                     Term Frequency: 2         
Term: found                          Term Frequency: 2         
Term: validate                       Term Frequency: 2         
Term: had                            Term Frequency: 2         
Term: school                         Term Frequency: 2         
Term: measure                        Term Frequency: 2         
