Term: students                       Term Frequency: 147       
Term: learning                       Term Frequency: 95        
Term: we                             Term Frequency: 75        
Term: issues                         Term Frequency: 48        
Term: course                         Term Frequency: 42        
Term: analytics                      Term Frequency: 40        
Term: how                            Term Frequency: 36        
Term: work                           Term Frequency: 35        
Term: 1                              Term Frequency: 33        
Term: time                           Term Frequency: 33        
Term: more                           Term Frequency: 31        
Term: thesis                         Term Frequency: 30        
Term: our                            Term Frequency: 30        
Term: 3                              Term Frequency: 29        
Term: use                            Term Frequency: 29        
Term: can                            Term Frequency: 29        
Term: group                          Term Frequency: 28        
Term: results                        Term Frequency: 27        
Term: 4                              Term Frequency: 26        
Term: all                            Term Frequency: 26        
Term: activities                     Term Frequency: 25        
Term: tool                           Term Frequency: 25        
Term: conference                     Term Frequency: 24        
Term: proceedings                    Term Frequency: 23        
Term: other                          Term Frequency: 23        
Term: student                        Term Frequency: 22        
Term: 2012                           Term Frequency: 22        
Term: activity                       Term Frequency: 21        
Term: 2                              Term Frequency: 20        
Term: section                        Term Frequency: 20        
Term: them                           Term Frequency: 20        
Term: international                  Term Frequency: 20        
Term: knowledge                      Term Frequency: 19        
Term: evaluation                     Term Frequency: 18        
Term: e                              Term Frequency: 17        
Term: which                          Term Frequency: 17        
Term: important                      Term Frequency: 17        
Term: may                            Term Frequency: 17        
Term: 12                             Term Frequency: 15        
Term: spent                          Term Frequency: 15        
Term: different                      Term Frequency: 15        
Term: courses                        Term Frequency: 14        
Term: when                           Term Frequency: 14        
Term: medians                        Term Frequency: 14        
Term: median                         Term Frequency: 14        
Term: traces                         Term Frequency: 14        
Term: have                           Term Frequency: 13        
Term: presented                      Term Frequency: 13        
Term: brainstorming                  Term Frequency: 13        
Term: tools                          Term Frequency: 13        
Term: others                         Term Frequency: 13        
Term: were                           Term Frequency: 13        
Term: motivation                     Term Frequency: 13        
Term: research                       Term Frequency: 13        
Term: support                        Term Frequency: 13        
Term: table                          Term Frequency: 13        
Term: 5                              Term Frequency: 12        
Term: 6                              Term Frequency: 12        
Term: reflection                     Term Frequency: 12        
Term: sessions                       Term Frequency: 12        
Term: education                      Term Frequency: 12        
Term: topic                          Term Frequency: 12        
Term: has                            Term Frequency: 12        
Term: problems                       Term Frequency: 12        
Term: three                          Term Frequency: 12        
Term: data                           Term Frequency: 12        
Term: 2nd                            Term Frequency: 11        
Term: rated                          Term Frequency: 11        
Term: needs                          Term Frequency: 11        
Term: help                           Term Frequency: 11        
Term: about                          Term Frequency: 11        
Term: one                            Term Frequency: 11        
Term: blogs                          Term Frequency: 10        
Term: dashboards                     Term Frequency: 10        
Term: second                         Term Frequency: 10        
Term: learner                        Term Frequency: 10        
Term: address                        Term Frequency: 10        
Term: awareness                      Term Frequency: 10        
Term: design                         Term Frequency: 10        
Term: learners                       Term Frequency: 10        
Term: also                           Term Frequency: 10        
Term: see                            Term Frequency: 10        
Term: spend                          Term Frequency: 9         
Term: perception                     Term Frequency: 9         
Term: study                          Term Frequency: 9         
Term: do                             Term Frequency: 9         
Term: than                           Term Frequency: 9         
Term: pp                             Term Frequency: 9         
Term: whether                        Term Frequency: 9         
Term: based                          Term Frequency: 9         
Term: from                           Term Frequency: 9         
Term: social                         Term Frequency: 9         
Term: between                        Term Frequency: 9         
Term: studies                        Term Frequency: 9         
Term: well                           Term Frequency: 9         
Term: less                           Term Frequency: 9         
Term: does                           Term Frequency: 9         
Term: marker                         Term Frequency: 9         
Term: issue                          Term Frequency: 9         
Term: groups                         Term Frequency: 9         
Term: working                        Term Frequency: 9         
Term: identified                     Term Frequency: 9         
Term: some                           Term Frequency: 9         
Term: during                         Term Frequency: 9         
Term: case                           Term Frequency: 9         
Term: doing                          Term Frequency: 9         
Term: aware                          Term Frequency: 9         
Term: 8                              Term Frequency: 8         
Term: using                          Term Frequency: 8         
Term: assess                         Term Frequency: 8         
Term: engineering                    Term Frequency: 8         
Term: what                           Term Frequency: 8         
Term: dashboard                      Term Frequency: 8         
Term: out                            Term Frequency: 8         
Term: session                        Term Frequency: 8         
Term: selected                       Term Frequency: 8         
Term: most                           Term Frequency: 8         
Term: usability                      Term Frequency: 8         
Term: convinced                      Term Frequency: 8         
Term: 7                              Term Frequency: 7         
Term: 9                              Term Frequency: 7         
Term: impact                         Term Frequency: 7         
Term: usefulness                     Term Frequency: 7         
Term: asked                          Term Frequency: 7         
Term: individually                   Term Frequency: 7         
Term: way                            Term Frequency: 7         
Term: addresses                      Term Frequency: 7         
Term: much                           Term Frequency: 7         
Term: focus                          Term Frequency: 7         
Term: first                          Term Frequency: 7         
Term: application                    Term Frequency: 7         
Term: programming                    Term Frequency: 7         
Term: helps                          Term Frequency: 7         
Term: related                        Term Frequency: 7         
Term: report                         Term Frequency: 7         
Term: twitter                        Term Frequency: 7         
Term: interaction                    Term Frequency: 7         
Term: blog                           Term Frequency: 7         
Term: analysis                       Term Frequency: 7         
Term: resources                      Term Frequency: 7         
Term: system                         Term Frequency: 7         
Term: increase                       Term Frequency: 7         
Term: set                            Term Frequency: 7         
Term: visualization                  Term Frequency: 7         
Term: order                          Term Frequency: 6         
Term: comments                       Term Frequency: 6         
Term: visualizations                 Term Frequency: 6         
Term: 13                             Term Frequency: 6         
Term: 18                             Term Frequency: 6         
Term: year                           Term Frequency: 6         
Term: http                           Term Frequency: 6         
Term: who                            Term Frequency: 6         
Term: systems                        Term Frequency: 6         
Term: thus                           Term Frequency: 6         
Term: understand                     Term Frequency: 6         
Term: earlier                        Term Frequency: 6         
Term: tracking                       Term Frequency: 6         
Term: present                        Term Frequency: 6         
Term: fact                           Term Frequency: 6         
Term: face                           Term Frequency: 6         
Term: paper                          Term Frequency: 6         
Term: educational                    Term Frequency: 6         
Term: each                           Term Frequency: 6         
Term: importance                     Term Frequency: 6         
Term: behavior                       Term Frequency: 6         
Term: specific                       Term Frequency: 6         
Term: used                           Term Frequency: 6         
Term: teachers                       Term Frequency: 6         
Term: management                     Term Frequency: 6         
Term: software                       Term Frequency: 6         
Term: 2011                           Term Frequency: 6         
Term: within                         Term Frequency: 6         
Term: where                          Term Frequency: 6         
Term: column                         Term Frequency: 6         
Term: over                           Term Frequency: 6         
Term: relevant                       Term Frequency: 6         
Term: higher                         Term Frequency: 6         
Term: b                              Term Frequency: 5         
Term: better                         Term Frequency: 5         
Term: indecisive                     Term Frequency: 5         
Term: motivated                      Term Frequency: 5         
Term: 21                             Term Frequency: 5         
Term: 23                             Term Frequency: 5         
Term: progress                       Term Frequency: 5         
Term: eds                            Term Frequency: 5         
Term: community                      Term Frequency: 5         
Term: monitoring                     Term Frequency: 5         
Term: extent                         Term Frequency: 5         
Term: addition                       Term Frequency: 5         
Term: me                             Term Frequency: 5         
Term: up                             Term Frequency: 5         
Term: self                           Term Frequency: 5         
Term: been                           Term Frequency: 5         
Term: visualizes                     Term Frequency: 5         
Term: topics                         Term Frequency: 5         
Term: master                         Term Frequency: 5         
Term: developed                      Term Frequency: 5         
Term: experiment                     Term Frequency: 5         
Term: done                           Term Frequency: 5         
Term: open                           Term Frequency: 5         
Term: statement                      Term Frequency: 5         
Term: enables                        Term Frequency: 5         
Term: members                        Term Frequency: 5         
Term: process                        Term Frequency: 5         
Term: 2007                           Term Frequency: 5         
Term: view                           Term Frequency: 5         
Term: bar                            Term Frequency: 5         
Term: peers                          Term Frequency: 5         
Term: makes                          Term Frequency: 5         
Term: goal                           Term Frequency: 5         
Term: result                         Term Frequency: 4         
Term: block                          Term Frequency: 4         
Term: academic                       Term Frequency: 4         
Term: rows                           Term Frequency: 4         
Term: two                            Term Frequency: 4         
Term: required                       Term Frequency: 4         
Term: under                          Term Frequency: 4         
Term: did                            Term Frequency: 4         
Term: made                           Term Frequency: 4         
Term: being                          Term Frequency: 4         
Term: 3.5                            Term Frequency: 4         
Term: logs                           Term Frequency: 4         
Term: 17                             Term Frequency: 4         
Term: 20                             Term Frequency: 4         
Term: 25                             Term Frequency: 4         
Term: 31                             Term Frequency: 4         
Term: 42                             Term Frequency: 4         
Term: step                           Term Frequency: 4         
Term: called                         Term Frequency: 4         
Term: plan                           Term Frequency: 4         
Term: web                            Term Frequency: 4         
Term: outside                        Term Frequency: 4         
Term: evaluated                      Term Frequency: 4         
Term: four                           Term Frequency: 4         
Term: communication                  Term Frequency: 4         
Term: my                             Term Frequency: 4         
Term: so                             Term Frequency: 4         
Term: us                             Term Frequency: 4         
Term: insight                        Term Frequency: 4         
Term: addressed                      Term Frequency: 4         
Term: factors                        Term Frequency: 4         
Term: lack                           Term Frequency: 4         
Term: success                        Term Frequency: 4         
Term: approach                       Term Frequency: 4         
Term: classroom                      Term Frequency: 4         
Term: strongly                       Term Frequency: 4         
Term: analyze                        Term Frequency: 4         
Term: chart                          Term Frequency: 4         
Term: applications                   Term Frequency: 4         
Term: could                          Term Frequency: 4         
Term: reflect                        Term Frequency: 4         
Term: comment                        Term Frequency: 4         
Term: post                           Term Frequency: 4         
Term: identify                       Term Frequency: 4         
Term: number                         Term Frequency: 4         
Term: points                         Term Frequency: 4         
Term: real                           Term Frequency: 4         
Term: collect                        Term Frequency: 4         
Term: influence                      Term Frequency: 4         
Term: focuses                        Term Frequency: 4         
Term: high                           Term Frequency: 4         
Term: total                          Term Frequency: 4         
Term: expect                         Term Frequency: 4         
Term: only                           Term Frequency: 4         
Term: improve                        Term Frequency: 4         
Term: computer                       Term Frequency: 4         
Term: part                           Term Frequency: 4         
Term: human                          Term Frequency: 4         
Term: whereas                        Term Frequency: 4         
Term: because                        Term Frequency: 4         
Term: models                         Term Frequency: 4         
Term: decrease                       Term Frequency: 4         
Term: practice                       Term Frequency: 4         
Term: details                        Term Frequency: 4         
Term: own                            Term Frequency: 4         
Term: resource                       Term Frequency: 4         
Term: efforts                        Term Frequency: 4         
Term: overview                       Term Frequency: 4         
Term: positive                       Term Frequency: 4         
Term: again                          Term Frequency: 4         
Term: caused                         Term Frequency: 4         
Term: future                         Term Frequency: 4         
Term: six                            Term Frequency: 4         
Term: potentially                    Term Frequency: 4         
Term: hand                           Term Frequency: 3         
Term: information                    Term Frequency: 3         
Term: good                           Term Frequency: 3         
Term: provided                       Term Frequency: 3         
Term: effectiveness                  Term Frequency: 3         
Term: e.g                            Term Frequency: 3         
Term: hash                           Term Frequency: 3         
Term: too                            Term Frequency: 3         
Term: reported                       Term Frequency: 3         
Term: distribute                     Term Frequency: 3         
Term: think                          Term Frequency: 3         
Term: start                          Term Frequency: 3         
Term: shows                          Term Frequency: 3         
Term: methodology                    Term Frequency: 3         
Term: tweets                         Term Frequency: 3         
Term: 3.2                            Term Frequency: 3         
Term: 04                             Term Frequency: 3         
Term: 15                             Term Frequency: 3         
Term: 19                             Term Frequency: 3         
Term: 22                             Term Frequency: 3         
Term: 24                             Term Frequency: 3         
Term: 27                             Term Frequency: 3         
Term: 29                             Term Frequency: 3         
Term: 30                             Term Frequency: 3         
Term: 33                             Term Frequency: 3         
Term: 34                             Term Frequency: 3         
Term: identity                       Term Frequency: 3         
Term: version                        Term Frequency: 3         
Term: perceptions                    Term Frequency: 3         
Term: end                            Term Frequency: 3         
Term: sensemaking                    Term Frequency: 3         
Term: might                          Term Frequency: 3         
Term: sharing                        Term Frequency: 3         
Term: improving                      Term Frequency: 3         
Term: next                           Term Frequency: 3         
Term: prioritized                    Term Frequency: 3         
Term: gain                           Term Frequency: 3         
Term: why                            Term Frequency: 3         
Term: digital                        Term Frequency: 3         
Term: while                          Term Frequency: 3         
Term: questionnaire                  Term Frequency: 3         
Term: scale                          Term Frequency: 3         
Term: reports                        Term Frequency: 3         
Term: mobile                         Term Frequency: 3         
Term: discussed                      Term Frequency: 3         
Term: had                            Term Frequency: 3         
Term: potential                      Term Frequency: 3         
Term: manually                       Term Frequency: 3         
Term: visualized                     Term Frequency: 3         
Term: questions                      Term Frequency: 3         
Term: reached                        Term Frequency: 3         
Term: tracked                        Term Frequency: 3         
Term: indicators                     Term Frequency: 3         
Term: weeks                          Term Frequency: 3         
Term: communicate                    Term Frequency: 3         
Term: decisions                      Term Frequency: 3         
Term: copies                         Term Frequency: 3         
Term: semester                       Term Frequency: 3         
Term: those                          Term Frequency: 3         
Term: interfaces                     Term Frequency: 3         
Term: indicate                       Term Frequency: 3         
Term: assessed                       Term Frequency: 3         
Term: week                           Term Frequency: 3         
Term: respectively                   Term Frequency: 3         
Term: full                           Term Frequency: 3         
Term: perceived                      Term Frequency: 3         
Term: month                          Term Frequency: 3         
Term: evaluate                       Term Frequency: 3         
Term: oriented                       Term Frequency: 3         
Term: believe                        Term Frequency: 3         
Term: studying                       Term Frequency: 3         
Term: deployed                       Term Frequency: 3         
Term: decreased                      Term Frequency: 3         
Term: new                            Term Frequency: 3         
Term: media                          Term Frequency: 3         
Term: approaches                     Term Frequency: 3         
Term: user                           Term Frequency: 3         
Term: reporting                      Term Frequency: 3         
Term: presents                       Term Frequency: 3         
Term: survey                         Term Frequency: 3         
Term: allows                         Term Frequency: 3         
Term: 4.1.2                          Term Frequency: 3         
Term: problem                        Term Frequency: 3         
Term: distribution                   Term Frequency: 3         
Term: devices                        Term Frequency: 3         
Term: list                           Term Frequency: 3         
Term: per                            Term Frequency: 3         
Term: kinds                          Term Frequency: 3         
Term: environments                   Term Frequency: 3         
Term: consider                       Term Frequency: 3         
Term: 2005                           Term Frequency: 3         
Term: tracks                         Term Frequency: 3         
Term: 2013                           Term Frequency: 3         
Term: member                         Term Frequency: 3         
Term: instance                       Term Frequency: 3         
Term: find                           Term Frequency: 3         
Term: badges                         Term Frequency: 3         
Term: online                         Term Frequency: 3         
Term: every                          Term Frequency: 3         
Term: solving                        Term Frequency: 3         
Term: track                          Term Frequency: 3         
Term: years                          Term Frequency: 3         
Term: rating                         Term Frequency: 3         
Term: through                        Term Frequency: 3         
Term: assignments                    Term Frequency: 3         
Term: participation                  Term Frequency: 3         
Term: kind                           Term Frequency: 3         
Term: multimedia                     Term Frequency: 3         
Term: posts                          Term Frequency: 3         
Term: click                          Term Frequency: 2         
Term: role                           Term Frequency: 2         
