Term: learning                       Term Frequency: 25        
Term: analytics                      Term Frequency: 15        
Term: research                       Term Frequency: 13        
Term: workshop                       Term Frequency: 13        
Term: he                             Term Frequency: 13        
Term: from                           Term Frequency: 11        
Term: information                    Term Frequency: 10        
Term: engineering                    Term Frequency: 10        
Term: collections                    Term Frequency: 10        
Term: systems                        Term Frequency: 9         
Term: data                           Term Frequency: 9         
Term: computer                       Term Frequency: 8         
Term: repositories                   Term Frequency: 8         
Term: has                            Term Frequency: 6         
Term: technologies                   Term Frequency: 6         
Term: web                            Term Frequency: 6         
Term: social                         Term Frequency: 6         
Term: technology                     Term Frequency: 6         
Term: also                           Term Frequency: 5         
Term: digital                        Term Frequency: 5         
Term: 2013                           Term Frequency: 5         
Term: all                            Term Frequency: 4         
Term: through                        Term Frequency: 4         
Term: federations                    Term Frequency: 4         
Term: participants                   Term Frequency: 4         
Term: include                        Term Frequency: 4         
Term: contributions                  Term Frequency: 3         
Term: 1                              Term Frequency: 3         
Term: metrics                        Term Frequency: 3         
Term: post                           Term Frequency: 3         
Term: http                           Term Frequency: 3         
Term: system                         Term Frequency: 3         
Term: other                          Term Frequency: 3         
Term: copies                         Term Frequency: 3         
Term: around                         Term Frequency: 3         
Term: biomedical                     Term Frequency: 3         
Term: involved                       Term Frequency: 3         
Term: presentations                  Term Frequency: 3         
Term: organizer                      Term Frequency: 3         
Term: interests                      Term Frequency: 3         
Term: experience                     Term Frequency: 3         
Term: process                        Term Frequency: 3         
Term: been                           Term Frequency: 3         
Term: addition                       Term Frequency: 3         
Term: some                           Term Frequency: 3         
Term: papers                         Term Frequency: 3         
Term: content                        Term Frequency: 3         
Term: topics                         Term Frequency: 3         
Term: main                           Term Frequency: 3         
Term: international                  Term Frequency: 3         
Term: demo                           Term Frequency: 3         
Term: quality                        Term Frequency: 3         
Term: one                            Term Frequency: 3         
Term: project                        Term Frequency: 3         
Term: degree                         Term Frequency: 3         
Term: collection                     Term Frequency: 3         
Term: xavier                         Term Frequency: 3         
Term: stoitsis                       Term Frequency: 3         
Term: development                    Term Frequency: 3         
Term: resources                      Term Frequency: 3         
Term: analysis                       Term Frequency: 2         
Term: 3                              Term Frequency: 2         
Term: 4                              Term Frequency: 2         
Term: selection                      Term Frequency: 2         
Term: 6                              Term Frequency: 2         
Term: measurement                    Term Frequency: 2         
Term: ontology                       Term Frequency: 2         
Term: educational                    Term Frequency: 2         
Term: previously                     Term Frequency: 2         
Term: have                           Term Frequency: 2         
Term: measuring                      Term Frequency: 2         
Term: design                         Term Frequency: 2         
Term: department                     Term Frequency: 2         
Term: activities                     Term Frequency: 2         
Term: initiatives                    Term Frequency: 2         
Term: containing                     Term Frequency: 2         
Term: expected                       Term Frequency: 2         
Term: call                           Term Frequency: 2         
Term: full                           Term Frequency: 2         
Term: time                           Term Frequency: 2         
Term: applications                   Term Frequency: 2         
Term: interactive                    Term Frequency: 2         
Term: demos                          Term Frequency: 2         
Term: fee                            Term Frequency: 2         
Term: group                          Term Frequency: 2         
Term: kind                           Term Frequency: 2         
Term: done                           Term Frequency: 2         
Term: general                        Term Frequency: 2         
Term: approaches                     Term Frequency: 2         
Term: projects                       Term Frequency: 2         
Term: del                            Term Frequency: 2         
Term: areas                          Term Frequency: 2         
Term: promoted                       Term Frequency: 2         
Term: promoting                      Term Frequency: 2         
Term: journal                        Term Frequency: 2         
Term: set                            Term Frequency: 2         
Term: which                          Term Frequency: 2         
Term: regarding                      Term Frequency: 2         
Term: related                        Term Frequency: 2         
Term: 2002                           Term Frequency: 2         
Term: permission                     Term Frequency: 2         
Term: made                           Term Frequency: 2         
Term: member                         Term Frequency: 2         
Term: km                             Term Frequency: 2         
Term: discovery                      Term Frequency: 2         
Term: visualisation                  Term Frequency: 2         
Term: professor                      Term Frequency: 2         
Term: lists                          Term Frequency: 2         
Term: based                          Term Frequency: 2         
Term: 12                             Term Frequency: 2         
Term: 13                             Term Frequency: 2         
Term: processing                     Term Frequency: 2         
Term: components                     Term Frequency: 2         
Term: global                         Term Frequency: 2         
Term: open                           Term Frequency: 2         
Term: coordination                   Term Frequency: 2         
Term: up                             Term Frequency: 2         
Term: cases                          Term Frequency: 2         
Term: during                         Term Frequency: 2         
Term: work                           Term Frequency: 2         
Term: following                      Term Frequency: 2         
Term: tools                          Term Frequency: 2         
Term: site                           Term Frequency: 2         
Term: space                          Term Frequency: 2         
Term: mining                         Term Frequency: 2         
Term: network                        Term Frequency: 2         
Term: computing                      Term Frequency: 2         
Term: currently                      Term Frequency: 2         
Term: year                           Term Frequency: 1         
Term: owners                         Term Frequency: 1         
Term: without                        Term Frequency: 1         
Term: outcomes                       Term Frequency: 1         
Term: referatories                   Term Frequency: 1         
Term: organizational                 Term Frequency: 1         
Term: i.e                            Term Frequency: 1         
Term: devices                        Term Frequency: 1         
Term: 2269773                        Term Frequency: 1         
Term: version                        Term Frequency: 1         
Term: interdisciplinary              Term Frequency: 1         
Term: cultural                       Term Frequency: 1         
Term: standards                      Term Frequency: 1         
Term: planning                       Term Frequency: 1         
Term: 2                              Term Frequency: 1         
Term: size                           Term Frequency: 1         
Term: 5                              Term Frequency: 1         
Term: hosting                        Term Frequency: 1         
Term: least                          Term Frequency: 1         
Term: same                           Term Frequency: 1         
Term: 4503                           Term Frequency: 1         
Term: 27060                          Term Frequency: 1         
Term: fostering                      Term Frequency: 1         
Term: address                        Term Frequency: 1         
Term: joris.klerkx                   Term Frequency: 1         
Term: www.agroknow.gr                Term Frequency: 1         
Term: ieee.org                       Term Frequency: 1         
Term: others                         Term Frequency: 1         
Term: contributed                    Term Frequency: 1         
Term: making                         Term Frequency: 1         
Term: its                            Term Frequency: 1         
Term: users                          Term Frequency: 1         
Term: 15.00                          Term Frequency: 1         
Term: production                     Term Frequency: 1         
Term: provided                       Term Frequency: 1         
Term: representation                 Term Frequency: 1         
Term: motivate                       Term Frequency: 1         
Term: responsible                    Term Frequency: 1         
Term: end                            Term Frequency: 1         
Term: hard                           Term Frequency: 1         
Term: citation                       Term Frequency: 1         
Term: mobile                         Term Frequency: 1         
Term: room                           Term Frequency: 1         
Term: collocated                     Term Frequency: 1         
Term: 30.5                           Term Frequency: 1         
Term: contributors                   Term Frequency: 1         
Term: 3001                           Term Frequency: 1         
Term: approach                       Term Frequency: 1         
Term: number                         Term Frequency: 1         
Term: considering                    Term Frequency: 1         
Term: distributed                    Term Frequency: 1         
Term: classroom                      Term Frequency: 1         
Term: aggregated                     Term Frequency: 1         
Term: relevance                      Term Frequency: 1         
Term: meetings                       Term Frequency: 1         
Term: authors                        Term Frequency: 1         
Term: algorithms                     Term Frequency: 1         
Term: respectively                   Term Frequency: 1         
Term: top                            Term Frequency: 1         
Term: particularly                   Term Frequency: 1         
Term: curated                        Term Frequency: 1         
Term: learners                       Term Frequency: 1         
Term: 2.8                            Term Frequency: 1         
Term: 302106897905                   Term Frequency: 1         
Term: members                        Term Frequency: 1         
Term: new                            Term Frequency: 1         
Term: msicilia                       Term Frequency: 1         
Term: already                        Term Frequency: 1         
Term: touch                          Term Frequency: 1         
Term: basis                          Term Frequency: 1         
Term: ceremony                       Term Frequency: 1         
Term: improve                        Term Frequency: 1         
Term: running                        Term Frequency: 1         
Term: represents                     Term Frequency: 1         
Term: working                        Term Frequency: 1         
Term: floor                          Term Frequency: 1         
Term: specific                       Term Frequency: 1         
Term: any                            Term Frequency: 1         
Term: deployments                    Term Frequency: 1         
Term: application                    Term Frequency: 1         
Term: directing                      Term Frequency: 1         
Term: revolve                        Term Frequency: 1         
Term: walk                           Term Frequency: 1         
Term: demonstrations                 Term Frequency: 1         
Term: discussing                     Term Frequency: 1         
Term: using                          Term Frequency: 1         
Term: must                           Term Frequency: 1         
Term: followups                      Term Frequency: 1         
Term: students                       Term Frequency: 1         
Term: giving                         Term Frequency: 1         
Term: two                            Term Frequency: 1         
Term: permitted                      Term Frequency: 1         
Term: 34918856640                    Term Frequency: 1         
Term: creation                       Term Frequency: 1         
Term: services                       Term Frequency: 1         
Term: plenary                        Term Frequency: 1         
Term: medical                        Term Frequency: 1         
Term: consortium                     Term Frequency: 1         
Term: run                            Term Frequency: 1         
Term: actual                         Term Frequency: 1         
Term: last                           Term Frequency: 1         
Term: sharing                        Term Frequency: 1         
Term: expressions                    Term Frequency: 1         
Term: 285                            Term Frequency: 1         
Term: 286                            Term Frequency: 1         
Term: page                           Term Frequency: 1         
Term: updated                        Term Frequency: 1         
Term: next                           Term Frequency: 1         
Term: submit                         Term Frequency: 1         
Term: doctoral                       Term Frequency: 1         
Term: webscience.org                 Term Frequency: 1         
Term: breaks                         Term Frequency: 1         
Term: start                          Term Frequency: 1         
Term: infrastructure                 Term Frequency: 1         
