Term: analytics                      Term Frequency: 85        
Term: learning                       Term Frequency: 67        
Term: data                           Term Frequency: 53        
Term: research                       Term Frequency: 37        
Term: researchers                    Term Frequency: 36        
Term: from                           Term Frequency: 32        
Term: 2012                           Term Frequency: 28        
Term: education                      Term Frequency: 27        
Term: tools                          Term Frequency: 27        
Term: techniques                     Term Frequency: 24        
Term: http                           Term Frequency: 23        
Term: practitioners                  Term Frequency: 23        
Term: knowledge                      Term Frequency: 20        
Term: models                         Term Frequency: 19        
Term: analysis                       Term Frequency: 19        
Term: learner                        Term Frequency: 19        
Term: systems                        Term Frequency: 17        
Term: development                    Term Frequency: 17        
Term: available                      Term Frequency: 17        
Term: accessed                       Term Frequency: 16        
Term: new                            Term Frequency: 15        
Term: can                            Term Frequency: 15        
Term: 15                             Term Frequency: 14        
Term: fields                         Term Frequency: 14        
Term: social                         Term Frequency: 14        
Term: learners                       Term Frequency: 13        
Term: university                     Term Frequency: 12        
Term: activity                       Term Frequency: 12        
Term: vendors                        Term Frequency: 12        
Term: technical                      Term Frequency: 11        
Term: practice                       Term Frequency: 11        
Term: educational                    Term Frequency: 11        
Term: other                          Term Frequency: 11        
Term: through                        Term Frequency: 11        
Term: have                           Term Frequency: 10        
Term: impact                         Term Frequency: 10        
Term: 2011                           Term Frequency: 10        
Term: system                         Term Frequency: 10        
Term: 1                              Term Frequency: 9         
Term: use                            Term Frequency: 9         
Term: content                        Term Frequency: 9         
Term: conference                     Term Frequency: 9         
Term: educators                      Term Frequency: 9         
Term: how                            Term Frequency: 9         
Term: need                           Term Frequency: 8         
Term: international                  Term Frequency: 8         
Term: discourse                      Term Frequency: 8         
Term: 3                              Term Frequency: 7         
Term: findings                       Term Frequency: 7         
Term: each                           Term Frequency: 7         
Term: develop                        Term Frequency: 7         
Term: teaching                       Term Frequency: 7         
Term: ethics                         Term Frequency: 7         
Term: vendor                         Term Frequency: 7         
Term: recommender                    Term Frequency: 7         
Term: has                            Term Frequency: 7         
Term: early                          Term Frequency: 7         
Term: between                        Term Frequency: 7         
Term: 2                              Term Frequency: 6         
Term: 4                              Term Frequency: 6         
Term: d                              Term Frequency: 6         
Term: state                          Term Frequency: 6         
Term: semantic                       Term Frequency: 6         
Term: 12                             Term Frequency: 6         
Term: open                           Term Frequency: 6         
Term: end                            Term Frequency: 6         
Term: do                             Term Frequency: 6         
Term: universities                   Term Frequency: 6         
Term: existing                       Term Frequency: 6         
Term: serve                          Term Frequency: 6         
Term: based                          Term Frequency: 6         
Term: algorithms                     Term Frequency: 6         
Term: more                           Term Frequency: 6         
Term: important                      Term Frequency: 6         
Term: corporate                      Term Frequency: 6         
Term: role                           Term Frequency: 5         
Term: society                        Term Frequency: 5         
Term: required                       Term Frequency: 5         
Term: computer                       Term Frequency: 5         
Term: being                          Term Frequency: 5         
Term: field                          Term Frequency: 5         
Term: about                          Term Frequency: 5         
Term: 1st                            Term Frequency: 5         
Term: work                           Term Frequency: 5         
Term: mining                         Term Frequency: 5         
Term: community                      Term Frequency: 5         
Term: practitioner                   Term Frequency: 5         
Term: pages                          Term Frequency: 5         
Term: developing                     Term Frequency: 5         
Term: sciences                       Term Frequency: 5         
Term: what                           Term Frequency: 5         
Term: risk                           Term Frequency: 5         
Term: when                           Term Frequency: 5         
Term: web                            Term Frequency: 5         
Term: dialogue                       Term Frequency: 5         
Term: user                           Term Frequency: 5         
Term: gap                            Term Frequency: 5         
Term: numerous                       Term Frequency: 5         
Term: sets                           Term Frequency: 5         
Term: time                           Term Frequency: 5         
Term: potential                      Term Frequency: 5         
Term: been                           Term Frequency: 5         
Term: 2010                           Term Frequency: 5         
Term: online                         Term Frequency: 5         
Term: programs                       Term Frequency: 5         
Term: vital                          Term Frequency: 5         
Term: first                          Term Frequency: 5         
Term: resources                      Term Frequency: 5         
Term: scope                          Term Frequency: 5         
Term: distributed                    Term Frequency: 5         
Term: those                          Term Frequency: 5         
Term: significant                    Term Frequency: 5         
Term: target                         Term Frequency: 5         
Term: complex                        Term Frequency: 5         
Term: developed                      Term Frequency: 5         
Term: higher                         Term Frequency: 5         
Term: review                         Term Frequency: 5         
Term: 5                              Term Frequency: 4         
Term: 6                              Term Frequency: 4         
Term: example                        Term Frequency: 4         
Term: result                         Term Frequency: 4         
Term: well                           Term Frequency: 4         
Term: order                          Term Frequency: 4         
Term: activities                     Term Frequency: 4         
Term: concept                        Term Frequency: 4         
Term: experience                     Term Frequency: 4         
Term: profile                        Term Frequency: 4         
Term: domain                         Term Frequency: 4         
Term: term                           Term Frequency: 4         
Term: papers                         Term Frequency: 4         
Term: considerations                 Term Frequency: 4         
Term: doi                            Term Frequency: 4         
Term: may                            Term Frequency: 4         
Term: 11                             Term Frequency: 4         
Term: 19                             Term Frequency: 4         
Term: long                           Term Frequency: 4         
Term: many                           Term Frequency: 4         
Term: needed                         Term Frequency: 4         
Term: base                           Term Frequency: 4         
Term: personalized                   Term Frequency: 4         
Term: include                        Term Frequency: 4         
Term: 10.1145                        Term Frequency: 4         
Term: often                          Term Frequency: 4         
Term: users                          Term Frequency: 4         
Term: around                         Term Frequency: 4         
Term: companies                      Term Frequency: 4         
Term: improving                      Term Frequency: 4         
Term: few                            Term Frequency: 4         
Term: integrated                     Term Frequency: 4         
Term: approaches                     Term Frequency: 4         
Term: needs                          Term Frequency: 4         
Term: self                           Term Frequency: 4         
Term: like                           Term Frequency: 4         
Term: profiles                       Term Frequency: 4         
Term: challenges                     Term Frequency: 4         
Term: i.e                            Term Frequency: 4         
Term: pdf                            Term Frequency: 4         
Term: personalization                Term Frequency: 4         
Term: process                        Term Frequency: 4         
Term: transition                     Term Frequency: 4         
Term: publications                   Term Frequency: 4         
Term: network                        Term Frequency: 4         
Term: building                       Term Frequency: 4         
Term: holistic                       Term Frequency: 4         
Term: future                         Term Frequency: 4         
Term: all                            Term Frequency: 4         
Term: real                           Term Frequency: 4         
Term: openness                       Term Frequency: 4         
Term: connections                    Term Frequency: 4         
Term: both                           Term Frequency: 4         
Term: increase                       Term Frequency: 4         
Term: facing                         Term Frequency: 4         
Term: practices                      Term Frequency: 4         
Term: related                        Term Frequency: 4         
Term: administrators                 Term Frequency: 4         
Term: 8                              Term Frequency: 3         
Term: 9                              Term Frequency: 3         
Term: b                              Term Frequency: 3         
Term: address                        Term Frequency: 3         
Term: c                              Term Frequency: 3         
Term: information                    Term Frequency: 3         
Term: multiple                       Term Frequency: 3         
Term: improve                        Term Frequency: 3         
Term: networks                       Term Frequency: 3         
Term: full                           Term Frequency: 3         
Term: finance                        Term Frequency: 3         
Term: provide                        Term Frequency: 3         
Term: requires                       Term Frequency: 3         
Term: areas                          Term Frequency: 3         
Term: business                       Term Frequency: 3         
Term: concerns                       Term Frequency: 3         
Term: make                           Term Frequency: 3         
Term: rapidly                        Term Frequency: 3         
Term: 16                             Term Frequency: 3         
Term: 17                             Term Frequency: 3         
Term: 18                             Term Frequency: 3         
Term: 23                             Term Frequency: 3         
Term: 27                             Term Frequency: 3         
Term: 29                             Term Frequency: 3         
Term: collaboration                  Term Frequency: 3         
Term: interest                       Term Frequency: 3         
Term: still                          Term Frequency: 3         
Term: theory                         Term Frequency: 3         
Term: instead                        Term Frequency: 3         
Term: science                        Term Frequency: 3         
Term: driven                         Term Frequency: 3         
Term: share                          Term Frequency: 3         
Term: deployment                     Term Frequency: 3         
Term: domains                        Term Frequency: 3         
Term: specific                       Term Frequency: 3         
Term: sharing                        Term Frequency: 3         
Term: presented                      Term Frequency: 3         
Term: who                            Term Frequency: 3         
Term: various                        Term Frequency: 3         
Term: predictive                     Term Frequency: 3         
Term: warning                        Term Frequency: 3         
Term: context                        Term Frequency: 3         
Term: student                        Term Frequency: 3         
Term: intelligent                    Term Frequency: 3         
Term: adaptation                     Term Frequency: 3         
Term: decision                       Term Frequency: 3         
Term: awareness                      Term Frequency: 3         
Term: software                       Term Frequency: 3         
Term: capacity                       Term Frequency: 3         
Term: course                         Term Frequency: 3         
Term: factors                        Term Frequency: 3         
Term: labs                           Term Frequency: 3         
Term: psychology                     Term Frequency: 3         
Term: focus                          Term Frequency: 3         
Term: intelligence                   Term Frequency: 3         
Term: even                           Term Frequency: 3         
Term: integration                    Term Frequency: 3         
Term: pedagogical                    Term Frequency: 3         
Term: must                           Term Frequency: 3         
Term: emerging                       Term Frequency: 3         
Term: emphasizes                     Term Frequency: 3         
Term: 2009                           Term Frequency: 3         
Term: positive                       Term Frequency: 3         
Term: difficult                      Term Frequency: 3         
Term: corporations                   Term Frequency: 3         
Term: stakeholders                   Term Frequency: 3         
Term: people                         Term Frequency: 3         
Term: datamining                     Term Frequency: 3         
Term: insights                       Term Frequency: 3         
Term: currently                      Term Frequency: 3         
Term: aspect                         Term Frequency: 3         
Term: curriculum                     Term Frequency: 3         
Term: copies                         Term Frequency: 3         
Term: already                        Term Frequency: 3         
Term: using                          Term Frequency: 3         
Term: increased                      Term Frequency: 3         
Term: guidance                       Term Frequency: 3         
Term: modeling                       Term Frequency: 3         
Term: generation                     Term Frequency: 3         
Term: however                        Term Frequency: 3         
Term: trajectory                     Term Frequency: 3         
Term: big                            Term Frequency: 3         
Term: large                          Term Frequency: 3         
Term: world                          Term Frequency: 3         
Term: different                      Term Frequency: 3         
Term: technology                     Term Frequency: 3         
Term: would                          Term Frequency: 2         
Term: require                        Term Frequency: 2         
Term: size                           Term Frequency: 2         
Term: 7                              Term Frequency: 2         
Term: accessible                     Term Frequency: 2         
Term: policy                         Term Frequency: 2         
Term: making                         Term Frequency: 2         
Term: provided                       Term Frequency: 2         
Term: better                         Term Frequency: 2         
Term: schools                        Term Frequency: 2         
Term: transparency                   Term Frequency: 2         
Term: too                            Term Frequency: 2         
Term: lab                            Term Frequency: 2         
Term: academic                       Term Frequency: 2         
Term: including                      Term Frequency: 2         
Term: institutions                   Term Frequency: 2         
Term: times                          Term Frequency: 2         
Term: optimizing                     Term Frequency: 2         
Term: two                            Term Frequency: 2         
Term: services                       Term Frequency: 2         
Term: reflection                     Term Frequency: 2         
Term: page                           Term Frequency: 2         
Term: part                           Term Frequency: 2         
Term: introduction                   Term Frequency: 2         
Term: www.educause.edu               Term Frequency: 2         
Term: interaction                    Term Frequency: 2         
Term: easy                           Term Frequency: 2         
Term: adaptive                       Term Frequency: 2         
Term: adoption                       Term Frequency: 2         
Term: involve                        Term Frequency: 2         
Term: final                          Term Frequency: 2         
Term: importance                     Term Frequency: 2         
Term: human                          Term Frequency: 2         
Term: permission                     Term Frequency: 2         
Term: made                           Term Frequency: 2         
Term: government                     Term Frequency: 2         
Term: includes                       Term Frequency: 2         
Term: designers                      Term Frequency: 2         
Term: inform                         Term Frequency: 2         
Term: 03                             Term Frequency: 2         
Term: 04                             Term Frequency: 2         
Term: 10                             Term Frequency: 2         
Term: 13                             Term Frequency: 2         
Term: 14                             Term Frequency: 2         
Term: 20                             Term Frequency: 2         
Term: 21                             Term Frequency: 2         
Term: 22                             Term Frequency: 2         
Term: 24                             Term Frequency: 2         
Term: 25                             Term Frequency: 2         
Term: 26                             Term Frequency: 2         
Term: 28                             Term Frequency: 2         
Term: industry                       Term Frequency: 2         
Term: 30                             Term Frequency: 2         
Term: rapid                          Term Frequency: 2         
Term: allow                          Term Frequency: 2         
Term: 87                             Term Frequency: 2         
Term: across                         Term Frequency: 2         
Term: tutoring                       Term Frequency: 2         
Term: understanding                  Term Frequency: 2         
Term: near                           Term Frequency: 2         
Term: measurement                    Term Frequency: 2         
Term: computers                      Term Frequency: 2         
Term: generated                      Term Frequency: 2         
Term: occurs                         Term Frequency: 2         
Term: similar                        Term Frequency: 2         
Term: bridging                       Term Frequency: 2         
Term: networked                      Term Frequency: 2         
Term: centric                        Term Frequency: 2         
Term: sensemaking                    Term Frequency: 2         
Term: next                           Term Frequency: 2         
Term: conclusion                     Term Frequency: 2         
Term: issues                         Term Frequency: 2         
Term: discoveries                    Term Frequency: 2         
Term: levels                         Term Frequency: 2         
Term: statistics                     Term Frequency: 2         
Term: fee                            Term Frequency: 2         
Term: constantly                     Term Frequency: 2         
Term: silos                          Term Frequency: 2         
Term: attention                      Term Frequency: 2         
Term: bring                          Term Frequency: 2         
Term: innovation                     Term Frequency: 2         
