Term: learning                       Term Frequency: 37        
Term: data                           Term Frequency: 29        
Term: analytics                      Term Frequency: 22        
Term: al                             Term Frequency: 17        
Term: et                             Term Frequency: 17        
Term: 2015                           Term Frequency: 16        
Term: open                           Term Frequency: 15        
Term: research                       Term Frequency: 13        
Term: 2014                           Term Frequency: 12        
Term: design                         Term Frequency: 11        
Term: workshop                       Term Frequency: 11        
Term: 2016                           Term Frequency: 9         
Term: 1                              Term Frequency: 8         
Term: use                            Term Frequency: 8         
Term: international                  Term Frequency: 8         
Term: from                           Term Frequency: 8         
Term: offered                        Term Frequency: 8         
Term: development                    Term Frequency: 8         
Term: has                            Term Frequency: 7         
Term: work                           Term Frequency: 7         
Term: what                           Term Frequency: 7         
Term: 2                              Term Frequency: 6         
Term: opportunities                  Term Frequency: 6         
Term: institutions                   Term Frequency: 6         
Term: online                         Term Frequency: 6         
Term: platform                       Term Frequency: 6         
Term: http                           Term Frequency: 6         
Term: learners                       Term Frequency: 6         
Term: dashboard                      Term Frequency: 6         
Term: conference                     Term Frequency: 6         
Term: 5                              Term Frequency: 5         
Term: have                           Term Frequency: 5         
Term: platforms                      Term Frequency: 5         
Term: two                            Term Frequency: 5         
Term: provide                        Term Frequency: 5         
Term: experience                     Term Frequency: 5         
Term: opportunity                    Term Frequency: 5         
Term: 17                             Term Frequency: 5         
Term: education                      Term Frequency: 5         
Term: share                          Term Frequency: 5         
Term: new                            Term Frequency: 5         
Term: courses                        Term Frequency: 5         
Term: support                        Term Frequency: 5         
Term: s                              Term Frequency: 4         
Term: develop                        Term Frequency: 4         
Term: impact                         Term Frequency: 4         
Term: 12                             Term Frequency: 4         
Term: 15                             Term Frequency: 4         
Term: focusing                       Term Frequency: 4         
Term: systems                        Term Frequency: 4         
Term: different                      Term Frequency: 4         
Term: participants                   Term Frequency: 4         
Term: tools                          Term Frequency: 4         
Term: massive                        Term Frequency: 4         
Term: scale                          Term Frequency: 4         
Term: contributions                  Term Frequency: 3         
Term: 3                              Term Frequency: 3         
Term: 4                              Term Frequency: 3         
Term: 6                              Term Frequency: 3         
Term: educators                      Term Frequency: 3         
Term: information                    Term Frequency: 3         
Term: uploads                        Term Frequency: 3         
Term: done                           Term Frequency: 3         
Term: been                           Term Frequency: 3         
Term: how                            Term Frequency: 3         
Term: urrutia                        Term Frequency: 3         
Term: researchers                    Term Frequency: 3         
Term: able                           Term Frequency: 3         
Term: scientists                     Term Frequency: 3         
Term: present                        Term Frequency: 3         
Term: problems                       Term Frequency: 3         
Term: make                           Term Frequency: 3         
Term: inform                         Term Frequency: 3         
Term: 10                             Term Frequency: 3         
Term: 11                             Term Frequency: 3         
Term: 13                             Term Frequency: 3         
Term: 14                             Term Frequency: 3         
Term: 16                             Term Frequency: 3         
Term: 20                             Term Frequency: 3         
Term: ascilite                       Term Frequency: 3         
Term: educational                    Term Frequency: 3         
Term: technical                      Term Frequency: 3         
Term: number                         Term Frequency: 3         
Term: distributed                    Term Frequency: 3         
Term: copies                         Term Frequency: 3         
Term: all                            Term Frequency: 3         
Term: issues                         Term Frequency: 3         
Term: explore                        Term Frequency: 3         
Term: more                           Term Frequency: 3         
Term: also                           Term Frequency: 3         
Term: content                        Term Frequency: 3         
Term: wp                             Term Frequency: 3         
Term: review                         Term Frequency: 3         
Term: limited                        Term Frequency: 3         
Term: analyse                        Term Frequency: 2         
Term: without                        Term Frequency: 2         
Term: outcomes                       Term Frequency: 2         
Term: i.e                            Term Frequency: 2         
Term: analysis                       Term Frequency: 2         
Term: 7                              Term Frequency: 2         
Term: 8                              Term Frequency: 2         
Term: 9                              Term Frequency: 2         
Term: connect                        Term Frequency: 2         
Term: discuss                        Term Frequency: 2         
Term: others                         Term Frequency: 2         
Term: area                           Term Frequency: 2         
Term: provides                       Term Frequency: 2         
Term: well                           Term Frequency: 2         
Term: understand                     Term Frequency: 2         
Term: findings                       Term Frequency: 2         
Term: pedagogical                    Term Frequency: 2         
Term: improve                        Term Frequency: 2         
Term: interested                     Term Frequency: 2         
Term: discussion                     Term Frequency: 2         
Term: offering                       Term Frequency: 2         
Term: availability                   Term Frequency: 2         
Term: demonstrating                  Term Frequency: 2         
Term: short                          Term Frequency: 2         
Term: methods                        Term Frequency: 2         
Term: lot                            Term Frequency: 2         
Term: potential                      Term Frequency: 2         
Term: introduction                   Term Frequency: 2         
Term: third                          Term Frequency: 2         
Term: some                           Term Frequency: 2         
Term: 2010                           Term Frequency: 2         
Term: papers                         Term Frequency: 2         
Term: owner                          Term Frequency: 2         
Term: 2013                           Term Frequency: 2         
Term: experiences                    Term Frequency: 2         
Term: directions                     Term Frequency: 2         
Term: constraints                    Term Frequency: 2         
Term: 18                             Term Frequency: 2         
Term: 19                             Term Frequency: 2         
