Term: course                         Term Frequency: 93        
Term: use                            Term Frequency: 74        
Term: resource                       Term Frequency: 71        
Term: students                       Term Frequency: 58        
Term: student                        Term Frequency: 53        
Term: resources                      Term Frequency: 48        
Term: we                             Term Frequency: 45        
Term: grades                         Term Frequency: 39        
Term: data                           Term Frequency: 33        
Term: semesters                      Term Frequency: 25        
Term: 100                            Term Frequency: 25        
Term: information                    Term Frequency: 24        
Term: between                        Term Frequency: 24        
Term: relationship                   Term Frequency: 22        
Term: all                            Term Frequency: 21        
Term: across                         Term Frequency: 20        
Term: from                           Term Frequency: 20        
Term: our                            Term Frequency: 19        
Term: semester                       Term Frequency: 18        
Term: grade                          Term Frequency: 18        
Term: courses                        Term Frequency: 18        
Term: advisors                       Term Frequency: 17        
Term: lecture                        Term Frequency: 17        
Term: results                        Term Frequency: 17        
Term: 1                              Term Frequency: 16        
Term: p                              Term Frequency: 16        
Term: category                       Term Frequency: 16        
Term: receiving                      Term Frequency: 15        
Term: categories                     Term Frequency: 15        
Term: systems                        Term Frequency: 15        
Term: learning                       Term Frequency: 15        
Term: more                           Term Frequency: 13        
Term: model                          Term Frequency: 13        
Term: versus                         Term Frequency: 12        
Term: each                           Term Frequency: 12        
Term: final                          Term Frequency: 12        
Term: support                        Term Frequency: 12        
Term: how                            Term Frequency: 12        
Term: percentile                     Term Frequency: 12        
Term: academic                       Term Frequency: 11        
Term: about                          Term Frequency: 11        
Term: research                       Term Frequency: 11        
Term: likelihood                     Term Frequency: 11        
Term: 2                              Term Frequency: 10        
Term: need                           Term Frequency: 10        
Term: one                            Term Frequency: 10        
Term: time                           Term Frequency: 10        
Term: first                          Term Frequency: 10        
Term: using                          Term Frequency: 10        
Term: assignments                    Term Frequency: 10        
Term: related                        Term Frequency: 10        
Term: student’s                      Term Frequency: 9         
Term: estimate                       Term Frequency: 9         
Term: receive                        Term Frequency: 9         
Term: within                         Term Frequency: 9         
Term: performance                    Term Frequency: 9         
Term: number                         Term Frequency: 9         
Term: system                         Term Frequency: 9         
Term: also                           Term Frequency: 9         
Term: over                           Term Frequency: 9         
Term: would                          Term Frequency: 8         
Term: 4                              Term Frequency: 8         
Term: analytics                      Term Frequency: 8         
Term: multiple                       Term Frequency: 8         
Term: were                           Term Frequency: 8         
Term: early                          Term Frequency: 8         
Term: 2011                           Term Frequency: 8         
Term: based                          Term Frequency: 8         
Term: same                           Term Frequency: 7         
Term: winter                         Term Frequency: 7         
Term: used                           Term Frequency: 7         
Term: warning                        Term Frequency: 7         
Term: which                          Term Frequency: 7         
Term: than                           Term Frequency: 7         
Term: forthcoming                    Term Frequency: 7         
Term: general                        Term Frequency: 7         
Term: mean                           Term Frequency: 7         
Term: regression                     Term Frequency: 7         
Term: could                          Term Frequency: 7         
Term: other                          Term Frequency: 7         
Term: site                           Term Frequency: 7         
Term: 3                              Term Frequency: 6         
Term: 5                              Term Frequency: 6         
Term: 6                              Term Frequency: 6         
Term: including                      Term Frequency: 6         
Term: university                     Term Frequency: 6         
Term: times                          Term Frequency: 6         
Term: fixed                          Term Frequency: 6         
Term: receives                       Term Frequency: 6         
Term: work                           Term Frequency: 6         
Term: education                      Term Frequency: 6         
Term: incorporate                    Term Frequency: 6         
Term: logistic                       Term Frequency: 6         
Term: effects                        Term Frequency: 6         
Term: al                             Term Frequency: 6         
Term: et                             Term Frequency: 6         
Term: likely                         Term Frequency: 6         
Term: vs                             Term Frequency: 6         
Term: multinomial                    Term Frequency: 6         
Term: given                          Term Frequency: 6         
Term: through                        Term Frequency: 6         
Term: estimates                      Term Frequency: 6         
Term: hits                           Term Frequency: 6         
Term: ten                            Term Frequency: 5         
Term: provides                       Term Frequency: 5         
Term: have                           Term Frequency: 5         
Term: statistically                  Term Frequency: 5         
Term: may                            Term Frequency: 5         
Term: make                           Term Frequency: 5         
Term: 10                             Term Frequency: 5         
Term: 0.001                          Term Frequency: 5         
Term: exams                          Term Frequency: 5         
Term: while                          Term Frequency: 5         
Term: development                    Term Frequency: 5         
Term: factors                        Term Frequency: 5         
Term: analysis                       Term Frequency: 5         
Term: success                        Term Frequency: 5         
Term: design                         Term Frequency: 5         
Term: instructors                    Term Frequency: 5         
Term: enrolled                       Term Frequency: 5         
Term: 2012                           Term Frequency: 5         
Term: fall                           Term Frequency: 5         
Term: paper                          Term Frequency: 5         
Term: future                         Term Frequency: 5         
Term: any                            Term Frequency: 5         
Term: those                          Term Frequency: 5         
