Term: features                       Term Frequency: 61        
Term: student                        Term Frequency: 49        
Term: class                          Term Frequency: 42        
Term: affect                         Term Frequency: 38        
Term: detectors                      Term Frequency: 35        
Term: were                           Term Frequency: 34        
Term: wrong                          Term Frequency: 30        
Term: common                         Term Frequency: 28        
Term: data                           Term Frequency: 26        
Term: number                         Term Frequency: 26        
Term: we                             Term Frequency: 25        
Term: skill                          Term Frequency: 23        
Term: students                       Term Frequency: 21        
Term: first                          Term Frequency: 21        
Term: answer                         Term Frequency: 20        
Term: average                        Term Frequency: 19        
Term: missing                        Term Frequency: 19        
Term: answers                        Term Frequency: 17        
Term: dataset                        Term Frequency: 16        
Term: detector                       Term Frequency: 16        
Term: could                          Term Frequency: 16        
Term: performance                    Term Frequency: 16        
Term: boredom                        Term Frequency: 15        
Term: learning                       Term Frequency: 15        
Term: 3                              Term Frequency: 14        
Term: concentration                  Term Frequency: 14        
Term: 00                             Term Frequency: 14        
Term: kappa                          Term Frequency: 14        
Term: feature                        Term Frequency: 14        
Term: al                             Term Frequency: 13        
Term: et                             Term Frequency: 13        
Term: four                           Term Frequency: 13        
Term: 1                              Term Frequency: 12        
Term: two                            Term Frequency: 12        
Term: 20                             Term Frequency: 12        
Term: used                           Term Frequency: 12        
Term: how                            Term Frequency: 12        
Term: problems                       Term Frequency: 12        
Term: educational                    Term Frequency: 12        
Term: all                            Term Frequency: 12        
Term: original                       Term Frequency: 12        
Term: responses                      Term Frequency: 12        
Term: skills                         Term Frequency: 11        
Term: can                            Term Frequency: 11        
Term: 7                              Term Frequency: 10        
Term: s                              Term Frequency: 10        
Term: new                            Term Frequency: 10        
Term: systems                        Term Frequency: 10        
Term: which                          Term Frequency: 10        
Term: engaged                        Term Frequency: 10        
Term: during                         Term Frequency: 10        
Term: from                           Term Frequency: 10        
Term: more                           Term Frequency: 10        
Term: table                          Term Frequency: 10        
Term: improve                        Term Frequency: 9         
Term: attempt                        Term Frequency: 9         
Term: models                         Term Frequency: 9         
Term: effect                         Term Frequency: 9         
Term: frustration                    Term Frequency: 9         
Term: so                             Term Frequency: 9         
Term: help                           Term Frequency: 9         
Term: school                         Term Frequency: 9         
Term: tags                           Term Frequency: 9         
Term: confusion                      Term Frequency: 9         
Term: selected                       Term Frequency: 9         
Term: showed                         Term Frequency: 9         
Term: results                        Term Frequency: 9         
Term: seconds                        Term Frequency: 9         
Term: many                           Term Frequency: 8         
Term: far                            Term Frequency: 8         
Term: am                             Term Frequency: 8         
Term: our                            Term Frequency: 8         
Term: has                            Term Frequency: 8         
Term: questions                      Term Frequency: 8         
Term: 2013                           Term Frequency: 8         
Term: improvement                    Term Frequency: 8         
Term: sensor                         Term Frequency: 8         
Term: using                          Term Frequency: 8         
Term: detection                      Term Frequency: 8         
Term: 2                              Term Frequency: 7         
Term: better                         Term Frequency: 7         
Term: hours                          Term Frequency: 7         
Term: pm                             Term Frequency: 7         
Term: one                            Term Frequency: 7         
Term: problem                        Term Frequency: 7         
Term: whether                        Term Frequency: 7         
Term: small                          Term Frequency: 7         
Term: free                           Term Frequency: 7         
Term: answered                       Term Frequency: 7         
Term: system                         Term Frequency: 7         
Term: correctness                    Term Frequency: 7         
Term: affective                      Term Frequency: 7         
Term: related                        Term Frequency: 7         
Term: sum                            Term Frequency: 7         
Term: between                        Term Frequency: 7         
Term: 4                              Term Frequency: 6         
Term: 5                              Term Frequency: 6         
Term: result                         Term Frequency: 6         
Term: information                    Term Frequency: 6         
Term: state                          Term Frequency: 6         
Term: field                          Term Frequency: 6         
Term: mining                         Term Frequency: 6         
Term: previous                       Term Frequency: 6         
Term: out                            Term Frequency: 6         
Term: values                         Term Frequency: 6         
Term: 2011                           Term Frequency: 6         
Term: hints                          Term Frequency: 6         
Term: scaffolding                    Term Frequency: 6         
Term: most                           Term Frequency: 6         
Term: improved                       Term Frequency: 6         
Term: model                          Term Frequency: 6         
Term: same                           Term Frequency: 5         
Term: after                          Term Frequency: 5         
Term: question                       Term Frequency: 5         
Term: including                      Term Frequency: 5         
Term: each                           Term Frequency: 5         
Term: clip                           Term Frequency: 5         
Term: added                          Term Frequency: 5         
Term: states                         Term Frequency: 5         
Term: selection                      Term Frequency: 5         
Term: describe                       Term Frequency: 5         
Term: second                         Term Frequency: 5         
Term: than                           Term Frequency: 5         
Term: seen                           Term Frequency: 5         
Term: method                         Term Frequency: 5         
Term: minimal                        Term Frequency: 5         
Term: based                          Term Frequency: 5         
Term: any                            Term Frequency: 5         
Term: percentage                     Term Frequency: 5         
Term: also                           Term Frequency: 5         
Term: d                              Term Frequency: 4         
Term: analytics                      Term Frequency: 4         
Term: interaction                    Term Frequency: 4         
Term: adding                         Term Frequency: 4         
Term: final                          Term Frequency: 4         
Term: classification                 Term Frequency: 4         
Term: about                          Term Frequency: 4         
Term: work                           Term Frequency: 4         
Term: understanding                  Term Frequency: 4         
Term: achieved                       Term Frequency: 4         
Term: classes                        Term Frequency: 4         
Term: give                           Term Frequency: 4         
Term: certain                        Term Frequency: 4         
Term: rank                           Term Frequency: 4         
Term: intelligent                    Term Frequency: 4         
Term: type                           Term Frequency: 4         
Term: approach                       Term Frequency: 4         
Term: tutor                          Term Frequency: 4         
Term: found                          Term Frequency: 4         
Term: time                           Term Frequency: 4         
Term: correctly                      Term Frequency: 4         
Term: since                          Term Frequency: 4         
Term: assistance                     Term Frequency: 4         
Term: paper                          Term Frequency: 4         
Term: college                        Term Frequency: 4         
Term: points                         Term Frequency: 4         
Term: important                      Term Frequency: 4         
Term: set                            Term Frequency: 4         
Term: incorrect                      Term Frequency: 4         
Term: level                          Term Frequency: 4         
Term: total                          Term Frequency: 4         
Term: chance                         Term Frequency: 4         
Term: only                           Term Frequency: 4         
Term: example                        Term Frequency: 3         
Term: 0.625                          Term Frequency: 3         
Term: e.g                            Term Frequency: 3         
Term: 232                            Term Frequency: 3         
Term: three                          Term Frequency: 3         
Term: shown                          Term Frequency: 3         
Term: third                          Term Frequency: 3         
Term: maximum                        Term Frequency: 3         
Term: training                       Term Frequency: 3         
Term: made                           Term Frequency: 3         
Term: use                            Term Frequency: 3         
Term: main                           Term Frequency: 3         
Term: logs                           Term Frequency: 3         
Term: 10                             Term Frequency: 3         
Term: attempts                       Term Frequency: 3         
Term: tutoring                       Term Frequency: 3         
Term: year                           Term Frequency: 3         
Term: version                        Term Frequency: 3         
Term: tests                          Term Frequency: 3         
Term: useful                         Term Frequency: 3         
Term: indicates                      Term Frequency: 3         
Term: specific                       Term Frequency: 3         
Term: automatically                  Term Frequency: 3         
Term: might                          Term Frequency: 3         
Term: when                           Term Frequency: 3         
Term: presented                      Term Frequency: 3         
Term: designed                       Term Frequency: 3         
Term: do                             Term Frequency: 3         
Term: 0.146                          Term Frequency: 3         
Term: likely                         Term Frequency: 3         
Term: predicting                     Term Frequency: 3         
Term: 0.151                          Term Frequency: 3         
Term: tagging                        Term Frequency: 3         
Term: get                            Term Frequency: 3         
Term: groups                         Term Frequency: 3         
Term: without                        Term Frequency: 3         
Term: much                           Term Frequency: 3         
Term: correct                        Term Frequency: 3         
Term: actions                        Term Frequency: 3         
Term: group                          Term Frequency: 3         
Term: been                           Term Frequency: 3         
Term: evaluation                     Term Frequency: 3         
Term: prior                          Term Frequency: 3         
Term: 2015                           Term Frequency: 3         
Term: 2014                           Term Frequency: 3         
Term: regression                     Term Frequency: 3         
Term: online                         Term Frequency: 3         
Term: five                           Term Frequency: 3         
Term: requests                       Term Frequency: 3         
Term: accuracy                       Term Frequency: 3         
Term: percentile                     Term Frequency: 3         
Term: helped                         Term Frequency: 3         
Term: message                        Term Frequency: 3         
Term: algorithms                     Term Frequency: 3         
Term: wpi.edu                        Term Frequency: 3         
Term: copies                         Term Frequency: 3         
Term: tagged                         Term Frequency: 3         
Term: modeling                       Term Frequency: 3         
Term: described                      Term Frequency: 3         
Term: correcting                     Term Frequency: 3         
Term: amount                         Term Frequency: 3         
Term: see                            Term Frequency: 3         
Term: indicate                       Term Frequency: 3         
Term: performs                       Term Frequency: 3         
Term: developed                      Term Frequency: 3         
Term: different                      Term Frequency: 3         
Term: 01609                          Term Frequency: 3         
Term: cross                          Term Frequency: 3         
Term: 0.597                          Term Frequency: 3         
Term: observation                    Term Frequency: 3         
Term: should                         Term Frequency: 3         
Term: studied                        Term Frequency: 3         
Term: 0.662                          Term Frequency: 2         
Term: outcomes                       Term Frequency: 2         
Term: 0.659                          Term Frequency: 2         
Term: 0.654                          Term Frequency: 2         
Term: 6                              Term Frequency: 2         
Term: 8                              Term Frequency: 2         
Term: rebuilt                        Term Frequency: 2         
Term: 0.671                          Term Frequency: 2         
Term: good                           Term Frequency: 2         
Term: others                         Term Frequency: 2         
Term: multiple                       Term Frequency: 2         
Term: binary                         Term Frequency: 2         
Term: have                           Term Frequency: 2         
Term: upon                           Term Frequency: 2         
Term: less                           Term Frequency: 2         
Term: 1960                           Term Frequency: 2         
Term: 1982                           Term Frequency: 2         
Term: particular                     Term Frequency: 2         
Term: build                          Term Frequency: 2         
Term: past                           Term Frequency: 2         
Term: under                          Term Frequency: 2         
Term: 0.731                          Term Frequency: 2         
Term: permission                     Term Frequency: 2         
Term: 3.1                            Term Frequency: 2         
Term: served                         Term Frequency: 2         
Term: evaluate                       Term Frequency: 2         
Term: sites.google.com               Term Frequency: 2         
Term: make                           Term Frequency: 2         
Term: enrollment                     Term Frequency: 2         
Term: 15                             Term Frequency: 2         
Term: unique                         Term Frequency: 2         
Term: experiments                    Term Frequency: 2         
Term: 29                             Term Frequency: 2         
Term: 30                             Term Frequency: 2         
Term: middle                         Term Frequency: 2         
Term: 45                             Term Frequency: 2         
Term: look                           Term Frequency: 2         
Term: still                          Term Frequency: 2         
Term: 10.1145                        Term Frequency: 2         
Term: spent                          Term Frequency: 2         
Term: detail                         Term Frequency: 2         
Term: behavior                       Term Frequency: 2         
Term: student’s                      Term Frequency: 2         
Term: majored                        Term Frequency: 2         
Term: influenced                     Term Frequency: 2         
Term: around                         Term Frequency: 2         
Term: influences                     Term Frequency: 2         
Term: decided                        Term Frequency: 2         
Term: effectively                    Term Frequency: 2         
Term: what                           Term Frequency: 2         
Term: attempted                      Term Frequency: 2         
Term: study                          Term Frequency: 2         
Term: fee                            Term Frequency: 2         
Term: who                            Term Frequency: 2         
Term: various                        Term Frequency: 2         
Term: attention                      Term Frequency: 2         
Term: evaluated                      Term Frequency: 2         
Term: teachers                       Term Frequency: 2         
Term: easily                         Term Frequency: 2         
Term: suggests                       Term Frequency: 2         
Term: them                           Term Frequency: 2         
Term: cognitive                      Term Frequency: 2         
Term: decision                       Term Frequency: 2         
Term: analyzed                       Term Frequency: 2         
Term: know                           Term Frequency: 2         
Term: analysis                       Term Frequency: 2         
Term: sets                           Term Frequency: 2         
Term: assistmentsdata                Term Frequency: 2         
Term: novel                          Term Frequency: 2         
Term: analyses                       Term Frequency: 2         
Term: considered                     Term Frequency: 2         
Term: even                           Term Frequency: 2         
Term: 4th                            Term Frequency: 2         
Term: 0.243                          Term Frequency: 2         
Term: 0.239                          Term Frequency: 2         
Term: had                            Term Frequency: 2         
Term: given                          Term Frequency: 2         
Term: dx.doi.org                     Term Frequency: 2         
Term: her                            Term Frequency: 2         
Term: methods                        Term Frequency: 2         
Term: choice                         Term Frequency: 2         
Term: his                            Term Frequency: 2         
Term: answering                      Term Frequency: 2         
Term: potential                      Term Frequency: 2         
Term: belonged                       Term Frequency: 2         
Term: request                        Term Frequency: 2         
Term: listed                         Term Frequency: 2         
Term: 2012                           Term Frequency: 2         
Term: 2008                           Term Frequency: 2         
Term: 2006                           Term Frequency: 2         
Term: home                           Term Frequency: 2         
Term: tables                         Term Frequency: 2         
Term: validation                     Term Frequency: 2         
Term: within                         Term Frequency: 2         
Term: corrected                      Term Frequency: 2         
Term: machine                        Term Frequency: 2         
Term: steps                          Term Frequency: 2         
Term: present                        Term Frequency: 2         
Term: something                      Term Frequency: 2         
Term: permissions                    Term Frequency: 2         
Term: objects                        Term Frequency: 2         
Term: 0.417                          Term Frequency: 2         
Term: interventions                  Term Frequency: 2         
Term: trust                          Term Frequency: 2         
Term: years                          Term Frequency: 2         
Term: predict                        Term Frequency: 2         
Term: 1252297                        Term Frequency: 2         
Term: call                           Term Frequency: 2         
Term: through                        Term Frequency: 2         
Term: engagement                     Term Frequency: 2         
Term: bold                           Term Frequency: 2         
Term: learner                        Term Frequency: 2         
Term: coders                         Term Frequency: 2         
Term: buggy                          Term Frequency: 2         
Term: compared                       Term Frequency: 2         
Term: 1.0                            Term Frequency: 2         
Term: scores                         Term Frequency: 2         
Term: available                      Term Frequency: 2         
Term: generate                       Term Frequency: 2         
Term: types                          Term Frequency: 2         
Term: site                           Term Frequency: 2         
Term: potentially                    Term Frequency: 2         
Term: response                       Term Frequency: 2         
Term: would                          Term Frequency: 1         
Term: 0                              Term Frequency: 1         
Term: 9                              Term Frequency: 1         
Term: role                           Term Frequency: 1         
Term: thank                          Term Frequency: 1         
Term: 0.627                          Term Frequency: 1         
Term: predicted                      Term Frequency: 1         
Term: applied                        Term Frequency: 1         
Term: provided                       Term Frequency: 1         
Term: provides                       Term Frequency: 1         
Term: hard                           Term Frequency: 1         
Term: tutorial                       Term Frequency: 1         
Term: citation                       Term Frequency: 1         
Term: room                           Term Frequency: 1         
Term: well                           Term Frequency: 1         
Term: gained                         Term Frequency: 1         
Term: schools                        Term Frequency: 1         
Term: respectively                   Term Frequency: 1         
Term: 2.1                            Term Frequency: 1         
Term: 2.2                            Term Frequency: 1         
Term: 2.4                            Term Frequency: 1         
Term: lab                            Term Frequency: 1         
Term: nested                         Term Frequency: 1         
Term: biggest                        Term Frequency: 1         
Term: 2723576.2723618                Term Frequency: 1         
Term: effective                      Term Frequency: 1         
Term: times                          Term Frequency: 1         
