Term: posts                          Term Frequency: 142       
Term: content                        Term Frequency: 137       
Term: related                        Term Frequency: 137       
Term: course                         Term Frequency: 100       
Term: were                           Term Frequency: 70        
Term: model                          Term Frequency: 69        
Term: learning                       Term Frequency: 61        
Term: discussion                     Term Frequency: 59        
Term: features                       Term Frequency: 57        
Term: starting                       Term Frequency: 53        
Term: learners                       Term Frequency: 51        
Term: from                           Term Frequency: 49        
Term: forums                         Term Frequency: 49        
Term: threads                        Term Frequency: 36        
Term: post                           Term Frequency: 36        
Term: courses                        Term Frequency: 35        
Term: data                           Term Frequency: 34        
Term: statistics                     Term Frequency: 33        
Term: non                            Term Frequency: 32        
Term: forum                          Term Frequency: 30        
Term: linguistic                     Term Frequency: 30        
Term: number                         Term Frequency: 30        
Term: 2014                           Term Frequency: 29        
Term: which                          Term Frequency: 28        
Term: different                      Term Frequency: 28        
Term: classification                 Term Frequency: 27        
Term: may                            Term Frequency: 27        
Term: more                           Term Frequency: 27        
Term: 14                             Term Frequency: 25        
Term: time                           Term Frequency: 25        
Term: based                          Term Frequency: 25        
Term: have                           Term Frequency: 24        
Term: votes                          Term Frequency: 24        
Term: instructors                    Term Frequency: 24        
Term: moocs                          Term Frequency: 24        
Term: all                            Term Frequency: 23        
Term: 13                             Term Frequency: 21        
Term: could                          Term Frequency: 21        
Term: views                          Term Frequency: 21        
Term: research                       Term Frequency: 21        
Term: can                            Term Frequency: 21        
Term: 1                              Term Frequency: 20        
Term: used                           Term Frequency: 20        
Term: 3                              Term Frequency: 19        
Term: thread                         Term Frequency: 19        
Term: study                          Term Frequency: 19        
Term: we                             Term Frequency: 19        
Term: about                          Term Frequency: 19        
Term: 4                              Term Frequency: 18        
Term: work                           Term Frequency: 18        
Term: results                        Term Frequency: 18        
Term: question                       Term Frequency: 17        
Term: questions                      Term Frequency: 17        
Term: material                       Term Frequency: 17        
Term: other                          Term Frequency: 17        
Term: both                           Term Frequency: 17        
Term: use                            Term Frequency: 16        
Term: help                           Term Frequency: 16        
Term: interaction                    Term Frequency: 16        
Term: feature                        Term Frequency: 16        
Term: subject                        Term Frequency: 15        
Term: thus                           Term Frequency: 15        
Term: specific                       Term Frequency: 15        
Term: intervention                   Term Frequency: 15        
Term: segments                       Term Frequency: 15        
Term: also                           Term Frequency: 15        
Term: same                           Term Frequency: 14        
Term: information                    Term Frequency: 14        
Term: across                         Term Frequency: 14        
Term: useful                         Term Frequency: 14        
Term: while                          Term Frequency: 14        
Term: kappa                          Term Frequency: 14        
Term: similar                        Term Frequency: 14        
Term: support                        Term Frequency: 14        
Term: our                            Term Frequency: 14        
Term: online                         Term Frequency: 14        
Term: m                              Term Frequency: 13        
Term: test                           Term Frequency: 13        
Term: topic                          Term Frequency: 13        
Term: discussions                    Term Frequency: 13        
Term: first                          Term Frequency: 13        
Term: identify                       Term Frequency: 13        
Term: level                          Term Frequency: 13        
Term: social                         Term Frequency: 13        
Term: domain                         Term Frequency: 13        
Term: new                            Term Frequency: 13        
Term: 2013                           Term Frequency: 13        
Term: 5                              Term Frequency: 12        
Term: 6                              Term Frequency: 12        
Term: s                              Term Frequency: 12        
Term: instructor                     Term Frequency: 12        
Term: built                          Term Frequency: 12        
Term: education                      Term Frequency: 12        
Term: language                       Term Frequency: 12        
Term: than                           Term Frequency: 12        
Term: had                            Term Frequency: 12        
Term: how                            Term Frequency: 12        
Term: those                          Term Frequency: 12        
Term: however                        Term Frequency: 12        
Term: example                        Term Frequency: 12        
Term: address                        Term Frequency: 12        
Term: 2015                           Term Frequency: 12        
Term: modeling                       Term Frequency: 12        
Term: several                        Term Frequency: 12        
Term: category                       Term Frequency: 12        
Term: 2                              Term Frequency: 11        
Term: good                           Term Frequency: 11        
Term: did                            Term Frequency: 11        
Term: many                           Term Frequency: 11        
Term: approach                       Term Frequency: 11        
Term: potential                      Term Frequency: 11        
Term: topics                         Term Frequency: 11        
Term: precision                      Term Frequency: 11        
Term: would                          Term Frequency: 11        
Term: coding                         Term Frequency: 11        
Term: one                            Term Frequency: 11        
Term: analysis                       Term Frequency: 11        
Term: most                           Term Frequency: 11        
Term: recall                         Term Frequency: 11        
Term: c                              Term Frequency: 10        
Term: n                              Term Frequency: 10        
Term: need                           Term Frequency: 10        
Term: terms                          Term Frequency: 10        
Term: found                          Term Frequency: 10        
Term: value                          Term Frequency: 10        
Term: using                          Term Frequency: 10        
Term: important                      Term Frequency: 10        
Term: ones                           Term Frequency: 10        
Term: only                           Term Frequency: 10        
Term: three                          Term Frequency: 10        
Term: technical                      Term Frequency: 10        
Term: identifying                    Term Frequency: 10        
Term: conference                     Term Frequency: 10        
Term: additional                     Term Frequency: 10        
Term: accuracy                       Term Frequency: 10        
Term: set                            Term Frequency: 10        
Term: substantially                  Term Frequency: 10        
Term: j                              Term Frequency: 9         
Term: e.g                            Term Frequency: 9         
Term: 0.80                           Term Frequency: 9         
Term: 27                             Term Frequency: 9         
Term: users                          Term Frequency: 9         
Term: categories                     Term Frequency: 9         
Term: has                            Term Frequency: 9         
Term: proportion                     Term Frequency: 9         
Term: between                        Term Frequency: 9         
Term: university                     Term Frequency: 9         
Term: reliability                    Term Frequency: 9         
Term: models                         Term Frequency: 9         
Term: students                       Term Frequency: 9         
Term: instructor’s                   Term Frequency: 9         
Term: find                           Term Frequency: 9         
Term: tested                         Term Frequency: 9         
Term: provided                       Term Frequency: 8         
Term: findings                       Term Frequency: 8         
Term: offering                       Term Frequency: 8         
Term: possible                       Term Frequency: 8         
Term: 30                             Term Frequency: 8         
Term: base                           Term Frequency: 8         
Term: issues                         Term Frequency: 8         
Term: needs                          Term Frequency: 8         
Term: second                         Term Frequency: 8         
Term: purposes                       Term Frequency: 8         
Term: whether                        Term Frequency: 8         
Term: been                           Term Frequency: 8         
Term: coded                          Term Frequency: 8         
Term: generalizability               Term Frequency: 8         
Term: error                          Term Frequency: 8         
Term: identification                 Term Frequency: 8         
Term: words                          Term Frequency: 8         
Term: provide                        Term Frequency: 8         
Term: particular                     Term Frequency: 8         
Term: quality                        Term Frequency: 8         
Term: open                           Term Frequency: 8         
Term: overload                       Term Frequency: 8         
Term: out                            Term Frequency: 8         
Term: given                          Term Frequency: 8         
Term: prior                          Term Frequency: 8         
Term: resources                      Term Frequency: 8         
Term: 8                              Term Frequency: 7         
Term: top                            Term Frequency: 7         
Term: third                          Term Frequency: 7         
Term: being                          Term Frequency: 7         
Term: 0.81                           Term Frequency: 7         
Term: included                       Term Frequency: 7         
Term: 26                             Term Frequency: 7         
Term: common                         Term Frequency: 7         
Term: platform                       Term Frequency: 7         
Term: understanding                  Term Frequency: 7         
Term: patterns                       Term Frequency: 7         
Term: sets                           Term Frequency: 7         
Term: focus                          Term Frequency: 7         
Term: showed                         Term Frequency: 7         
Term: educational                    Term Frequency: 7         
Term: learner’s                      Term Frequency: 7         
Term: learner                        Term Frequency: 7         
Term: relatedness                    Term Frequency: 7         
Term: types                          Term Frequency: 7         
Term: oriented                       Term Frequency: 7         
Term: tool                           Term Frequency: 7         
Term: when                           Term Frequency: 7         
Term: approaches                     Term Frequency: 7         
Term: within                         Term Frequency: 7         
Term: relevant                       Term Frequency: 7         
Term: 7                              Term Frequency: 6         
Term: 9                              Term Frequency: 6         
Term: taking                         Term Frequency: 6         
Term: activities                     Term Frequency: 6         
Term: made                           Term Frequency: 6         
Term: due                            Term Frequency: 6         
Term: 12                             Term Frequency: 6         
Term: 25                             Term Frequency: 6         
Term: 29                             Term Frequency: 6         
Term: addressing                     Term Frequency: 6         
Term: addition                       Term Frequency: 6         
Term: do                             Term Frequency: 6         
Term: them                           Term Frequency: 6         
