Term: matrix                         Term Frequency: 31        
Term: j                              Term Frequency: 22        
Term: i                              Term Frequency: 19        
Term: model                          Term Frequency: 13        
Term: 1                              Term Frequency: 11        
Term: we                             Term Frequency: 11        
Term: item                           Term Frequency: 9         
Term: based                          Term Frequency: 9         
Term: learning                       Term Frequency: 9         
Term: method                         Term Frequency: 9         
Term: data                           Term Frequency: 9         
Term: algorithm                      Term Frequency: 8         
Term: our                            Term Frequency: 8         
Term: slip                           Term Frequency: 7         
Term: can                            Term Frequency: 7         
Term: 3                              Term Frequency: 6         
Term: 4                              Term Frequency: 6         
Term: measurement                    Term Frequency: 6         
Term: k                              Term Frequency: 6         
Term: response                       Term Frequency: 6         
Term: 2                              Term Frequency: 5         
Term: student’s                      Term Frequency: 5         
Term: represents                     Term Frequency: 5         
Term: parameters                     Term Frequency: 5         
Term: knowledge                      Term Frequency: 5         
Term: simulation                     Term Frequency: 5         
Term: equation                       Term Frequency: 5         
Term: one                            Term Frequency: 5         
Term: problem                        Term Frequency: 5         
Term: 7                              Term Frequency: 4         
Term: factorization                  Term Frequency: 4         
Term: m                              Term Frequency: 4         
Term: attributes                     Term Frequency: 4         
Term: all                            Term Frequency: 4         
Term: models                         Term Frequency: 4         
Term: attribute                      Term Frequency: 4         
Term: when                           Term Frequency: 4         
Term: probability                    Term Frequency: 4         
Term: values                         Term Frequency: 4         
Term: matrices                       Term Frequency: 4         
Term: maximum                        Term Frequency: 4         
Term: 2012                           Term Frequency: 4         
Term: guessing                       Term Frequency: 4         
Term: 20                             Term Frequency: 4         
Term: proposed                       Term Frequency: 4         
Term: paper                          Term Frequency: 4         
Term: diagnostic                     Term Frequency: 3         
Term: 5                              Term Frequency: 3         
Term: learn                          Term Frequency: 3         
Term: information                    Term Frequency: 3         
Term: new                            Term Frequency: 3         
Term: deterministic                  Term Frequency: 3         
Term: students                       Term Frequency: 3         
Term: where                          Term Frequency: 3         
Term: has                            Term Frequency: 3         
Term: results                        Term Frequency: 3         
Term: estimated                      Term Frequency: 3         
Term: latent                         Term Frequency: 3         
Term: used                           Term Frequency: 3         
Term: shown                          Term Frequency: 3         
Term: knowledgestates                Term Frequency: 3         
Term: also                           Term Frequency: 3         
Term: under                          Term Frequency: 3         
Term: which                          Term Frequency: 3         
Term: 2010                           Term Frequency: 3         
Term: states                         Term Frequency: 3         
Term: ik                             Term Frequency: 3         
Term: present                        Term Frequency: 3         
Term: 10                             Term Frequency: 3         
Term: 11                             Term Frequency: 3         
Term: work                           Term Frequency: 3         
Term: space                          Term Frequency: 3         
Term: from                           Term Frequency: 3         
Term: optimal                        Term Frequency: 2         
Term: without                        Term Frequency: 2         
Term: via                            Term Frequency: 2         
Term: because                        Term Frequency: 2         
Term: conjunctive                    Term Frequency: 2         
Term: 6                              Term Frequency: 2         
Term: 8                              Term Frequency: 2         
Term: 9                              Term Frequency: 2         
Term: convergent                     Term Frequency: 2         
Term: uncertainty                    Term Frequency: 2         
Term: novel                          Term Frequency: 2         
Term: correct                        Term Frequency: 2         
Term: assessment                     Term Frequency: 2         
Term: applied                        Term Frequency: 2         
Term: analytically                   Term Frequency: 2         
Term: hard                           Term Frequency: 2         
Term: well                           Term Frequency: 2         
Term: testing                        Term Frequency: 2         
Term: driven                         Term Frequency: 2         
Term: algorithms                     Term Frequency: 2         
Term: other                          Term Frequency: 2         
Term: recursive                      Term Frequency: 2         
Term: noisy                          Term Frequency: 2         
Term: copies                         Term Frequency: 2         
Term: were                           Term Frequency: 2         
Term: probabil                       Term Frequency: 2         
Term: tropy                          Term Frequency: 2         
Term: each                           Term Frequency: 2         
Term: input                          Term Frequency: 2         
Term: widely                         Term Frequency: 2         
Term: page                           Term Frequency: 2         
Term: show                           Term Frequency: 2         
Term: alternating                    Term Frequency: 2         
Term: applications                   Term Frequency: 2         
Term: required                       Term Frequency: 2         
Term: prob                           Term Frequency: 2         
Term: initial                        Term Frequency: 2         
Term: most                           Term Frequency: 2         
Term: convergence                    Term Frequency: 2         
Term: approx                         Term Frequency: 2         
Term: trix                           Term Frequency: 2         
Term: jth                            Term Frequency: 2         
Term: compared                       Term Frequency: 2         
Term: de                             Term Frequency: 2         
Term: test                           Term Frequency: 2         
Term: en                             Term Frequency: 2         
Term: ex                             Term Frequency: 2         
Term: getting                        Term Frequency: 2         
Term: 2008                           Term Frequency: 2         
Term: gj                             Term Frequency: 2         
Term: 2014                           Term Frequency: 2         
Term: gate                           Term Frequency: 2         
Term: validation                     Term Frequency: 2         
Term: known                          Term Frequency: 2         
Term: qjk                            Term Frequency: 2         
Term: alternatingrecursive           Term Frequency: 2         
Term: ofq                            Term Frequency: 2         
Term: find                           Term Frequency: 2         
Term: diagnosis                      Term Frequency: 2         
Term: true                           Term Frequency: 2         
Term: student                        Term Frequency: 2         
Term: immune                         Term Frequency: 2         
Term: 15                             Term Frequency: 2         
Term: re                             Term Frequency: 2         
Term: cognitive                      Term Frequency: 2         
Term: sj                             Term Frequency: 2         
Term: 1n                             Term Frequency: 2         
Term: 36                             Term Frequency: 2         
Term: th                             Term Frequency: 2         
Term: details                        Term Frequency: 2         
Term: solutions                      Term Frequency: 2         
Term: every                          Term Frequency: 2         
Term: optimization                   Term Frequency: 2         
Term: ing                            Term Frequency: 2         
Term: variable                       Term Frequency: 2         
Term: 2723576.2723653                Term Frequency: 1         
Term: contactthe                     Term Frequency: 1         
Term: krequired                      Term Frequency: 1         
Term: matrixand                      Term Frequency: 1         
Term: ities                          Term Frequency: 1         
Term: guess                          Term Frequency: 1         
Term: statistical                    Term Frequency: 1         
Term: algorithmsthe                  Term Frequency: 1         
Term: 1000                           Term Frequency: 1         
Term: mastery                        Term Frequency: 1         
Term: 3417                           Term Frequency: 1         
Term: ces                            Term Frequency: 1         
Term: result                         Term Frequency: 1         
Term: same                           Term Frequency: 1         
Term: 4503                           Term Frequency: 1         
Term: e                              Term Frequency: 1         
Term: n                              Term Frequency: 1         
Term: logical                        Term Frequency: 1         
Term: fast                           Term Frequency: 1         
Term: qjkik                          Term Frequency: 1         
Term: prominence                     Term Frequency: 1         
Term: notes                          Term Frequency: 1         
Term: generated                      Term Frequency: 1         
Term: ducational                     Term Frequency: 1         
Term: ith                            Term Frequency: 1         
Term: obtaining                      Term Frequency: 1         
Term: ity                            Term Frequency: 1         
Term: lack                           Term Frequency: 1         
Term: http                           Term Frequency: 1         
Term: provided                       Term Frequency: 1         
Term: citation                       Term Frequency: 1         
Term: copiesbear                     Term Frequency: 1         
Term: improvement                    Term Frequency: 1         
Term: lems                           Term Frequency: 1         
Term: environment                    Term Frequency: 1         
Term: truth                          Term Frequency: 1         
Term: 4.2                            Term Frequency: 1         
Term: 4.8                            Term Frequency: 1         
Term: called                         Term Frequency: 1         
Term: algorithm1                     Term Frequency: 1         
Term: approach                       Term Frequency: 1         
Term: responsetheory                 Term Frequency: 1         
Term: number                         Term Frequency: 1         
Term: identifi                       Term Frequency: 1         
Term: gained                         Term Frequency: 1         
Term: mation                         Term Frequency: 1         
Term: pressed                        Term Frequency: 1         
Term: andguessing                    Term Frequency: 1         
Term: specify                        Term Frequency: 1         
Term: distributed                    Term Frequency: 1         
Term: classroom                      Term Frequency: 1         
Term: propose                        Term Frequency: 1         
Term: likelihood                     Term Frequency: 1         
Term: binary                         Term Frequency: 1         
Term: andconsidered                  Term Frequency: 1         
Term: respectively                   Term Frequency: 1         
Term: local                          Term Frequency: 1         
Term: indicating                     Term Frequency: 1         
Term: mainlyfocuses                  Term Frequency: 1         
Term: indicates                      Term Frequency: 1         
Term: have                           Term Frequency: 1         
Term: product                        Term Frequency: 1         
Term: framework                      Term Frequency: 1         
Term: 2.1                            Term Frequency: 1         
Term: learners                       Term Frequency: 1         
Term: 2.6                            Term Frequency: 1         
Term: 2.8                            Term Frequency: 1         
Term: interestin                     Term Frequency: 1         
Term: 26560134                       Term Frequency: 1         
Term: whether                        Term Frequency: 1         
Term: function                       Term Frequency: 1         
Term: always                         Term Frequency: 1         
Term: settings                       Term Frequency: 1         
Term: attributedimensions            Term Frequency: 1         
Term: applicable                     Term Frequency: 1         
Term: real                           Term Frequency: 1         
Term: 447                            Term Frequency: 1         
Term: approch                        Term Frequency: 1         
Term: cept                           Term Frequency: 1         
Term: effective                      Term Frequency: 1         
Term: times                          Term Frequency: 1         
Term: necessaryconditions            Term Frequency: 1         
Term: studentwith                    Term Frequency: 1         
Term: 0.1                            Term Frequency: 1         
Term: 0.2                            Term Frequency: 1         
Term: application                    Term Frequency: 1         
Term: 468                            Term Frequency: 1         
Term: hypothesis                     Term Frequency: 1         
Term: perts                          Term Frequency: 1         
Term: ouralgorithm                   Term Frequency: 1         
Term: defined                        Term Frequency: 1         
Term: thispaper                      Term Frequency: 1         
Term: proofs                         Term Frequency: 1         
Term: must                           Term Frequency: 1         
Term: items                          Term Frequency: 1         
Term: two                            Term Frequency: 1         
Term: found                          Term Frequency: 1         
Term: guessingparameters             Term Frequency: 1         
Term: lacking                        Term Frequency: 1         
Term: simplification                 Term Frequency: 1         
Term: describe                       Term Frequency: 1         
Term: relations                      Term Frequency: 1         
Term: supported                      Term Frequency: 1         
Term: through                        Term Frequency: 1         
Term: tothe                          Term Frequency: 1         
Term: repeated                       Term Frequency: 1         
Term: research                       Term Frequency: 1         
Term: given                          Term Frequency: 1         
Term: doubt                          Term Frequency: 1         
Term: dx.doi.org                     Term Frequency: 1         
Term: develop                        Term Frequency: 1         
Term: termsof                        Term Frequency: 1         
Term: cially                         Term Frequency: 1         
Term: bedone                         Term Frequency: 1         
Term: full                           Term Frequency: 1         
Term: tentions                       Term Frequency: 1         
Term: conclusion                     Term Frequency: 1         
Term: sponse                         Term Frequency: 1         
Term: anduncertainty                 Term Frequency: 1         
Term: disciplines                    Term Frequency: 1         
Term: detailed                       Term Frequency: 1         
Term: typical                        Term Frequency: 1         
Term: put                            Term Frequency: 1         
Term: measures                       Term Frequency: 1         
Term: modelcan                       Term Frequency: 1         
Term: 28th                           Term Frequency: 1         
Term: ships                          Term Frequency: 1         
Term: 1983                           Term Frequency: 1         
Term: determined                     Term Frequency: 1         
Term: study                          Term Frequency: 1         
Term: 25280121.6                     Term Frequency: 1         
Term: more                           Term Frequency: 1         
Term: wrong                          Term Frequency: 1         
Term: fee                            Term Frequency: 1         
Term: denote                         Term Frequency: 1         
Term: obtain                         Term Frequency: 1         
Term: important                      Term Frequency: 1         
Term: part                           Term Frequency: 1         
Term: especiallyimportant            Term Frequency: 1         
Term: lation                         Term Frequency: 1         
Term: ables                          Term Frequency: 1         
Term: profit                         Term Frequency: 1         
Term: dimension                      Term Frequency: 1         
Term: designed                       Term Frequency: 1         
Term: typicallyrepresented           Term Frequency: 1         
Term: process                        Term Frequency: 1         
Term: third                          Term Frequency: 1         
Term: uses                           Term Frequency: 1         
Term: been                           Term Frequency: 1         
Term: arenot                         Term Frequency: 1         
Term: spacelimitations               Term Frequency: 1         
Term: assumption                     Term Frequency: 1         
Term: addition                       Term Frequency: 1         
Term: whose                          Term Frequency: 1         
Term: 1348                           Term Frequency: 1         
Term: domain                         Term Frequency: 1         
Term: omitted                        Term Frequency: 1         
Term: 1362                           Term Frequency: 1         
Term: see                            Term Frequency: 1         
Term: indicate                       Term Frequency: 1         
Term: empirically                    Term Frequency: 1         
Term: hasfast                        Term Frequency: 1         
Term: column                         Term Frequency: 1         
Term: adding                         Term Frequency: 1         
Term: mostimportant                  Term Frequency: 1         
Term: ed                             Term Frequency: 1         
Term: optimalfactors                 Term Frequency: 1         
Term: finally                        Term Frequency: 1         
Term: patterns                       Term Frequency: 1         
Term: 564.405                        Term Frequency: 1         
Term: party                          Term Frequency: 1         
Term: sults                          Term Frequency: 1         
Term: 978                            Term Frequency: 1         
Term: notice                         Term Frequency: 1         
Term: digital                        Term Frequency: 1         
Term: i1                             Term Frequency: 1         
Term: specification                  Term Frequency: 1         
Term: i2                             Term Frequency: 1         
Term: 7th                            Term Frequency: 1         
Term: 2015                           Term Frequency: 1         
Term: asin                           Term Frequency: 1         
Term: big                            Term Frequency: 1         
Term: mance                          Term Frequency: 1         
Term: revealed                       Term Frequency: 1         
Term: issue                          Term Frequency: 1         
