Word                           TF-IDF
-----------------------------------
prerequisite                   188.6794926923292
skill                          127.27509636460314
placements                     104.72076772407814
speeds                         65.59245349094797
skills                         58.231889946362955
links                          54.045096883273274
remediation                    54.00702745154825
mastery                        49.276590865506506
structures                     39.55847589710638
refining                       34.61560531389246
regression                     33.91936809172759
data                           33.47976064781032
survey                         28.255719531337338
method                         28.15852504161511
student                        24.563562927919566
assignments                    24.538067542533838
transformation                 23.433211672001708
refine                         22.785396443872227
structure                      22.5636276829311
students                       21.549044190469836
