Word                           TF-IDF
-----------------------------------
cs                             190.3502650095835
signals                        72.77314203988205
students                       52.014934252858225
retention                      49.183083733005006
course                         44.444291489060895
retained                       43.82114975630342
student                        40.68340109936678
cohort                         34.18022204074452
faculty                        32.99125799542292
purdue                         28.158051923146573
year                           25.70780962802809
instructors                    25.012801239426047
semester                       24.896074908380697
success                        24.718513274779493
ssa                            24.55953820890502
entering                       21.355000855799407
courses                        20.908600464156013
tinto                          19.79877204124668
academic                       19.394457337697407
college                        17.20129367454711
