Word                           TF-IDF
-----------------------------------
recollect                      196.47630567124017
n                              158.2224720500605
lecture                        77.39701805955598
students                       59.44563914612368
video                          48.184303454696284
capture                        37.87330746596989
class                          33.893856483143935
use                            24.992238471504713
student                        23.79595158642208
notes                          22.90341666193442
week                           22.411958362397925
lectures                       22.061606906679465
clusters                       21.425400894751
system                         21.17821827384945
learning                       20.323006072397728
missed                         18.82537481395925
vga                            18.419653656678765
tool                           18.27712768764657
watch                          17.605595708720337
heartbeat                      16.346670675082233
