Word                           TF-IDF
-----------------------------------
topic                          100.30210129622786
journals                       76.2678601992836
lda                            67.04072406418857
topics                         52.03726948837964
students                       48.2995818062255
week                           36.8196458810823
reflection                     36.42383876501143
weekly                         35.84139690808874
writing                        33.790579909705826
class                          32.76406126703913
reflective                     30.45039273174728
k                              28.07840879031932
sentiment                      27.99311792380535
modeling                       26.75651820075455
lsa                            25.86804107907328
learning                       25.228559262286836
stability                      24.744851500633338
relevance                      24.22711239595009
latent                         21.801263014351644
journal                        20.18817942088019
