Word                           TF-IDF
-----------------------------------
reading                        338.76638922239715
classmate                      337.8311939516995
achievement                    314.85513936027985
classmates                     247.44851500633337
ses                            194.4252988255737
attitude                       152.5357203985672
students                       152.32945031194194
past                           126.56884475742825
variance                       123.08067367705165
family                         106.33185007140372
mean                           81.99973802422943
school                         72.41730305343748
student                        63.711741344291376
attitudes                      62.86282667305083
schools                        62.75083096969604
country                        59.884874272893256
home                           57.1984426528158
resources                      57.15510025873279
higher                         56.498081663493245
parents                        55.85342370756314
