Word                           TF-IDF
-----------------------------------
citations                      101.88541380841454
papers                         76.13072904357311
network                        56.063868571579334
research                       54.54020137293305
analytics                      52.27849799714156
true                           49.41605010397364
learning                       48.35473858604977
authors                        46.6250213920364
nodes                          42.16634930363381
false                          41.89418027621248
disciplinary                   41.08232789653446
journals                       39.65928730362747
field                          37.79630975585953
disciplines                    36.79749859098091
cited                          34.02417081337084
conferences                    33.22257975243331
networks                       32.49407746103794
analysis                       27.820984425088273
discipline                     25.466768998094658
author                         24.548601048759924
