Word                           TF-IDF
-----------------------------------
dialogue                       276.1895879388015
utterances                     187.22436183203394
multimodal                     175.63029409569427
posture                        150.79041243645352
gesture                        141.92398178695908
utterance                      139.24254580917813
act                            125.70422702543468
features                       107.62239475575072
unsupervised                   69.73796703849214
acts                           56.911435670427394
tutor                          51.99709002226087
boyer                          50.40655895477836
pages                          47.74125616816318
classification                 47.027724074957995
statement                      46.071162209393606
student                        46.056680489849185
learning                       43.44918539616066
lester                         38.077165845281705
tutorial                       35.76394686012469
misclassified                  34.708592659480985
