Word                           TF-IDF
-----------------------------------
inactive                       88.21147903182707
enrollment                     81.3561062685988
eas                            75.68360018186304
lapsing                        73.67861462671506
enrolled                       62.687431379925314
students                       60.93178012477678
discontinue                    60.546880145490434
lapsed                         54.488902250274116
student                        46.82429183134667
likelihood                     45.584459030007984
discontinuing                  38.08027917239205
likely                         34.360281596235936
residential                    33.65458036519033
college                        32.969146209548626
times                          31.25097901152541
completed                      29.997830776871922
significant                    29.031004896424708
lapse                          28.56020937929404
compared                       28.017206009182736
bachelor                       27.837957938212504
