Word                           TF-IDF
-----------------------------------
visualization                  179.24301094079115
cohesion                       179.15595471235423
contributors                   173.12169113574998
viz                            141.27605367281103
narrativity                    126.40645567732851
concreteness                   107.98228827394084
top                            107.51548153088218
learning                       100.21344373630603
visualizations                 98.82417521846574
deep                           96.98260339835777
quality                        88.4691161650744
scores                         84.13900704601052
referential                    83.15484257323605
users                          75.90210998563471
p                              68.39508575324483
analytics                      67.96204739628402
students                       67.6194145287157
effect                         65.7926687453868
class                          62.138736885763876
avoidance                      57.84765443246831
