Word                           TF-IDF
-----------------------------------
vle                            88.21147903182707
day                            88.06179729817231
ouroboros                      73.67861462671506
days                           71.48879446605346
legacy                         66.64048855168609
students                       62.41792110342987
data                           60.68206617415622
imbalanced                     54.68869309343428
course                         49.67303166424453
date                           49.54922273908243
xgboost                        49.0400120252467
courses                        43.908060974727626
training                       40.82415961335871
precision                      35.99112806513609
presentation                   33.91936809172759
predictions                    32.19913130578285
f                              30.864321630265184
oulad                          30.699422761131277
prauc                          30.699422761131277
learning                       30.13411245217594
