Word                           TF-IDF
-----------------------------------
spacle                         250.64895035126094
replay                         123.40832945593239
teacher                        106.68143083373073
replays                        90.78060766967093
itss                           90.01171241924708
students                       86.93924725120588
student                        69.85263207627126
teachers                       67.12445436069648
classroom                      56.32043632024788
learning                       55.36267171446278
observations                   51.598843272061124
causal                         51.221562474337716
inactive                       45.86996909655007
interactions                   41.69263000814232
posttest                       41.39643253786377
pretest                        41.39643253786377
may                            40.14442472285897
monitoring                     38.420500049825016
conversations                  37.3202195305181
classrooms                     37.22066238183066
