Word                           TF-IDF
-----------------------------------
indexing                       90.98931160080305
examparser                     79.81849917894132
exam                           71.48879446605346
exams                          61.10803424182305
eduanalysis                    59.93779247530153
learning                       50.45711852457367
declarative                    46.278123545974644
analytics                      41.82279839771324
concept                        40.61445423483289
teachers                       36.14393696345195
semantic                       34.9704176331676
visual                         34.57658351346111
orchestration                  32.854955122095966
question                       28.87002206970072
concepts                       28.019022486689266
semantics                      27.388218597689637
indexed                        27.19289500136907
questions                      26.598990515460805
authoring                      25.10049975194567
programming                    25.03563593664412
