Word                           TF-IDF
-----------------------------------
morph                          202.61619022346642
modules                        64.20184909830465
batch                          52.30611959061869
data                           39.757215769274765
processing                     35.29442208853465
subsystem                      31.773212684384827
learning                       28.031732513652038
streaming                      26.343184342276942
research                       25.452093974035424
notifications                  24.23092371972472
analytics                      19.417727827509722
amounts                        16.240209456931883
stream                         16.093377008882804
store                          15.054025208202365
integration                    14.025806441806496
lms                            13.759469877254395
institutional                  13.567747236691035
processors                     13.076529897654673
institutions                   12.592883497851888
different                      11.697594437194464
