Word                           TF-IDF
-----------------------------------
estimation                     141.48976279941905
x                              79.71129924600899
ev                             73.35749794205847
duration                       69.1253974557506
spent                          68.94297666936194
learning                       66.5753647199236
strategies                     62.29028910516645
actions                        58.20985392395742
time                           58.035431510273774
measures                       58.02399368444941
grade                          51.0438486746693
action                         49.570480357581786
count                          44.70422002743316
data                           42.54719582325896
min                            40.78831209691171
last                           40.10012159205956
limit                          39.89057355779098
user                           39.69525889264954
moodle                         38.7811033249306
wum                            36.83930731335753
