Word                           TF-IDF
-----------------------------------
workplace                      67.48811688342796
learning                       47.653945273208464
klamma                         32.60333241869265
professional                   22.04758925962293
ley                            21.794216496091124
informal                       19.367104521568898
analytics                      18.67089214183627
ralf                           15.136720036372608
dominik                        12.27976910445251
workshop                       11.71716271958109
lifelong                       11.456958470477266
kravcik                        10.897780450054823
lindstaedt                     10.80140549030965
kump                           10.091146690915073
renzel                         10.091146690915073
aachen                         9.078060766967093
settings                       8.801873758243405
research                       8.726432219669288
tallinn                        8.71768659843645
fragmented                     8.150833104673163
