Word                           TF-IDF
-----------------------------------
learning                       90.40233735652782
designs                        57.19103557284278
agostinho                      42.84031406894106
design                         40.29873300685275
teaching                       31.94593401224102
harper                         29.447757819541536
lockyer                        28.98568525100343
bennett                        26.343184342276942
teachers                       25.817097831037106
education                      21.429536630487355
educational                    21.12564051246043
pedagogical                    16.83258109598662
quality                        16.58795928095145
analytics                      16.430385084815917
australian                     15.77452294377245
snapp                          15.465532187895835
ideas                          13.928090421410843
higher                         13.696504645695333
experience                     12.744933650870847
research                       12.36244564453149
