Word                           TF-IDF
-----------------------------------
calculus                       387.16457247197525
x                              183.52136338034626
math                           182.00022606965774
gpa                            172.54577716544472
semester                       166.61219361762468
ap                             131.7159217113847
students                       130.7804061214721
course                         123.74685081267936
courses                        114.99730255285807
engineering                    101.03487229759206
tep                            100.91146690915073
ii                             93.06829742198407
chemistry                      77.32766093947919
concurrent                     69.88975493068618
enrollment                     66.56408694703538
combinations                   63.55235561149597
reactivity                     61.398845522262555
honors                         61.13124828504872
sat                            60.13030967722297
p                              57.66644485077505
