Word                           TF-IDF
-----------------------------------
conversations                  96.59350937310569
regular                        95.06343438085968
forum                          61.093066885731965
participants                   60.844038645057076
contributors                   58.6853190290678
mooc                           58.43291153113909
network                        49.834549841403856
course                         41.82992140146908
betweenness                    33.99111875171134
cohort                         29.907694285651452
influential                    29.207772170887633
ergm                           28.56020937929404
social                         27.0122682081117
stage                          26.822532016459895
interactions                   23.040663951868126
moocs                          22.465422747970788
group                          21.88269507385183
learners                       21.23999300042599
cluster                        21.18399963869887
learning                       21.02379938523903
