Word                           TF-IDF
-----------------------------------
attention                      25.925614199434843
movement                       25.811547596217693
lecture                        22.35913855053839
orchestration                  19.71297307325758
classroom                      17.38285071612589
tention                        15.839017632997344
class                          15.817133025467168
teacher                        14.138502881578772
learning                       14.015866256826019
lausanne                       13.846242125556984
spatial                        12.202857631885376
motion                         12.040841170938577
vision                         11.053887718704614
dillenbourg                    10.955287439075855
pages                          10.912287124151584
ern                            10.897780450054823
cytoscape                      10.897780450054823
federale                       10.091146690915073
lecturer                       9.70051540465248
students                       9.659916361245099
