Word                           TF-IDF
-----------------------------------
index                          87.7951100437719
regression                     79.71051501555984
true                           47.82198397158739
armstrong                      47.60034896549007
forecasting                    45.86996909655007
method                         44.40382795023921
false                          41.89418027621248
variables                      34.69791053729397
modest                         34.02417081337084
risk                           32.99125799542292
data                           30.689780593826132
gigerenzer                     24.55953820890502
diffusion                      23.793783126197937
simpler                        22.649463092046673
model                          22.12645867873313
student                        21.49311756192962
predictive                     20.46053835778422
marks                          20.331529451497392
unit                           19.86935698253477
alternatives                   18.558638625475005
