Word                           TF-IDF
-----------------------------------
la                             70.85248712821556
analytics                      61.98736191089642
vendors                        47.517052898992034
learning                       46.25235864752587
practitioners                  41.7576116174176
researchers                    36.99646388507994
data                           36.96723571529057
accessed                       29.048773299073115
research                       25.452093974035424
vendor                         25.240935273892745
tools                          25.041132834243
techniques                     24.905797765946016
fields                         23.965940850070375
learner                        19.961875283998097
corporate                      19.71297307325758
iedms                          19.040139586196027
education                      18.572265079755706
april                          18.275127114075087
models                         17.930452556748484
recommender                    17.25735587515732
