Word                           TF-IDF
-----------------------------------
multiplication                 65.56067502346409
bayesian                       49.668540165212086
error                          42.19115387751828
di                             33.97419463807001
learning                       32.236492390699844
probabilistic                  31.776177805747984
model                          31.48765273512022
graz                           30.852082363983097
answers                        30.84288553400217
taraghi                        30.273440072745217
saranti                        30.273440072745217
misconceptions                 29.81075201784292
ebner                          26.99557206848521
operand                        25.227866727287683
random                         22.791935467935556
digit                          21.034112728243954
consistency                    20.440307788496664
student                        19.95789487893465
dirichlet                      19.71297307325758
unclassified                   18.419653656678765
