Word                           TF-IDF
-----------------------------------
futurelearn                    57.12041875858808
moocs                          25.921641632273985
mooc                           25.32092833016027
learning                       25.228559262286836
al                             20.493275755671565
data                           20.227355391385405
et                             19.47082623786703
analytics                      16.430385084815917
workshop                       14.320976657265776
edx                            13.842741563513881
urrutia                        12.27976910445251
offered                        12.141279588337143
open                           11.853126498336408
coursera                       11.456958470477266
dashboard                      11.006387968048248
institutions                   9.444662623388917
design                         9.235126314070422
research                       8.726432219669288
platforms                      8.55926458931085
proceedings                    8.258297315307795
