Word                           CF TF-IDF
-----------------------------------
newsletters                    4.70400120252467
ecar study                     4.083930731335753
zafarani                       4.083930731335753
undergraduate students         4.083930731335753
snippets                       4.083930731335753
alias                          3.3693341350164467
scrape                         3.0693341350164465
drew paulin sauder school      2.5419653656678767
redundancies                   2.5419653656678767
coreference                    2.5419653656678767
ithet                          2.5419653656678767
platform cck11 change11        2.5419653656678767
ryerson university             2.5419653656678767
victoria street                2.5419653656678767
generators                     2.5419653656678767
canada v6t                     2.5419653656678767
ischool                        2.5419653656678767
caruso                         2.5419653656678767
dziuban                        2.5419653656678767
change11                       2.5419653656678767
