Word                           CF TF-IDF
-----------------------------------
keystroke                      35.29648810548056
boredom                        15.054189414829558
dfa                            12.981337742590458
apprehension                   12.246670675082234
pauses                         11.329874348318514
seance                         11.077736047284391
aes                            9.11200360757401
median latency                 8.709826828339382
keystrokes                     7.561223918123739
dfas                           7.167861462671506
leijten                        5.625896097003629
van waes                       5.625896097003629
manovas                        5.625896097003629
kevin                          5.625896097003629
author recognition test        5.625896097003629
backspaces                     5.625896097003629
cecile                         5.625896097003629
loocv                          5.596073282752914
wat                            5.224083751717616
macarthur                      4.70400120252467
