Word                           CF TF-IDF
-----------------------------------
lari                           20.512303599976356
strongly disagree              6.038668270032893
macneil                        4.083930731335753
readiness perceptions          4.083930731335753
yarnold                        4.083930731335753
bischel                        4.083930731335753
overall readiness perceptions  4.083930731335753
educause center                3.4410160109117824
chronbach                      3.3693341350164467
eigenvalue                     3.1683600181863047
barneveld                      2.8273440072745215
governance                     2.6616179130012867
competently                    2.5419653656678767
readiness factors              2.5419653656678767
cattell                        2.5419653656678767
unfettered                     2.5419653656678767
lousiville                     2.5419653656678767
proffered                      2.5419653656678767
items median skewness kurtosis 2.5419653656678767
scientific use                 2.5419653656678767
