Word                           CF TF-IDF
-----------------------------------
tuple                          10.878800265495704
tuples                         8.70800240504934
low intermediate high          7.167861462671506
karachi                        5.625896097003629
asif                           4.083930731335753
pathan                         4.083930731335753
attribute low intermediate high 4.083930731335753
pakistan                       4.0410160109117825
atypical                       3.1840314068941056
zimmermann j.                  2.5419653656678767
pellet j. p.                   2.5419653656678767
spectacular                    2.5419653656678767
cohort2                        2.5419653656678767
complex variable               2.5419653656678767
efficient estimation           2.5419653656678767
pelleg d                       2.5419653656678767
entire cohorts                 2.5419653656678767
raheela asif dept              2.5419653656678767
ned university                 2.5419653656678767
freiburg                       2.5419653656678767
