Word                           CF TF-IDF
-----------------------------------
westerman                      30.062675485180918
positivism                     22.054673080131572
interpretive                   13.084624416916565
positivist                     9.809376029098086
hermeneutics                   8.895704025460828
fast company                   5.625896097003629
reductionism                   5.625896097003629
intently                       5.625896097003629
objectivity                    4.4357497942058455
abstractions                   4.238264948827338
impoverished                   4.083930731335753
stephen hawking                4.083930731335753
operational definitions        4.083930731335753
neurophysiology                4.083930731335753
wittgenstein                   4.083930731335753
interpretive inquiry           4.083930731335753
operationalism                 4.083930731335753
hawking                        4.083930731335753
crystalline                    4.083930731335753
philipp frank                  4.083930731335753
