Word                           CF TF-IDF
-----------------------------------
pivotal                        25.356124005328255
problématiques                 22.58751511935027
shirouzu                       21.03242406183344
interdisciplinarity            19.503584388014517
problématique                  14.877688291010891
multivocality                  12.953833981394311
productive multivocality       12.536720036372609
multidisciplinarity            12.50811515861172
origami                        8.709826828339382
arv                            7.682032021823565
besselaar                      5.625896097003629
stellar grand challenge        5.625896097003629
telearn                        4.083930731335753
pak                            4.083930731335753
transdisciplinarity            4.083930731335753
tel research                   4.083930731335753
grand challenge problems       4.083930731335753
hajime shirouzu                4.083930731335753
heimeriks                      4.083930731335753
hip                            4.083930731335753
