Word                           CF TF-IDF
-----------------------------------
personas                       43.792408289623374
persona                        19.385338945115127
performers                     13.684624416916565
specialists                    10.069363188335476
affirmation                    6.0036246913087705
performer                      4.083930731335753
smote                          3.8535709283582706
leaf                           3.8343273458624605
misclassifications             3.446836460180256
eibe                           3.3693341350164467
explainability                 3.0693341350164465
explainable                    2.8273440072745215
ian                            2.5419653656678767
incorrect node                 2.5419653656678767
geoffrey                       2.5419653656678767
lawrence o.                    2.5419653656678767
erik w.                        2.5419653656678767
rob                            2.5419653656678767
invasiveness                   2.5419653656678767
eitel j. m.                    2.5419653656678767
