Word                           CF TF-IDF
-----------------------------------
kolb                           9.98418288742014
schön                          6.3612239181237396
learning analytics cycle       6.331963805315447
theorisations                  4.083930731335753
analytics cycle                4.083930731335753
conceptualises                 4.083930731335753
policymaker                    4.083930731335753
pask                           3.3693341350164467
espoused                       3.3693341350164467
conceptualisation              2.9306119590618698
cxos                           2.5419653656678767
slowest                        2.5419653656678767
lewin                          2.5419653656678767
raymond                        2.5419653656678767
reflective turn                2.5419653656678767
theorisation                   2.5419653656678767
experiential education         2.5419653656678767
thyrsus enterprises            2.5419653656678767
metrics assessment             2.5419653656678767
rectors                        2.5419653656678767
