Word                           CF TF-IDF
-----------------------------------
aes                            15.650671877606902
wat                            8.08010468964702
apprehension                   7.342669472557564
infinitives                    7.167861462671506
gmrt                           5.625896097003629
wassi                          5.625896097003629
biber                          5.625896097003629
prewriting                     4.40400120252467
conjuncts                      4.083930731335753
amplifiers                     4.083930731335753
writers                        3.9085455752253195
hedges                         3.3693341350164467
writing assessment tool        3.3693341350164467
freewriting                    3.3693341350164467
manifesting                    2.8273440072745215
apprehension students          2.5419653656678767
unison                         2.5419653656678767
tierney                        2.5419653656678767
floyd                          2.5419653656678767
graduate record exam           2.5419653656678767
