Word                           CF TF-IDF
-----------------------------------
transaction                    10.594124554112664
d20                            10.251792194007258
absolute                       10.027420308311257
d11                            7.167861462671506
occasion                       6.038668270032893
absolute reference             5.625896097003629
satisfactory                   4.331948917352094
e20                            4.083930731335753
unidentified                   4.083930731335753
knowledge gap                  4.083930731335753
d20 persisted                  4.083930731335753
e11                            4.083930731335753
major issues                   4.083930731335753
e20 persisted                  4.083930731335753
incorrectly typed              4.083930731335753
undetected                     3.0693341350164465
copied                         2.9851273451351923
chung                          2.7481870547785494
diagnostically                 2.5419653656678767
helios                         2.5419653656678767
