Word                           CF TF-IDF
-----------------------------------
valence                        32.765554974877645
speakplus                      22.58751511935027
arousal                        13.707249382617542
emoda                          11.793757559675136
disgust                        11.036720036372609
bv                             10.251792194007258
happiness                      10.134904220035175
contempt                       9.352094220682318
sadness                        8.976529897654675
videoconferencing              8.709826828339382
dimensional                    7.998298281843756
anger                          7.476529897654675
dissimilarities                7.373335337541117
field description              5.625896097003629
mic                            5.270254690270384
valences                       4.70400120252467
toolbar                        4.312041875858808
qrcfdslf                       4.083930731335753
calm                           4.083930731335753
soriano                        4.083930731335753
