Word                           CF TF-IDF
-----------------------------------
evidence hub                   24.544240786188148
lak16                          11.421885064042213
caulfield                      8.709826828339382
usd                            6.038668270032893
rcts                           4.968360018186305
propositions                   4.769530886493661
timms                          4.40400120252467
oer research hub               4.40400120252467
hawthorne effect               4.083930731335753
chatterji                      4.083930731335753
vividly                        4.083930731335753
cochrane                       4.083930731335753
mortality                      4.012041875858808
lace evidence hub              4.012041875858808
hapgood                        3.3693341350164467
generalisability               3.3693341350164467
insisting                      3.3693341350164467
blood                          3.2306119590618696
surrogate                      3.1840314068941056
randomised                     2.9851273451351923
